callsign,time_despegue,SID,Estela,Airline,AircraftType,Runway,IAS_850ft,IAS_850ft_time,IAS_850ft_altitude,IAS_1500ft,IAS_1500ft_time,IAS_1500ft_altitude,IAS_3500ft,IAS_3500ft_time,IAS_3500ft_altitude
RYR1FB,0 days 04:01:39,-,Media,1014,B38M,LEBL-06R,178.0,04:02:11:359,824.996958217446,,,,,,
RYR1FB,0 days 04:01:39,-,Media,1014,B38M,LEBL-06R,,,,183.0,04:02:31:328,1524.98910866923,,,
RYR1FB,0 days 04:01:39,-,Media,1014,B38M,LEBL-06R,,,,,,,212.0,04:03:43:242,3549.90221553458
VLG6152,0 days 04:04:04,-,Media,1014,A320,LEBL-06R,154.0,04:04:27:375,874.999252524822,,,,,,
VLG6152,0 days 04:04:04,-,Media,1014,A320,LEBL-06R,,,,177.0,04:04:55:164,1524.99131393605,,,
VLG6152,0 days 04:04:04,-,Media,1014,A320,LEBL-06R,,,,,,,192.0,04:05:55:070,3499.93329875075
VLG9YD,0 days 04:05:55,-,Media,1014,A320,LEBL-06R,164.0,04:06:07:672,875.000145185928,,,,,,
VLG9YD,0 days 04:05:55,-,Media,1014,A320,LEBL-06R,,,,176.0,04:06:23:156,1524.99810673668,,,
VLG9YD,0 days 04:05:55,-,Media,1014,A320,LEBL-06R,,,,,,,212.0,04:07:18:969,3474.95890379151
RYR28RR,0 days 04:07:45,-,Media,"1014,2",B738,LEBL-06R,160.0,04:08:11:000,899.998458700454,,,,,,
RYR28RR,0 days 04:07:45,-,Media,"1014,2",B738,LEBL-06R,,,,179.0,04:08:34:891,1499.9909935527,,,
RYR28RR,0 days 04:07:45,-,Media,"1014,2",B738,LEBL-06R,,,,,,,206.0,04:09:34:781,3474.92997662726
RYR91MD,0 days 04:09:26,-,Media,"1014,2",B738,LEBL-06R,171.0,04:09:50:836,899.998029189013,,,,,,
RYR91MD,0 days 04:09:26,-,Media,"1014,2",B738,LEBL-06R,,,,185.0,04:10:10:758,1499.99133467099,,,
RYR91MD,0 days 04:09:26,-,Media,"1014,2",B738,LEBL-06R,,,,,,,218.0,04:11:14:641,3474.91945464958
RYR699N,0 days 04:10:56,-,Media,"1014,2",B738,LEBL-06R,168.0,04:11:18:813,874.999037107582,,,,,,
RYR699N,0 days 04:10:56,-,Media,"1014,2",B738,LEBL-06R,,,,172.0,04:11:34:664,1474.99521451286,,,
RYR699N,0 days 04:10:56,-,Media,"1014,2",B738,LEBL-06R,,,,,,,211.0,04:12:38:531,3524.93638091201
