CAT,SAC,SIC,Time,LAT,LON,H(m),H(ft),RHO,THETA,Mode3/A,FL,TA,TI,BP,RA,TTA,GS,TAR,TAS,HDG,IAS,MACH,BAR,IVV,TN,GS(kt),HDG.1,STAT,callsign,lat,lon,ALT_CORR,X,Y
CAT048,20,129,04:00:03:539,41.28843459,2.19497847,838.187928345986,2749.96048283464,4.289062,99.898682,437.0,27.5,4CA739,RYR82GJ,"1013,2",,,,,,96.855469,211.0,0.336,2656.0,2720,3862,231.44,97.9541,"No alert, no SPI, aircraft airbone",RYR82GJ,41.28843459,2.19497847,2656.0,22.661496862666112,10.432512416884268
CAT048,20,129,04:00:07:531,41.28786654,2.2005963,891.526419227943,2924.9555372598,4.546875,99.766846,437.0,29.25,4CA739,RYR82GJ,"1013,2",,,,,,97.03125,211.0,0.336,2752.0,2720,3862,231.22,97.7069,"No alert, no SPI, aircraft airbone",RYR82GJ,41.28786654,2.2005963,2752.0,22.915057411050814,10.399889409276845
CAT048,20,129,04:00:11:523,41.2873026,2.20621449,944.864821069874,3099.95029955889,4.804688,99.645996,437.0,31.0,4CA739,RYR82GJ,"1013,2",0.879,"97,91",232.0,"0,062",228.0,97.03125,211.0,0.336,2752.0,2656,3862,232.32,97.9156,"No alert, no SPI, aircraft airbone",RYR82GJ,41.2873026,2.20621449,2752.0,23.16863710851979,10.367529557104843
CAT048,20,129,04:00:15:516,41.28668668,2.21199657,998.203084697016,3274.94460839736,5.070312,99.558105,437.0,32.75,4CA739,RYR82GJ,"1013,2",,,,,,97.03125,210.0,0.336,2656.0,2688,3862,232.54,98.1628,"No alert, no SPI, aircraft airbone",RYR82GJ,41.28668668,2.21199657,2656.0,23.429631325552105,10.33211033725692
CAT048,20,129,04:00:19:508,41.28608302,2.21751692,1051.54133974575,3449.93888909143,5.324219,99.492188,437.0,34.5,4CA739,RYR82GJ,"1013,2",,,,,,96.855469,210.0,0.34,2528.0,2560,3862,233.86,98.6133,"No alert, no SPI, aircraft airbone",RYR82GJ,41.28608302,2.21751692,2528.0,23.67882166241396,10.297373051149519
CAT048,20,129,04:00:23:508,41.285432,2.22320256,1104.87945407443,3624.93270810554,5.585938,99.448242,437.0,36.25,4CA739,RYR82GJ,"1013,2",,,,,,96.855469,211.0,0.34,2528.0,2400,3862,234.74,98.5748,"No alert, no SPI, aircraft airbone",RYR82GJ,41.285432,2.22320256,2528.0,23.93548873791982,10.259854467968132
CAT048,20,129,04:00:27:500,41.28478447,2.22898654,1150.59744210821,3774.92611196629,5.851562,99.398804,437.0,37.75,4CA739,RYR82GJ,"1013,2",-0.176,"98,613",236.0,"-0,031",232.0,97.03125,213.0,0.344,2592.0,2496,3862,236.72,98.5034,"No alert, no SPI, aircraft airbone",RYR82GJ,41.28478447,2.22898654,2592.0,24.19659492323984,10.222589484378657
CAT048,20,129,04:00:31:500,41.28412501,2.23484601,1203.93530819844,3949.91911654978,6.121094,99.354858,437.0,39.5,4CA739,RYR82GJ,"1013,2",,,,,,96.855469,216.0,0.352,2368.0,2272,3862,237.82,98.7067,"No alert, no SPI, aircraft airbone",RYR82GJ,41.28412501,2.23484601,2368.0,24.46111548615923,10.184647038997653
CAT048,20,129,04:00:35:492,41.28347106,2.24054985,1242.03313882463,4074.91200318139,6.382812,99.321899,437.0,40.75,4CA739,RYR82GJ,"1013,2",,,,,,97.03125,219.0,0.356,1984.0,1568,3862,240.9,98.5968,"No alert, no SPI, aircraft airbone",RYR82GJ,41.28347106,2.24054985,1984.0,24.718619894767034,10.147008890935123
CAT048,20,129,04:00:39:484,41.28275703,2.24660161,1272.51073809341,4174.90412996637,6.660156,99.299927,437.0,41.75,4CA739,RYR82GJ,"1013,2",,,,,,97.207031,223.0,0.364,1216.0,992,3862,247.06,98.6188,"No alert, no SPI, aircraft airbone",RYR82GJ,41.28275703,2.24660161,1216.0,24.991844735236633,10.10588150717793
CAT048,20,129,04:00:43:477,41.28204512,2.25266254,1295.3682305878,4249.89590564169,6.9375,99.277954,437.0,42.5,4CA739,RYR82GJ,"1013,2",0.352,"98,613",252.0,"0,062",250.0,97.207031,229.0,0.372,1216.0,832,3862,253.0,98.6407,"No alert, no SPI, aircraft airbone",RYR82GJ,41.28204512,2.25266254,1216.0,25.265488278158568,10.064903035603272
CAT048,20,129,04:00:47:469,41.28133751,2.25899631,1310.60549839772,4299.88694336319,7.226562,99.239502,437.0,43.0,4CA739,RYR82GJ,"1013,2",,,,,,97.382812,235.0,0.384,1280.0,1024,3862,259.16,98.6572,"No alert, no SPI, aircraft airbone",RYR82GJ,41.28133751,2.25899631,1280.0,25.55144231933855,10.024281841232801
CAT048,20,129,04:00:51:469,41.28061477,2.26540458,1333.46261968743,4374.87750117531,7.519531,99.206543,437.0,43.75,4CA739,RYR82GJ,"1013,2",,,,,,97.382812,240.0,0.392,1344.0,1120,3862,265.32,98.6792,"No alert, no SPI, aircraft airbone",RYR82GJ,41.28061477,2.26540458,1344.0,25.840768786745596,9.982795479889742
CAT048,20,129,04:00:55:461,41.27985095,2.27188234,1363.93959413562,4474.86757802391,7.816406,99.190063,437.0,44.75,4CA739,RYR82GJ,"1013,2",,,,,,97.207031,245.0,0.4,1664.0,1536,3862,270.38,98.7286,"No alert, no SPI, aircraft airbone",RYR82GJ,41.27985095,2.27188234,1664.0,26.13325238648961,9.938885652163943
CAT048,20,129,04:00:59:461,41.2790823,2.27852575,1402.03636815678,4599.8569981035,8.121094,99.168091,437.0,46.0,4CA739,RYR82GJ,"1013,2",-0.176,"98,789",274.0,"0,031",272.0,97.207031,247.0,0.404,2144.0,2304,3862,273.46,98.8385,"No alert, no SPI, aircraft airbone",RYR82GJ,41.2790823,2.27852575,2144.0,26.43321650201505,9.894758029354625
CAT048,20,129,04:01:03:453,41.27832598,2.28498734,1447.75311204791,4749.84632013127,8.417969,99.151611,437.0,47.5,4CA739,RYR82GJ,"1013,2",,,,,,97.910156,249.0,0.408,2496.0,2496,3862,275.44,98.7726,"No alert, no SPI, aircraft airbone",RYR82GJ,41.27832598,2.28498734,2496.0,26.724981323257108,9.851337497010075
CAT048,20,129,04:01:07:445,41.27748989,2.29177436,1501.08956798725,4924.83469823528,8.730469,99.151611,437.0,49.25,4CA739,RYR82GJ,"1013,2",,,,,,100.371094,251.0,0.412,2656.0,2720,3862,276.76,100.415,"No alert, no SPI, aircraft airbone",RYR82GJ,41.27748989,2.29177436,2656.0,27.031464957607415,9.80325187971406
CAT048,20,129,04:01:11:445,41.27649355,2.29843855,1554.42597224377,5099.82290677625,9.039062,99.217529,437.0,51.0,4CA739,RYR82GJ,"1013,2",,,,,,103.007812,252.0,0.416,2976.0,3104,3862,277.2,102.9309,"No alert, no SPI, aircraft airbone",RYR82GJ,41.27649355,2.29843855,2976.0,27.332482803387848,9.745533256739835
CAT048,20,129,04:01:15:438,41.27519381,2.30501799,1623.00231942628,5324.8109296665,9.347656,99.393311,437.0,53.25,4CA739,RYR82GJ,"1013,2",19.512,"106,172",276.0,"1,312",278.0,107.402344,251.0,0.416,3136.0,3136,3862,277.2,106.1389,"No alert, no SPI, aircraft airbone",RYR82GJ,41.27519381,2.30501799,3136.0,27.62981504459885,9.669600496074473
CAT048,20,129,04:01:19:438,41.27357017,2.31144209,1683.95866026357,5524.79893093913,9.652344,99.678955,437.0,55.25,4CA739,RYR82GJ,"1013,2",,,,,,113.554688,250.0,0.416,3008.0,2944,3862,276.76,111.6431,"No alert, no SPI, aircraft airbone",RYR82GJ,41.27357017,2.31144209,3008.0,27.920290047873728,9.574199661198511
CAT048,20,129,04:01:23:438,41.2706883,2.31738979,1737.29526754655,5699.78780557742,9.949219,100.39856,437.0,57.0,4CA739,RYR82GJ,"1013,2",,,,,,120.234375,251.0,0.42,2944.0,2912,3862,277.64,118.8721,"No alert, no SPI, aircraft airbone",RYR82GJ,41.2706883,2.31738979,2944.0,28.189831088876414,9.403146061838715
CAT048,20,129,04:01:24:789,41.28550594,2.08365183,-0.0002089813351631,-0.0006856343236565,1.234375,222.418213,1000.0,0.0,4CAD3C,RYR1FB,1014,,,,,,63.28125,114.0,0.172,224.0,32,2077,111.1,65.5115,"No alert, no SPI, aircraft airbone",RYR1FB,41.28550594,2.08365183,224.0,17.64150406638069,10.230940333570663
CAT048,20,129,04:01:27:438,41.26832014,2.32316401,1798.25186360814,5899.77664420012,10.234375,100.914917,437.0,59.0,4CA739,RYR82GJ,"1013,2",,,,,,127.089844,250.0,0.42,2976.0,2976,3862,278.3,125.6287,"No alert, no SPI, aircraft airbone",RYR82GJ,41.26832014,2.32316401,2976.0,28.451345875759745,9.26288733189064
