time_preceding,time_following,callsign_preceding,callsign_following,X_pre,Y_pre,X_fol,Y_fol,distance_nm
04:01:23:438,04:01:24:789,RYR82GJ,RYR1FB,28.189831088876414,9.403146061838717,17.64150406638069,10.230940333570665,10.580758305992331
04:01:24:789,04:01:27:438,RYR1FB,RYR82GJ,17.64150406638069,10.230940333570665,28.451345875759745,9.26288733189064,10.85310124148214
04:01:27:438,04:01:28:758,RYR82GJ,RYR1FB,28.451345875759745,9.26288733189064,17.763250594086678,10.290640997548516,10.737395324164762
04:03:47:234,04:03:48:617,RYR1FB,VLG6152,25.311359808323434,10.075825222834451,17.580776571465258,10.207406117530038,7.731702963373692
04:03:48:617,04:03:51:227,VLG6152,RYR1FB,17.580776571465258,10.207406117530038,25.57480076223676,10.049305288852771,7.995587447753191
04:03:51:227,04:03:52:578,RYR1FB,VLG6152,25.57480076223676,10.049305288852771,17.700124366235805,10.257117768663036,7.877418001382145
04:03:52:578,04:03:55:219,VLG6152,RYR1FB,17.700124366235805,10.257117768663036,25.842082277457735,10.073331342892391,8.144031930095002
04:03:55:219,04:03:56:547,RYR1FB,VLG6152,25.842082277457735,10.073331342892391,17.833851015408133,10.324034160727582,8.012154507330663
04:03:56:547,04:03:59:203,VLG6152,RYR1FB,17.833851015408133,10.324034160727582,26.10882816249936,10.126701906348735,8.277329690395346
04:03:59:203,04:04:00:484,RYR1FB,VLG6152,26.10882816249936,10.126701906348735,17.979265860403416,10.388316702304827,8.13377068309174
04:04:00:484,04:04:03:188,VLG6152,RYR1FB,17.979265860403416,10.388316702304827,26.37278726317664,10.198127001534234,8.395675890664872
04:04:03:188,04:04:04:398,RYR1FB,VLG6152,26.37278726317664,10.198127001534234,18.13827063087476,10.464179157935392,8.238813501808497
04:04:04:398,04:04:07:172,VLG6152,RYR1FB,18.13827063087476,10.464179157935392,26.623944302576287,10.310224602096133,8.4870701462797
04:04:07:172,04:04:08:281,RYR1FB,VLG6152,26.623944302576287,10.310224602096133,18.299689460488548,10.540400296032882,8.327436551910825
04:04:08:281,04:04:11:156,VLG6152,RYR1FB,18.299689460488548,10.540400296032882,26.871045520578416,10.44801754119807,8.571853899958292
