CAT,SAC,SIC,Time,lat,lon,H(m),Hft,RHO,THETA,mode3a,FL,TA,callsign,BP,ROLL,track_true,GS,track_rate,TAS,HDG,IAS,MACH,BAR,IVV,TN,GS(kt),HDG.1,STAT,callsign_norm,time_seconds,id,Indicativo,Origen,Destino,HoraDespegue,RutaSACTA,TipoAeronave,Estela,EstelaRECAT,ProcDesp,ATOT,PistaDesp,ATOT_seconds
CAT048,20,129,05:00:11:922,41.28936417,2.09527381,8.56006518006325e-05,0.0002808420424535,0.746094,204.290771,1000.0,0.0,3444D0,VLG3YR,1013,,,,,,-114.609375,113.0,0.168,160.0,64,3580,109.78,245.7697,"No alert, no SPI, aircraft airbone",VLG3YR,18011.922,571,VLG3YR,LEBL,LIRF,0 days 05:00:28,DCT DR24LB DCT F34BL DCT BL800 DCT BL805 DCT BL811 DCT 4104N00254E 005(BL813) 4103N00321E DCT 4103N00328E DCT DIPES DCT TOSNU DCT LAPIT OSPOK **,A320,Media,M+,-,0 days 05:00:28,LEBL-24L,18028.0
CAT048,20,129,05:00:15:984,41.28837666,2.09254069,4.9954280257225e-05,0.0001638920008391,0.855469,210.217896,1000.0,0.0,3444D0,VLG3YR,1013,,,,,,-114.433594,126.0,0.188,224.0,32,3580,126.28,245.6653,"No alert, no SPI, aircraft airbone",VLG3YR,18015.984,571,VLG3YR,LEBL,LIRF,0 days 05:00:28,DCT DR24LB DCT F34BL DCT BL800 DCT BL805 DCT BL811 DCT 4104N00254E 005(BL813) 4103N00321E DCT 4103N00328E DCT DIPES DCT TOSNU DCT LAPIT OSPOK **,A320,Media,M+,-,0 days 05:00:28,LEBL-24L,18028.0
CAT048,20,129,05:00:20:039,41.28731792,2.08931299,-1.98781490325928e-05,-6.52170264720917e-05,0.988281,215.689087,1000.0,0.0,3444D0,VLG3YR,1013,-0.527,,142,,144.0,-114.257812,143.0,0.22,-256.0,32,3580,141.9,245.4181,"No alert, no SPI, aircraft airbone",VLG3YR,18020.039,571,VLG3YR,LEBL,LIRF,0 days 05:00:28,DCT DR24LB DCT F34BL DCT BL800 DCT BL805 DCT BL811 DCT 4104N00254E 005(BL813) 4103N00321E DCT 4103N00328E DCT DIPES DCT TOSNU DCT LAPIT OSPOK **,A320,Media,M+,-,0 days 05:00:28,LEBL-24L,18028.0
CAT048,20,129,05:00:24:078,41.28610737,2.0858889,-0.0001203855499625,-0.000394965727739,1.140625,219.885864,1000.0,-0.25,3444D0,VLG3YR,1013,,,,,,-114.082031,155.0,0.232,-1408.0,160,3580,155.76,245.7367,"No alert, no SPI, aircraft airbone",VLG3YR,18024.078,571,VLG3YR,LEBL,LIRF,0 days 05:00:28,DCT DR24LB DCT F34BL DCT BL800 DCT BL805 DCT BL811 DCT 4104N00254E 005(BL813) 4103N00321E DCT 4103N00328E DCT DIPES DCT TOSNU DCT LAPIT OSPOK **,A320,Media,M+,-,0 days 05:00:28,LEBL-24L,18028.0
CAT048,20,129,05:00:28:109,41.28480163,2.08224314,15.239740466699,49.9991501127648,1.308594,223.231201,1000.0,0.5,3444D0,VLG3YR,1013,,,,,,-113.027344,162.0,0.244,2336.0,1824,3580,168.3,244.649,"No alert, no SPI, aircraft airbone",VLG3YR,18028.109,571,VLG3YR,LEBL,LIRF,0 days 05:00:28,DCT DR24LB DCT F34BL DCT BL800 DCT BL805 DCT BL811 DCT 4104N00254E 005(BL813) 4103N00321E DCT 4103N00328E DCT DIPES DCT TOSNU DCT LAPIT OSPOK **,A320,Media,M+,-,0 days 05:00:28,LEBL-24L,18028.0
CAT048,20,129,05:00:32:141,41.28359762,2.07845815,60.9595542130992,199.998543844504,1.480469,226.148071,1000.0,2.0,3444D0,VLG3YR,1013,,,,,,-111.972656,159.0,0.24,2592.0,2656,3580,162.58,244.8523,"No alert, no SPI, aircraft airbone",VLG3YR,18032.141,571,VLG3YR,LEBL,LIRF,0 days 05:00:28,DCT DR24LB DCT F34BL DCT BL800 DCT BL805 DCT BL811 DCT 4104N00254E 005(BL813) 4103N00321E DCT 4103N00328E DCT DIPES DCT TOSNU DCT LAPIT OSPOK **,A320,Media,M+,-,0 days 05:00:28,LEBL-24L,18028.0
CAT048,20,129,05:00:36:148,41.28234101,2.07495148,106.679354515858,349.997893469808,1.648438,228.081665,1000.0,3.5,3444D0,VLG3YR,1013,0.176,,162,,156.0,-111.796875,153.0,0.232,2208.0,2112,3580,161.48,244.704,"No alert, no SPI, aircraft airbone",VLG3YR,18036.148,571,VLG3YR,LEBL,LIRF,0 days 05:00:28,DCT DR24LB DCT F34BL DCT BL800 DCT BL805 DCT BL811 DCT 4104N00254E 005(BL813) 4103N00321E DCT 4103N00328E DCT DIPES DCT TOSNU DCT LAPIT OSPOK **,A320,Media,M+,-,0 days 05:00:28,LEBL-24L,18028.0
CAT048,20,129,05:00:40:164,41.28098917,2.07125938,144.779111908749,474.997101514699,1.828125,229.691162,1000.0,4.75,3444D0,VLG3YR,1013,,,,,,-116.191406,158.0,0.24,1664.0,1792,3580,164.78,244.8358,"No alert, no SPI, aircraft airbone",VLG3YR,18040.164,571,VLG3YR,LEBL,LIRF,0 days 05:00:28,DCT DR24LB DCT F34BL DCT BL800 DCT BL805 DCT BL811 DCT 4104N00254E 005(BL813) 4103N00321E DCT 4103N00328E DCT DIPES DCT TOSNU DCT LAPIT OSPOK **,A320,Media,M+,-,0 days 05:00:28,LEBL-24L,18028.0
CAT048,20,129,05:00:44:172,41.27952559,2.06761836,190.498845493421,624.996232248635,2.011719,230.822754,1000.0,6.25,3444D0,VLG3YR,1013,,,,,,-124.453125,160.0,0.244,2400.0,2400,3580,168.3,238.8593,"No alert, no SPI, aircraft airbone",VLG3YR,18044.172,571,VLG3YR,LEBL,LIRF,0 days 05:00:28,DCT DR24LB DCT F34BL DCT BL800 DCT BL805 DCT BL811 DCT 4104N00254E 005(BL813) 4103N00321E DCT 4103N00328E DCT DIPES DCT TOSNU DCT LAPIT OSPOK **,A320,Media,M+,-,0 days 05:00:28,LEBL-24L,18028.0
CAT048,20,129,05:00:48:164,41.27747813,2.06451156,236.218635421246,774.995547835442,2.199219,230.657959,1000.0,7.75,3444D0,VLG3YR,1013,,,,,,-138.515625,163.0,0.248,2496.0,2528,3580,168.08,228.62,"No alert, no SPI, aircraft airbone",VLG3YR,18048.164,571,VLG3YR,LEBL,LIRF,0 days 05:00:28,DCT DR24LB DCT F34BL DCT BL800 DCT BL805 DCT BL811 DCT 4104N00254E 005(BL813) 4103N00321E DCT 4103N00328E DCT DIPES DCT TOSNU DCT LAPIT OSPOK **,A320,Media,M+,-,0 days 05:00:28,LEBL-24L,18028.0
