id_preceding,id_following,callsign_preceding,callsign_following,wake_cat_preceding,wake_cat_following,runway_preceding,runway_following,sid_preceding,sid_following,distance_twr_nm,time_twr,distance_tma_nm,time_tma,ac_type_preceding,ac_type_following,proc_preceding,proc_following,engine_group_preceding,engine_group_following,malformed_engine_group,same_runway,same_sid,loa_min_required_nm,twr_ok,tma_ok,loa_ok,reason
544,545,RYR82GJ,RYR1FB,Media,Media,LEBL-06R,LEBL-06R,-,-,10.85310124148214,04:01:27:438,,,B738,B38M,-,-,HP,HP,False,True,False,3,True,True,True,
545,546,RYR1FB,VLG6152,Media,Media,LEBL-06R,LEBL-06R,-,-,8.012154507330663,04:03:55:219,8.13377068309174,04:03:59:203,B38M,A320,-,-,HP,HP,False,True,False,3,True,True,True,
546,547,VLG6152,VLG9YD,Media,Media,LEBL-06R,LEBL-06R,-,-,5.522499479852279,04:05:43:094,5.611294290151965,04:05:47:086,A320,A320,-,-,HP,HP,False,True,False,3,True,True,True,
547,548,VLG9YD,RYR28RR,Media,Media,LEBL-06R,LEBL-06R,-,-,5.931789784264679,04:07:34:945,6.0444215244474035,04:07:38:938,A320,B738,-,-,HP,HP,False,True,False,3,True,True,True,
548,549,RYR28RR,RYR91MD,Media,Media,LEBL-06R,LEBL-06R,-,-,7.2964577715891545,,,,B738,B738,-,-,HP,HP,False,True,False,3,True,True,True,
549,550,RYR91MD,RYR699N,Media,Media,LEBL-06R,LEBL-06R,-,-,4.817247737828315,04:10:46:688,4.921786250496214,04:10:50:680,B738,B738,-,-,HP,HP,False,True,False,3,True,True,True,
550,551,RYR699N,VLG53PC,Media,Media,LEBL-06R,LEBL-06R,-,-,3.7980379482987323,04:12:02:594,3.901689986946284,04:12:06:586,B738,A320,-,-,HP,HP,False,True,False,3,True,True,True,
551,552,VLG53PC,SWR7YT,Media,Media,LEBL-06R,LEBL-06R,-,-,4.975500237117856,04:13:42:461,5.076228816990706,04:13:46:453,A320,A320,-,-,HP,HP,False,True,False,3,True,True,True,
552,553,SWR7YT,RYR32FE,Media,Media,LEBL-06R,LEBL-06R,-,-,5.034787061872285,04:15:22:336,5.165063763742974,04:15:26:328,A320,B738,-,-,HP,HP,False,True,False,3,True,True,True,
553,554,RYR32FE,RYR57ZC,Media,Media,LEBL-06R,LEBL-06R,-,LARPA4R,4.673986137404997,04:16:58:195,4.781552823419622,04:17:02:188,B738,B738,-,LARPA4R,HP,HP,False,True,False,3,True,True,True,
554,555,RYR57ZC,VLG1510,Media,Media,LEBL-06R,LEBL-06R,LARPA4R,-,3.8595357283207474,04:18:18:094,3.940625455934321,04:18:22:086,B738,A320,LARPA4R,-,HP,HP,False,True,False,3,True,True,True,
556,557,VLG8FU,RYR73JP,Media,Media,LEBL-06R,LEBL-06R,-,-,5.0880362580877465,04:22:53:719,5.208022121950959,04:22:57:711,A320,B738,-,-,HP,HP,False,True,False,3,True,True,True,
557,558,RYR73JP,ITY075,Media,Media,LEBL-06R,LEBL-06R,-,-,5.379041263034491,04:24:37:586,5.496928522158092,04:24:41:578,B738,A20N,-,-,HP,HP,False,True,False,3,True,True,True,
558,559,ITY075,RYR2A,Media,Media,LEBL-06R,LEBL-06R,-,DUNES4R,4.20447774734677,04:26:09:469,4.308142586828203,04:26:13:461,A20N,B738,-,DUNES4R,HP,HP,False,True,False,3,True,True,True,
559,560,RYR2A,TVF32ER,Media,Media,LEBL-06R,LEBL-06R,DUNES4R,-,6.320825345941258,,,,B738,A20N,DUNES4R,-,HP,HP,False,True,False,3,True,True,True,
560,561,TVF32ER,VLG911N,Media,Media,LEBL-06R,LEBL-06R,-,-,4.854588675543095,04:29:25:203,4.957556045535708,04:29:29:195,A20N,A320,-,-,HP,HP,False,True,False,3,True,True,True,
561,562,VLG911N,TAP1041,Media,Media,LEBL-06R,LEBL-06R,-,-,3.9923841719857958,04:30:49:086,4.098237597704323,04:30:53:078,A320,A320,-,-,HP,HP,False,True,False,3,True,True,True,
562,563,TAP1041,RYR2VR,Media,Media,LEBL-06R,LEBL-06R,-,-,6.34686314268283,,,,A320,B738,-,-,HP,HP,False,True,False,3,True,True,True,
563,564,RYR2VR,RYR81RY,Media,Media,LEBL-06R,LEBL-06R,-,-,6.680737402600565,04:34:32:773,6.8097046623622965,04:34:36:766,B738,B38M,-,-,HP,HP,False,True,False,3,True,True,True,
564,565,RYR81RY,KLM73T,Media,Media,LEBL-06R,LEBL-06R,-,-,3.987323966551327,04:35:56:688,4.07623887232034,04:36:00:688,B38M,B738,-,-,HP,HP,False,True,False,3,True,True,True,
565,566,KLM73T,AFR32SN,Media,Media,LEBL-06R,LEBL-06R,-,OLOXO1R,5.623248238581482,04:37:44:531,5.724433250502051,04:37:48:531,B738,A320,-,OLOXO1R,HP,HP,False,True,False,3,True,True,True,
566,567,AFR32SN,VLG8SJ,Media,Media,LEBL-06R,LEBL-06R,OLOXO1R,-,6.717689677908054,04:40:04:344,6.825517152824388,04:40:08:336,A320,A320,OLOXO1R,-,HP,HP,False,True,False,3,True,True,True,
572,573,VLG1265,VLG73QE,Media,Media,LEBL-24L,LEBL-24L,OLOXO1C,GRAUS1C,9.423810380675667,05:08:59:313,,,A320,A321,OLOXO1C,GRAUS1C,HP,HP,False,True,True,5,True,True,True,
573,574,VLG73QE,VLG6001,Media,Media,LEBL-24L,LEBL-24L,GRAUS1C,-,6.062581653549494,05:12:07:070,6.118672046604098,05:12:11:070,A321,A319,GRAUS1C,-,HP,HP,False,True,False,3,True,True,True,
575,576,VLG4SW,VLG4VF,Media,Media,LEBL-24L,LEBL-24L,DIPES1C,-,4.286181944098159,05:15:14:727,4.403660379152502,05:15:18:711,A321,A321,DIPES1C,-,HP,HP,False,True,False,3,True,True,True,
576,577,VLG4VF,DLH03K,Media,Media,LEBL-24L,LEBL-24L,-,-,4.436086403148738,05:16:50:586,4.579686670342399,05:16:54:563,A321,A20N,-,-,HP,HP,False,True,False,3,True,True,True,
577,578,DLH03K,VLG593U,Media,Media,LEBL-24L,LEBL-24L,-,-,3.2542330293532453,05:18:14:508,3.3193607061720454,05:18:18:500,A20N,A321,-,-,HP,HP,False,True,False,3,True,True,True,
578,579,VLG593U,VLG38HJ,Media,Media,LEBL-24L,LEBL-24L,-,-,5.432518966134518,,,,A321,A321,-,-,HP,HP,False,True,False,3,True,True,True,
579,580,VLG38HJ,IBE04RC,Media,Media,LEBL-24L,LEBL-24L,-,-,2.841282141366866,05:20:42:375,2.921698258883214,05:20:46:344,A321,A320,-,-,HP,HP,False,True,False,3,False,True,False,TWR 2.8 < 3
580,581,IBE04RC,EJU14CG,Media,Media,LEBL-24L,LEBL-24L,-,-,2.912293644084692,05:21:50:344,2.965283730145043,05:21:54:320,A320,A319,-,-,HP,HP,False,True,False,3,False,True,False,TWR 2.9 < 3
581,582,EJU14CG,VLG23TK,Media,Media,LEBL-24L,LEBL-24L,-,LARPA1C,3.9191781417153426,05:23:22:125,4.013805703309365,05:23:26:109,A319,A321,-,LARPA1C,HP,HP,False,True,False,3,True,True,True,
582,583,VLG23TK,VLG7830,Media,Media,LEBL-24L,LEBL-24L,LARPA1C,-,3.976423863656191,05:24:53:961,4.080770383291489,05:24:57:953,A321,A321,LARPA1C,-,HP,HP,False,True,False,3,True,True,True,
583,584,VLG7830,VLG6UW,Media,Media,LEBL-24L,LEBL-24L,-,SENIA1C,2.9807270125209047,05:25:58:023,3.0505800579964277,05:26:02:000,A321,A321,-,SENIA1C,HP,HP,False,True,False,3,False,True,False,TWR 3.0 < 3
584,585,VLG6UW,VLG3BV,Media,Media,LEBL-24L,LEBL-24L,SENIA1C,-,4.360395694141589,05:27:37:750,4.49021451353848,05:27:41:734,A321,A320,SENIA1C,-,HP,HP,False,True,False,3,True,True,True,
