id_preceding,id_following,callsign_preceding,callsign_following,wake_cat_preceding,wake_cat_following,runway_preceding,runway_following,sid_preceding,sid_following,distance_twr_nm,time_twr,distance_tma_nm,time_tma,ac_type_preceding,ac_type_following,proc_preceding,proc_following,engine_group_preceding,engine_group_following,malformed_engine_group,same_runway,same_sid,loa_min_required_nm,twr_ok,tma_ok,loa_ok,reason
579,580,VLG38HJ,IBE04RC,Media,Media,LEBL-24L,LEBL-24L,-,-,2.841282141366866,05:20:42:375,2.921698258883214,05:20:46:344,A321,A320,-,-,HP,HP,False,True,False,3,False,True,False,TWR 2.8 < 3
580,581,IBE04RC,EJU14CG,Media,Media,LEBL-24L,LEBL-24L,-,-,2.912293644084692,05:21:50:344,2.965283730145043,05:21:54:320,A320,A319,-,-,HP,HP,False,True,False,3,False,True,False,TWR 2.9 < 3
583,584,VLG7830,VLG6UW,Media,Media,LEBL-24L,LEBL-24L,-,SENIA1C,2.9807270125209047,05:25:58:023,3.0505800579964277,05:26:02:000,A321,A321,-,SENIA1C,HP,HP,False,True,False,3,False,True,False,TWR 3.0 < 3
592,593,VLG15SY,VLG7EY,Media,Media,LEBL-24L,LEBL-24L,SENIA1C,LOTOS1C,4.366940075969639,05:39:08:867,4.495696760125307,05:39:12:852,A320,A321,SENIA1C,LOTOS1C,HP,HP,False,True,True,5,False,True,False,TWR 4.4 < 5
596,597,VLG5YL,RYR2SY,Media,Media,LEBL-24L,LEBL-24L,-,-,2.959109738480421,05:44:20:555,3.044486952714462,05:44:24:531,A320,B738,-,-,HP,HP,False,True,False,3,False,True,False,TWR 3.0 < 3
602,603,VLG6FZ,VLG9VG,Media,Media,LEBL-24L,LEBL-24L,-,-,2.6336052779907186,05:52:24:023,2.67428764731968,05:52:28:000,A320,A321,-,-,HP,HP,False,True,False,3,False,True,False,TWR 2.6 < 3
605,606,VLG44WK,VLG2GP,Media,Media,LEBL-24L,LEBL-24L,OLOXO1C,LARPA1C,2.9578330137953857,05:56:15:656,3.023101569265343,05:56:19:633,A321,A320,OLOXO1C,LARPA1C,HP,HP,False,True,False,3,False,True,False,TWR 3.0 < 3
608,609,EJU86XG,BAW47C,Media,Media,LEBL-24L,LEBL-24L,-,-,2.5995217229877308,06:00:07:367,2.639943233380643,06:00:11:344,A319,A319,-,-,HP,HP,False,True,False,3,False,True,False,TWR 2.6 < 3
619,620,VLG8VX,IBE04GZ,Media,Media,LEBL-24L,LEBL-24L,-,-,2.800892769957876,06:15:34:148,2.846936957972436,06:15:38:125,A320,A320,-,-,HP,HP,False,True,False,3,False,True,False,TWR 2.8 < 3
627,628,SWT7TN,EJU37TW,Media,Media,LEBL-24L,LEBL-24L,LARPA1C,NATPI1C,5.428754790660162,06:31:04:781,5.534657118257079,06:31:08:773,AT72,A319,LARPA1C,NATPI1C,NR+,HP,False,True,False,8,False,True,False,TWR 5.4 < 8
629,630,VLG92CD,VLG2974,Media,Media,LEBL-24L,LEBL-24L,NATPI1C,NATPI1C,4.7521491806519265,,,,A320,A20N,NATPI1C,NATPI1C,HP,HP,False,True,True,5,False,True,False,TWR 4.8 < 5
640,641,RYR4WX,VLG5FN,Media,Media,LEBL-24L,LEBL-24L,OLOXO1C,NATPI1C,4.576322890718043,07:05:22:266,4.692315795557516,07:05:26:250,B38M,A320,OLOXO1C,NATPI1C,HP,HP,False,True,True,5,False,True,False,TWR 4.6 < 5
