Callsign_Preceding;Callsign_Following;ATOT_Preceding;ATOT_Following;Time_Overlap_Seconds;ToD_TWR;Distance_TWR_NM;ToD_Min_TMA;Min_Distance_TMA_NM;Inc_Radar_TWR;Inc_Radar_TMA;Inc_Wake_TWR;Inc_Wake_TMA;Wake_Separation_Required_NM;Wake_Preceding;Wake_Following;SID_Preceding;SID_Following;Runway;Aircraft_Type_Preceding;Aircraft_Type_Following;Wake_Preceding_Verified;Engine_Preceding;Wake_Following_Verified;Engine_Following;Same_SID
RYR82GJ;RYR1FB;03:58:00;04:01:00;2.6489999999994325;14488.758;10.74;;;False;False;NA;NA;NA;MEDIUM;MEDIUM;-;-;06R;B738;B38M;;;;;False
RYR1FB;VLG6152;04:01:00;04:04:00;74.36000000000058;14632.578;7.88;14648.281;7.82;False;False;NA;NA;NA;MEDIUM;MEDIUM;-;-;06R;B38M;A320;;;;;False
VLG6152;VLG9YD;04:04:00;04:05:00;82.54700000000048;14744.438;5.52;14760.086;5.35;False;False;NA;NA;NA;MEDIUM;MEDIUM;-;-;06R;A320;A320;;;;;False
VLG9YD;RYR28RR;04:05:00;04:07:00;46.52399999999943;14852.281;5.81;14867.977;5.74;False;False;NA;NA;NA;MEDIUM;MEDIUM;-;-;06R;A320;B738;;;;;False
RYR28RR;RYR91MD;04:07:00;04:09:00;118.47600000000057;14952.141;4.85;14967.805;4.72;False;False;NA;NA;NA;MEDIUM;MEDIUM;-;-;06R;B738;B738;;;;;False
RYR91MD;RYR699N;04:09:00;04:10:00;94.72700000000077;15044.031;4.7;15059.727;4.6;False;False;NA;NA;NA;MEDIUM;MEDIUM;-;-;06R;B738;B738;;;;;False
RYR699N;VLG53PC;04:10:00;04:12:00;94.44499999999971;15123.906;3.8;15139.547;3.66;False;False;NA;NA;NA;MEDIUM;MEDIUM;-;-;06R;B738;A320;;;;;False
VLG53PC;SWR7YT;04:12:00;04:13:00;82.5;15223.766;4.98;15239.375;4.87;False;False;NA;NA;NA;MEDIUM;MEDIUM;-;-;06R;A320;A320;;;;;False
SWR7YT;RYR32FE;04:13:00;04:15:00;74.51599999999962;15323.648;5.03;15339.313;4.96;False;False;NA;NA;NA;MEDIUM;MEDIUM;-;-;06R;A320;B738;;;;;False
RYR32FE;RYR57ZC;04:15:00;04:17:00;86.5069999999996;15415.531;4.56;15431.242;4.47;False;False;NA;NA;NA;MEDIUM;MEDIUM;-;LARPA4R;06R;B738;B738;;;;;False
RYR57ZC;VLG1510;04:17:00;04:18:00;86.5;15499.391;3.86;15514.984;3.7;False;False;NA;NA;NA;MEDIUM;MEDIUM;LARPA4R;-;06R;B738;A320;;;;;False
VLG8FU;RYR73JP;04:21:00;04:23:00;70.47699999999895;15775.047;5.09;15790.68;5.0;False;False;NA;NA;NA;MEDIUM;MEDIUM;-;-;06R;A320;B738;;;;;False
RYR73JP;ITY075;04:23:00;04:24:00;50.54700000000048;15878.898;5.38;15894.555;5.32;False;False;NA;NA;NA;MEDIUM;MEDIUM;-;-;06R;B738;A20N;;;;;False
ITY075;RYR2A;04:24:00;04:26:00;86.5;15966.797;4.09;15982.484;4.0;False;False;NA;NA;NA;MEDIUM;MEDIUM;-;DUNES4R;06R;A20N;B738;;;;;False
RYR2A;TVF32ER;04:26:00;04:27:00;102.53900000000067;16062.641;4.52;16078.273;4.41;False;False;NA;NA;NA;MEDIUM;MEDIUM;DUNES4R;-;06R;B738;A20N;;;;;False
TVF32ER;VLG911N;04:27:00;04:29:00;34.57800000000134;16166.508;4.85;16182.117;4.73;False;False;NA;NA;NA;MEDIUM;MEDIUM;-;-;06R;A20N;A320;;;;;False
VLG911N;TAP1041;04:29:00;04:31:00;90.41399999999885;16250.406;3.99;16266.047;3.87;False;False;NA;NA;NA;MEDIUM;MEDIUM;-;-;06R;A320;A320;;;;;False
TAP1041;RYR2VR;04:31:00;04:32:00;94.58600000000115;16350.281;4.98;16365.938;4.88;False;False;NA;NA;NA;MEDIUM;MEDIUM;-;-;06R;A320;B738;;;;;False
RYR2VR;RYR81RY;04:32:00;04:34:00;54.53099999999904;16474.109;6.68;16489.75;6.61;False;False;NA;NA;NA;MEDIUM;MEDIUM;-;-;06R;B738;B38M;;;;;False
RYR81RY;KLM73T;04:34:00;04:36:00;98.5;16554.016;3.88;16569.688;3.75;False;False;NA;NA;NA;MEDIUM;MEDIUM;-;-;06R;B38M;B738;;;;;False
KLM73T;AFR32SN;04:36:00;04:37:00;90.29699999999866;16661.883;5.52;16677.57;5.41;False;False;NA;NA;NA;MEDIUM;MEDIUM;-;OLOXO1R;06R;B738;A320;;;;;False
AFR32SN;VLG8SJ;04:37:00;04:40:00;62.40699999999924;16801.703;6.59;16817.398;6.5;False;False;NA;NA;NA;MEDIUM;MEDIUM;OLOXO1R;-;06R;A320;A320;;;;;False
