Callsign_Preceding;Callsign_Following;ATOT_Preceding;ATOT_Following;Time_Overlap_Seconds;ToD_TWR;Distance_TWR_NM;ToD_Min_TMA;Min_Distance_TMA_NM;Inc_Radar_TWR;Inc_Radar_TMA;Inc_Wake_TWR;Inc_Wake_TMA;Wake_Separation_Required_NM;Wake_Preceding;Wake_Following;SID_Preceding;SID_Following;Runway;Aircraft_Type_Preceding;Aircraft_Type_Following;Wake_Preceding_Verified;Engine_Preceding;Wake_Following_Verified;Engine_Following;Same_SID
VLG1265;VLG73QE;05:06:00;05:09:00;0.1099999999969441;18547.32;9.2;;;False;False;NA;NA;NA;MEDIUM;MEDIUM;OLOXO1C;GRAUS1C;24L;A320;A321;;;;;False
VLG73QE;VLG6001;05:09:00;05:11:00;8.007000000001426;18723.063;6.01;18734.992;5.63;False;False;NA;NA;NA;MEDIUM;MEDIUM;GRAUS1C;-;24L;A321;A319;;;;;False
VLG4SW;VLG4VF;05:13:00;05:15:00;111.55400000000009;18914.852;4.29;18930.977;4.3;False;False;NA;NA;NA;MEDIUM;MEDIUM;DIPES1C;-;24L;A321;A321;;;;;False
VLG4VF;DLH03K;05:15:00;05:17:00;95.76599999999962;19010.703;4.44;19026.836;4.53;False;False;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;A321;A20N;;;;;False
DLH03K;VLG593U;05:17:00;05:18:00;67.81999999999971;19094.563;3.25;19110.719;3.14;False;False;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;A20N;A321;;;;;False
VLG593U;VLG38HJ;05:18:00;05:19:00;135.81300000000192;19174.492;3.29;19190.625;3.2;False;False;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;A321;A321;;;;;False
VLG38HJ;IBE04RC;05:19:00;05:20:00;103.76599999999962;19242.406;2.84;19258.539;2.76;True;True;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;A321;A320;;;;;False
IBE04RC;EJU14CG;05:20:00;05:22:00;119.79699999999866;19310.273;2.91;19326.43;2.73;True;True;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;A320;A319;;;;;False
EJU14CG;VLG23TK;05:22:00;05:23:00;67.85900000000038;19402.188;3.92;19418.328;3.86;False;False;NA;NA;NA;MEDIUM;MEDIUM;-;LARPA1C;24L;A319;A321;;;;;False
VLG23TK;VLG7830;05:23:00;05:25:00;91.78900000000067;19490.07;3.86;19506.219;3.84;False;False;NA;NA;NA;MEDIUM;MEDIUM;LARPA1C;-;24L;A321;A321;;;;;False
VLG7830;VLG6UW;05:25:00;05:26:00;119.96099999999933;19557.961;2.98;19574.125;2.83;True;True;NA;NA;NA;MEDIUM;MEDIUM;-;SENIA1C;24L;A321;A321;;;;;False
VLG6UW;VLG3BV;05:26:00;05:27:00;87.84399999999732;19657.883;4.36;19674.008;4.41;False;False;NA;NA;NA;MEDIUM;MEDIUM;SENIA1C;-;24L;A321;A320;;;;;False
VLG3BV;VLG2472;05:27:00;05:29:00;96.00799999999799;19733.758;3.48;19749.898;3.43;False;False;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;A320;A321;;;;;False
VLG2472;VLG3LK;05:29:00;05:30:00;83.81999999999971;19829.617;4.38;19845.773;4.44;False;False;NA;NA;NA;MEDIUM;MEDIUM;-;DUNES1C;24L;A321;A320;;;;;False
VLG3LK;VLG55PB;05:30:00;05:32:00;67.85199999999895;19933.523;4.81;19949.648;4.83;False;False;NA;NA;NA;MEDIUM;MEDIUM;DUNES1C;-;24L;A320;A21N;;;;;False
VLG55PB;VLG56ND;05:32:00;05:33:00;115.80500000000029;20005.383;3.13;20021.531;3.07;False;False;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;A21N;A319;;;;;False
VLG56ND;VLG1PT;05:33:00;05:34:00;91.96899999999732;20081.328;3.22;20097.453;3.11;False;False;NA;NA;NA;MEDIUM;MEDIUM;-;LARPA1C;24L;A319;A321;;;;;False
VLG1PT;VLG11TT;05:34:00;05:36:00;107.80500000000029;20153.18;3.02;20169.336;2.9;False;True;NA;NA;NA;MEDIUM;MEDIUM;LARPA1C;-;24L;A321;A320;;;;;False
VLG11TT;VLG15SY;05:36:00;05:37:00;64.02399999999761;20253.086;4.65;20269.219;4.65;False;False;NA;NA;NA;MEDIUM;MEDIUM;-;SENIA1C;24L;A320;A320;;;;;False
VLG15SY;VLG7EY;05:37:00;05:39:00;83.85100000000239;20348.977;4.37;20365.102;4.38;False;False;NA;NA;NA;MEDIUM;MEDIUM;SENIA1C;LOTOS1C;24L;A320;A321;;;;;False
VLG7EY;VLG76GZ;05:39:00;05:40:00;127.89800000000105;20432.883;3.67;20449.0;3.6;False;False;NA;NA;NA;MEDIUM;MEDIUM;LOTOS1C;-;24L;A321;A321;;;;;False
VLG76GZ;VLG68LT;05:40:00;05:42:00;60.03100000000268;20520.727;4.72;20536.875;4.76;False;False;NA;NA;NA;MEDIUM;MEDIUM;-;OLOXO1C;24L;A321;A321;;;;;False
VLG68LT;VLG5YL;05:42:00;05:43:00;111.93700000000172;20592.625;2.97;20608.781;2.81;True;True;NA;NA;NA;MEDIUM;MEDIUM;OLOXO1C;-;24L;A321;A320;;;;;False
VLG5YL;RYR2SY;05:43:00;05:44:00;111.80400000000009;20660.531;2.96;20676.672;2.88;True;True;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;A320;B738;;;;;False
RYR2SY;VLG2QW;05:44:00;05:45:00;91.98499999999694;20736.453;3.16;20752.602;3.05;False;False;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;B738;A320;;;;;False
VLG2QW;VLG3TC;05:45:00;05:46:00;103.81200000000172;20808.336;3.12;20824.484;2.95;False;True;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;A320;A321;;;;;False
VLG3TC;VLG84ZE;05:46:00;05:48:00;92.03100000000268;20904.242;4.43;20920.383;4.45;False;False;NA;NA;NA;MEDIUM;MEDIUM;-;NATPI1C;24L;A321;A320;;;;;False
VLG84ZE;VLG1YW;05:48:00;05:49:00;99.96900000000096;20980.156;3.37;20996.297;3.23;False;False;NA;NA;NA;MEDIUM;MEDIUM;NATPI1C;-;24L;A320;A320;;;;;False
VLG1YW;VLG6FZ;05:49:00;05:51:00;67.78900000000067;21079.977;4.88;21096.141;4.95;False;False;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;A320;A320;;;;;False
VLG6FZ;VLG9VG;05:51:00;05:52:00;103.98500000000058;21143.938;2.63;21156.055;2.35;True;True;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;A320;A321;;;;;False
VLG9VG;VLG94PH;05:52:00;05:54:00;95.75799999999799;21231.844;3.87;21247.969;3.87;False;False;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;A321;A320;;;;;False
VLG94PH;VLG44WK;05:54:00;05:55:00;91.76599999999962;21307.727;3.42;21323.867;3.39;False;False;NA;NA;NA;MEDIUM;MEDIUM;-;OLOXO1C;24L;A320;A321;;;;;False
VLG44WK;VLG2GP;05:55:00;05:56:00;107.94499999999971;21375.609;2.96;21391.773;2.81;True;True;NA;NA;NA;MEDIUM;MEDIUM;OLOXO1C;LARPA1C;24L;A321;A320;;;;;False
VLG2GP;VLG73LA;05:56:00;05:57:00;75.89100000000326;21467.508;4.15;21483.648;4.17;False;False;NA;NA;NA;MEDIUM;MEDIUM;LARPA1C;-;24L;A320;A20N;;;;;False
VLG73LA;EJU86XG;05:57:00;05:59:00;87.7960000000021;21543.414;3.34;21559.547;3.36;False;False;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;A20N;A319;;;;;False
EJU86XG;BAW47C;05:59:00;06:00:00;91.75700000000143;21607.32;2.6;21623.469;2.42;True;True;NA;NA;NA;MEDIUM;MEDIUM;-;-;24L;A319;A319;;;;;False
BAW47C;VLG5RP;06:00:00;06:02:00;104.00800000000163;21707.188;3.89;21810.992;3.14;False;False;NA;NA;NA;MEDIUM;MEDIUM;-;OLOXO1C;24L;A319;A21N;;;;;False
VLG5RP;VLG6LC;06:02:00;06:03:00;95.96800000000076;21783.078;3.43;21799.242;3.37;False;False;NA;NA;NA;MEDIUM;MEDIUM;OLOXO1C;DALIN1C;24L;A21N;A321;;;;;False
VLG6LC;VLG91MM;06:03:00;06:04:00;99.53199999999924;21859.0;3.21;21875.148;3.14;False;False;NA;NA;NA;MEDIUM;MEDIUM;DALIN1C;-;24L;A321;A320;;;;;False
VLG91MM;DLH98Y;06:04:00;06:05:00;91.98400000000038;21926.93;3.03;21943.063;2.88;False;True;NA;NA;NA;MEDIUM;MEDIUM;-;AGENA1C;24L;A320;A320;;;;;False
DLH98Y;DLH97F;06:05:00;06:07:00;95.73500000000058;22010.797;3.75;22026.953;3.75;False;False;NA;NA;NA;MEDIUM;MEDIUM;AGENA1C;-;24L;A320;A321;;;;;False
DLH97F;THY1852;06:07:00;06:08:00;87.78900000000067;22098.719;3.85;22114.844;3.83;False;False;NA;NA;NA;MEDIUM;MEDIUM;-;DIPES1C;24L;A321;B738;;;;;False
