id_preceding,id_following,callsign_preceding,callsign_following,runway_preceding,runway_following,sid_preceding,sid_following,distance_twr_nm,time_twr,distance_tma_nm,time_tma,violation_twr,violation_tma
544,545,RYR82GJ,RYR1FB,LEBL-06R,LEBL-06R,-,-,10.85310124148214,04:01:27:438,,,False,False
545,546,RYR1FB,VLG6152,LEBL-06R,LEBL-06R,-,-,7.877418001382145,04:03:51:227,8.012154507330663,04:03:55:219,False,False
546,547,VLG6152,VLG9YD,LEBL-06R,LEBL-06R,-,-,5.522499479852279,04:05:43:094,5.611294290151965,04:05:47:086,False,False
547,548,VLG9YD,RYR28RR,LEBL-06R,LEBL-06R,-,-,5.8080368956982165,04:07:30:953,5.931789784264679,04:07:34:945,False,False
548,549,RYR28RR,RYR91MD,LEBL-06R,LEBL-06R,-,-,7.214489261504477,,7.2964577715891545,,False,False
549,550,RYR91MD,RYR699N,LEBL-06R,LEBL-06R,-,-,4.699634547236717,04:10:42:695,4.817247737828315,04:10:46:688,False,False
550,551,RYR699N,VLG53PC,LEBL-06R,LEBL-06R,-,-,3.7980379482987323,04:12:02:594,3.901689986946284,04:12:06:586,False,False
551,552,VLG53PC,SWR7YT,LEBL-06R,LEBL-06R,-,-,4.975500237117856,04:13:42:461,5.076228816990706,04:13:46:453,False,False
552,553,SWR7YT,RYR32FE,LEBL-06R,LEBL-06R,-,-,5.034787061872285,04:15:22:336,5.165063763742974,04:15:26:328,False,False
553,554,RYR32FE,RYR57ZC,LEBL-06R,LEBL-06R,-,LARPA4R,4.56406951173081,04:16:54:195,4.673986137404997,04:16:58:195,False,False
554,555,RYR57ZC,VLG1510,LEBL-06R,LEBL-06R,LARPA4R,-,3.8595357283207474,04:18:18:094,3.940625455934321,04:18:22:086,False,False
556,557,VLG8FU,RYR73JP,LEBL-06R,LEBL-06R,-,-,5.0880362580877465,04:22:53:719,5.208022121950959,04:22:57:711,False,False
557,558,RYR73JP,ITY075,LEBL-06R,LEBL-06R,-,-,5.379041263034491,04:24:37:586,5.496928522158092,04:24:41:578,False,False
558,559,ITY075,RYR2A,LEBL-06R,LEBL-06R,-,DUNES4R,4.090759850115116,04:26:05:477,4.20447774734677,04:26:09:469,False,False
