Time,lat,lon,Hft
04:49:01:023,41.28458491,2.08092563,-0.0010757387185096
04:49:04:992,41.28557836,2.08380289,-0.0006683584115654
04:49:08:953,41.28667699,2.08700688,74.9997068100608
04:49:12:898,41.28776033,2.09029638,275.000010677067
04:49:16:820,41.28875853,2.0935415,525.000228839424
04:49:20:727,41.28983416,2.09674295,750.000347193388
04:49:24:602,41.29078351,2.09990466,1000.00038874056
04:49:28:438,41.29166355,2.10316434,1200.00034648738
04:49:32:242,41.29226815,2.10662878,1375.00021968509
04:49:36:063,41.29266814,2.11031709,1499.99997798947
04:49:39:938,41.2926344,2.11417363,1624.99961840883
04:49:43:859,41.29224803,2.11822779,1724.99911262783
04:49:47:805,41.2916889,2.12246907,1874.9984331493
04:49:51:766,41.2911701,2.12673975,1999.99757810992
04:49:55:727,41.29074333,2.13127409,2124.99647688115
04:49:59:695,41.29040206,2.13606793,2249.99509699503
04:50:03:672,41.29009094,2.1410007,2374.99345134282
04:50:07:648,41.28974161,2.1461272,2524.99150466361
04:50:11:625,41.28931205,2.15135259,2699.98927679691
04:50:15:609,41.28882002,2.15671486,2874.98673232024
04:50:19:594,41.28830595,2.16202072,3099.98395724003
04:50:23:578,41.28777948,2.16747743,3349.98083238507
04:50:27:570,41.28728152,2.17291933,3624.97744007717
04:50:31:555,41.28679645,2.17837511,3874.97376193164
04:50:35:555,41.28630695,2.18389732,4149.96975917355
04:50:39:539,41.28580256,2.18932029,4424.96555671888
04:50:43:531,41.28516115,2.19487905,4699.96098148155
04:50:47:531,41.28360078,2.20008831,4949.9565581771
04:50:51:539,41.28167514,2.20506573,5224.95217729837
04:50:55:547,41.27920211,2.2095646,5499.9481638093
04:50:59:555,41.27621621,2.2134978,5724.94469156629
04:51:03:570,41.27268662,2.21696677,5924.94175732421
