Time,lat,lon,Hft
05:00:11:922,41.28936417,2.09527381,0.0002808420424535
05:00:15:984,41.28837666,2.09254069,0.0001638920008391
05:00:20:039,41.28731792,2.08931299,-6.52170264720917e-05
05:00:24:078,41.28610737,2.0858889,-0.000394965727739
05:00:28:109,41.28480163,2.08224314,49.9991501127648
05:00:32:141,41.28359762,2.07845815,199.998543844504
05:00:36:148,41.28234101,2.07495148,349.997893469808
05:00:40:164,41.28098917,2.07125938,474.997101514699
05:00:44:172,41.27952559,2.06761836,624.996232248635
05:00:48:164,41.27747813,2.06451156,774.995547835442
05:00:52:148,41.27504495,2.06196303,974.995093511738
05:00:56:125,41.27244195,2.06008964,1149.99492677685
05:01:00:102,41.2694635,2.05870583,1249.99506654785
05:01:04:070,41.2663052,2.05790048,1349.99554454662
05:01:08:039,41.26305619,2.05749797,1474.9962891302
05:01:12:008,41.25972297,2.05722842,1549.99719495395
05:01:15:977,41.25627223,2.05704757,1649.9982649598
05:01:19:953,41.25274175,2.0570159,1724.99951884092
05:01:23:922,41.24911026,2.0570404,1800.00093369603
05:01:27:898,41.24542816,2.05716189,1850.00251277637
05:01:31:875,41.24155244,2.05721384,1925.004257921
05:01:35:852,41.23763054,2.05734087,1975.00617328886
05:01:39:828,41.23356018,2.05742205,2000.00826599623
05:01:43:805,41.22933693,2.05748664,2050.01056658271
05:01:47:789,41.22502156,2.05757204,2150.01307084064
05:01:51:766,41.22064843,2.05756087,2300.01571812712
05:01:55:750,41.21618505,2.05750013,2450.01855370087
05:01:59:742,41.2117647,2.05743378,2650.02151462394
05:02:03:727,41.20726751,2.0572577,2875.0246393991
05:02:07:711,41.20283769,2.05715013,3075.02789889845
05:02:11:695,41.19842478,2.05705368,3275.03130334862
05:02:15:688,41.19390317,2.05691142,3475.03493159733
05:02:19:672,41.18951032,2.05687041,3675.03865121527
05:02:23:656,41.1850807,2.05675396,3875.04252370089
05:02:27:648,41.1806493,2.0566729,4050.0465661225
05:02:31:641,41.17609693,2.05657542,4225.05087348218
05:02:35:633,41.17161665,2.05650802,4400.05528400233
05:02:39:617,41.16701937,2.05642977,4600.05997075357
05:02:43:609,41.16256636,2.05634937,4800.06466739858
05:02:47:602,41.15806563,2.05616845,4975.06952968965
05:02:51:586,41.15351673,2.05595206,5175.07459243489
05:02:55:578,41.14900172,2.05592051,5350.07985682631
05:02:59:563,41.14457298,2.0565738,5500.08546889336
05:03:03:555,41.14006519,2.05871217,5675.09194298669
05:03:07:539,41.13583358,2.0610033,5825.0982365845
05:03:11:523,41.13185752,2.06319972,6000.10425165311
