Time,lat,lon,Hft
05:08:59:203,41.28978958,2.09614469,25.0002964830715
05:09:03:266,41.2888773,2.09365135,25.0002105618391
05:09:07:320,41.28789355,2.09063389,25.0000258250784
05:09:11:375,41.28679192,2.08750968,24.9997620511726
05:09:15:406,41.28550336,2.08391275,-0.000640944282934
05:09:19:438,41.28423119,2.08017026,99.9988208128656
05:09:23:453,41.2828983,2.07648766,249.998188933234
05:09:27:469,41.2816595,2.07288335,449.997453526101
05:09:31:477,41.28030142,2.0692342,624.996613330079
05:09:35:477,41.2785515,2.06603513,799.995881901414
05:09:39:461,41.27626811,2.06353027,949.995429145551
05:09:43:438,41.27374862,2.06143716,1124.99516474095
05:09:47:414,41.27092145,2.05997523,1249.995226926
05:09:51:383,41.26799084,2.05897013,1374.99554165898
05:09:55:359,41.26493452,2.0581168,1499.9960106499
05:09:59:336,41.2618374,2.05730142,1624.99657353085
05:10:03:313,41.25865582,2.05643784,1724.99721100945
05:10:07:289,41.25553659,2.05570028,1824.99795287991
05:10:11:266,41.25221756,2.05480994,1899.99877242799
05:10:15:242,41.24895802,2.05403618,1974.99969863206
05:10:19:227,41.24553669,2.05318894,2050.00073772232
05:10:23:211,41.2420119,2.05230443,2125.00189114711
05:10:27:195,41.23843447,2.05143332,2200.00316585161
05:10:31:180,41.23469209,2.05048315,2275.00457979006
05:10:35:164,41.23090181,2.04951314,2325.00611004012
05:10:39:148,41.22700433,2.04850971,2400.00778913358
05:10:43:133,41.22304739,2.04753438,2500.00962843083
05:10:47:117,41.21904042,2.04653148,2575.01159791788
05:10:51:102,41.21493746,2.04545456,2675.01370933368
05:10:55:094,41.21076999,2.04439426,2775.01599568717
05:10:59:086,41.20649394,2.04328665,2900.0184619587
05:11:03:070,41.20218328,2.0421227,3050.02105589274
05:11:07:063,41.19785386,2.04081611,3175.02371570397
05:11:11:055,41.19384905,2.03838679,3350.02557709516
05:11:15:055,41.18981934,2.03582083,3525.02744641848
05:11:19:055,41.18625286,2.03232684,3700.02836844799
05:11:23:055,41.18289621,2.02844863,3850.02881973505
05:11:27:055,41.18006192,2.02339962,4025.02787530606
05:11:31:055,41.17692039,2.01923808,4175.02774042514
05:11:35:063,41.17400806,2.01453217,4325.02685185125
05:11:39:070,41.1712305,2.00975711,4500.02562835547
05:11:43:070,41.16832447,2.00483422,4700.02425211711
05:11:47:070,41.1655562,1.99998596,4875.0226409583
05:11:51:070,41.16274658,1.9951157,5050.02089316274
05:11:55:070,41.15990678,1.99019399,5225.01896548563
05:11:59:070,41.15708099,1.98528852,5400.01687702704
05:12:03:070,41.1542173,1.98034239,5575.01462386674
05:12:07:070,41.15141332,1.97547208,5750.01222669977
05:12:11:070,41.14851727,1.97050668,5925.00966261277
