Time,lat,lon,Hft
05:13:34:867,41.28944013,2.09525713,25.0002739424978
05:13:38:930,41.28850046,2.0924295,25.0001430378947
05:13:42:984,41.28740141,2.08930514,24.9999260256725
05:13:47:031,41.2862193,2.08584649,-0.000413949675709
05:13:51:063,41.28488817,2.08212259,24.9991163922218
05:13:55:086,41.28354439,2.0781657,174.998485447579
05:13:59:102,41.28231243,2.07440696,349.997758745804
05:14:03:125,41.2809885,2.07059186,524.996909752938
05:14:07:125,41.27963852,2.06685462,724.995969396778
05:14:11:125,41.27786724,2.06346506,899.995111561236
05:14:15:102,41.27468624,2.06147387,1024.99498314293
05:14:19:094,41.27269896,2.05853684,1174.9942535997
05:14:23:063,41.26975131,2.05717317,1274.99436843155
05:14:27:031,41.26655601,2.05621134,1349.99477013721
05:14:31:000,41.26325143,2.05591798,1449.99556428457
05:14:34:969,41.2598349,2.05568524,1499.99650252146
05:14:38:938,41.25633728,2.05562237,1549.99763249836
05:14:42:906,41.25269118,2.05558034,1624.9989226424
05:14:46:883,41.24896301,2.05558154,1725.00036870947
05:14:50:852,41.24519695,2.05567441,1825.00197901075
05:14:54:828,41.24139118,2.05584355,1900.00375011814
05:14:58:805,41.23744138,2.05600112,2000.00570041329
05:15:02:781,41.23345421,2.0562129,2075.00781408423
05:15:06:758,41.22932045,2.05638597,2150.01011621356
05:15:10:742,41.2252257,2.05660947,2250.01255082397
05:15:14:727,41.22105032,2.05678162,2350.01514429087
05:15:18:711,41.21685109,2.05691093,2425.01787055698
05:15:22:688,41.21249789,2.05697983,2525.02081566233
05:15:26:672,41.20812429,2.05701553,2675.02391147476
05:15:30:656,41.20364226,2.05699377,2775.02721329378
05:15:34:648,41.19911732,2.05695672,2875.03070010928
05:15:38:633,41.19460493,2.05697007,3000.03435915206
05:15:42:617,41.18992176,2.05691424,3125.03829623192
05:15:46:602,41.18531654,2.0569099,3275.0423579035
05:15:50:594,41.18066772,2.05686099,3425.0466083054
05:15:54:586,41.17584712,2.05677405,3625.051181376
05:15:58:570,41.17121549,2.05678876,3800.05578835695
05:16:02:563,41.16651205,2.05685559,3950.06066065502
05:16:06:547,41.16194441,2.05733905,4100.06573462354
05:16:10:531,41.15718325,2.05941779,4250.07183406748
05:16:14:516,41.1528607,2.06112071,4400.07742195314
05:16:18:500,41.14854984,2.06434215,4550.08366149573
05:16:22:477,41.14456921,2.06801246,4650.08968957224
05:16:26:461,41.14097073,2.07249447,4750.0954663933
05:16:30:438,41.13787041,2.07760806,4850.10066881015
05:16:34:414,41.13544105,2.08321322,4975.1049224847
05:16:38:391,41.13362954,2.08950241,5125.10820373054
05:16:42:367,41.13241093,2.09606006,5275.11037510139
05:16:46:344,41.1317981,2.1026579,5425.11135461153
05:16:50:320,41.13140661,2.10933825,5600.11163271151
05:16:54:297,41.13109997,2.1160122,5775.11138378923
05:16:58:273,41.13094487,2.12271632,5950.11051278745
