Time,lat,lon,Hft
05:15:06:719,41.28976833,2.09621412,25.0003020777293
05:15:10:789,41.28892443,2.09353584,25.0001971572713
05:15:14:852,41.28781801,2.09047354,25.000016163523
05:15:18:891,41.28661858,2.08710647,-0.0002753329392522
05:15:22:930,41.28537911,2.08345177,-0.0007051254880055
05:15:26:953,41.28404263,2.07968942,149.998747541128
05:15:30:977,41.28276254,2.07583756,299.9980525925
05:15:34:992,41.28153754,2.0721157,474.997261122861
05:15:50:961,41.27308172,2.06025542,1124.99485221011
05:15:54:938,41.27019763,2.05862067,1249.99485660305
05:15:58:906,41.26699037,2.05808525,1349.99543959561
05:16:02:875,41.26367563,2.0577293,1424.99620404349
05:16:06:836,41.26026422,2.05755169,1474.99715623494
05:16:10:813,41.25682727,2.05747679,1574.99825161688
05:16:14:781,41.25329314,2.05746993,1699.99950362461
05:16:18:750,41.2497941,2.05755307,1800.00087554337
05:16:22:727,41.24614414,2.0576284,1900.00240333338
05:16:26:703,41.24246014,2.05775392,1975.00407019558
05:16:30:680,41.23881038,2.05793354,2025.00584773502
05:16:34:656,41.23495494,2.05801332,2050.00779202967
05:16:38:641,41.23095242,2.05804979,2100.00991495596
05:16:42:617,41.226853,2.05806242,2125.01220798631
05:16:46:602,41.22259109,2.05805498,2175.01472347059
05:16:50:586,41.21835245,2.05807105,2200.01737491042
05:16:54:563,41.21390456,2.05800123,2300.02027518212
05:16:58:555,41.20935102,2.05792707,2425.02340434573
05:17:02:539,41.20482108,2.05789522,2600.02669729709
05:17:06:523,41.20031564,2.05785607,2775.03012890797
05:17:10:508,41.19570952,2.05774713,2950.0337732014
05:17:14:500,41.19119084,2.05762818,3125.03750512409
05:17:18:484,41.18662078,2.05749798,3300.0414382528
05:17:22:477,41.18200683,2.05731542,3475.04555411996
05:17:26:461,41.17741167,2.0571217,3675.04981512721
05:17:30:453,41.17281989,2.05693175,3850.05423932999
05:17:34:445,41.1681691,2.05671378,4000.05887757826
05:17:38:438,41.16353058,2.05650132,4175.06367579506
05:17:42:422,41.1588365,2.05626342,4350.06869387182
05:17:46:414,41.15415765,2.05597569,4525.07384641593
05:17:50:406,41.14947481,2.05574087,4700.07919857107
05:17:54:398,41.14478849,2.05555728,4875.08474987586
05:17:58:391,41.14005562,2.05528246,5050.09049317122
05:18:02:383,41.13538751,2.05504633,5225.0963461292
05:18:06:375,41.13063981,2.05491654,5400.10252375455
05:18:10:367,41.12596499,2.05517153,5550.10894827835
05:18:14:352,41.12143571,2.05629755,5700.11571650847
05:18:18:336,41.11684418,2.05848061,5850.12316041192
05:18:22:320,41.11263147,2.06160704,6000.13052877068
