Time,lat,lon,Hft
05:16:42:570,41.28985564,2.09687997,25.0003288807538
05:16:46:641,41.28901024,2.09425178,0.0002429749786853
05:16:50:703,41.28795206,2.09114632,7.25136090815067e-05
05:16:54:750,41.28682453,2.08787562,24.9998074837048
05:16:58:797,41.28565253,2.08447159,199.99944093917
05:17:02:820,41.28446739,2.08110366,349.998985048344
05:17:06:836,41.28334745,2.07786837,524.998456408454
05:17:10:844,41.28198836,2.07463268,699.997874348901
05:17:14:844,41.28009227,2.07193671,849.99744555443
05:17:18:828,41.27791919,2.06959111,1024.99713277483
05:17:22:805,41.27543876,2.06801359,1199.99711131465
05:17:26:773,41.27275711,2.06714239,1374.99738972019
05:17:30:742,41.27004548,2.06656275,1574.99782153711
05:17:34:719,41.26724479,2.06608994,1749.99836540625
05:17:38:688,41.26448644,2.06567556,1949.99897684499
05:17:42:664,41.26179324,2.06537649,2124.99966478192
05:17:46:641,41.25899718,2.06506544,2300.00043738426
05:17:50:617,41.25620767,2.06481281,2450.0012870959
05:17:54:594,41.25342308,2.06465904,2625.00223023294
05:17:58:578,41.25060631,2.06446779,2775.00323210338
05:18:02:555,41.24781661,2.06428775,2925.00428823374
05:18:06:547,41.24499131,2.06407946,3075.00541010669
05:18:10:531,41.24210744,2.06386858,3200.00661867103
05:18:14:508,41.23916879,2.06366847,3325.00792168762
05:18:18:500,41.23606244,2.06338495,3450.0093457456
05:18:22:477,41.23289378,2.06312834,3575.01088691556
05:18:26:469,41.22961444,2.06285672,3725.01256225629
05:18:30:453,41.22627451,2.06260466,3875.01436313919
05:18:34:438,41.22287511,2.06236726,4025.01629197505
05:18:38:430,41.21929699,2.06206846,4175.01840076579
05:18:42:414,41.21566916,2.0617439,4325.02063205846
05:18:46:398,41.21193333,2.061381,4500.02302617656
05:18:50:391,41.20819476,2.0610331,4650.02553524352
05:18:54:375,41.20428145,2.06062999,4825.02826320473
05:18:58:367,41.20035826,2.06026637,4975.03113198282
05:19:02:359,41.19639261,2.05986535,5150.03414081968
05:19:06:344,41.19229875,2.0594576,5325.03737710336
05:19:10:336,41.18808302,2.05901406,5500.04083596643
05:19:14:320,41.18388062,2.05858075,5700.04442540697
05:19:18:320,41.17962939,2.05812668,5925.04819031365
