Time,lat,lon,Hft
05:18:10:500,41.28950801,2.09569445,25.0002948422571
05:18:14:563,41.28869725,2.0930116,25.0001751972465
05:18:18:617,41.28765717,2.0898707,24.9999656007722
05:18:22:656,41.28641056,2.08648512,24.999660033459
05:18:26:695,41.285125,2.08279828,-0.0007899100668355
05:18:30:719,41.28382701,2.07888149,124.998603449079
05:18:34:734,41.28246106,2.07503499,299.997895905417
05:18:38:758,41.28115285,2.07130648,499.997090939364
05:18:42:766,41.27968617,2.06768474,699.996229693681
05:18:46:766,41.27800571,2.064202,899.995349412107
05:18:50:742,41.27554762,2.06166175,1074.99488495037
05:18:54:727,41.2730292,2.05954718,1224.9945886677
05:18:58:695,41.26987865,2.0585696,1324.99491409212
05:19:02:664,41.26694505,2.05755957,1424.99523731046
05:19:06:633,41.26382963,2.05728876,1524.99598040007
05:19:10:602,41.26055024,2.05716376,1624.99691022169
05:19:14:570,41.25729176,2.05702201,1699.99790866132
05:19:18:547,41.25388415,2.05686169,1774.99903576585
05:19:22:523,41.25051537,2.05692816,1850.00033345397
05:19:26:500,41.24685559,2.05677185,1900.00174621012
05:19:30:469,41.24332766,2.05682965,2000.00329632682
05:19:34:445,41.23963571,2.05686734,2075.00501183291
05:19:38:422,41.23589406,2.05696497,2125.00688305155
05:19:42:406,41.23199201,2.05705582,2200.00894690834
05:19:46:383,41.22812121,2.05718922,2275.01112975321
05:19:50:367,41.22410047,2.05725229,2350.01348934466
05:19:54:352,41.22003668,2.05734168,2425.0160132406
05:19:58:328,41.21587473,2.05739912,2500.01871766279
05:20:02:320,41.21153225,2.05742083,2525.0216662917
05:20:06:305,41.20719638,2.05751875,2550.02478942443
05:20:10:289,41.20275403,2.05761247,2600.02813998853
05:20:14:273,41.19808799,2.05761321,2675.03178609765
05:20:18:258,41.19337665,2.05760302,2750.03563635526
05:20:22:250,41.18855252,2.05756965,2825.03974980316
05:20:26:234,41.18363241,2.05742881,2900.04408896542
05:20:30:227,41.17868984,2.05683635,3000.04845094611
05:20:34:219,41.17383972,2.05490349,3150.05233086617
05:20:38:219,41.16931231,2.05241402,3300.05577348627
05:20:42:219,41.16483216,2.04945512,3500.05904182218
05:20:46:219,41.16037157,2.04641566,3675.06232252396
05:20:50:219,41.155843,2.04338072,3825.06575235059
05:20:54:219,41.15135909,2.04046931,3975.06927682197
05:20:58:211,41.14676941,2.03744445,4125.07293965036
05:21:02:211,41.14226598,2.03438525,4300.07655560384
05:21:06:203,41.13780896,2.0314132,4450.08024189863
05:21:10:203,41.13326045,2.02829228,4625.08402094661
05:21:14:203,41.12857352,2.02518956,4800.08807201841
05:21:18:203,41.12407705,2.02216349,4975.09200072272
05:21:22:195,41.11947255,2.01903359,5150.09607678562
05:21:26:195,41.11487154,2.01590224,5325.10022300632
05:21:30:188,41.11026642,2.01279718,5500.10447345387
05:21:34:188,41.10571861,2.00972575,5650.10874258611
05:21:38:188,41.10105904,2.00658371,5825.11320041489
05:21:42:180,41.09640768,2.0033999,5975.11768596353
