Time,lat,lon,Hft
05:19:26:367,41.28992385,2.09664001,0.0003105386447906
05:19:30:438,41.28902438,2.09402532,0.0002250024079531
05:19:34:492,41.28803715,2.09097117,25.000047009001
05:19:38:547,41.28690761,2.08773558,-0.0002207980119436
05:19:42:578,41.28567785,2.08416935,74.9993840829453
05:19:46:609,41.28438077,2.08046851,249.998866992922
05:19:50:625,41.28320177,2.07696678,449.998266856732
05:19:54:641,41.28189397,2.07334267,649.997549351894
05:19:58:648,41.28047875,2.06988543,849.996789677819
05:20:02:648,41.27849706,2.06706328,1024.9962383293
05:20:06:633,41.27618898,2.06449286,1174.99579230475
05:20:10:602,41.27343572,2.0628083,1299.99574584161
05:20:14:570,41.27019846,2.06206809,1424.99620097269
05:20:18:539,41.26723665,2.06133634,1524.99666305832
05:20:22:508,41.26410918,2.06112411,1649.99743523935
05:20:26:477,41.26074545,2.06091231,1774.99835614785
05:20:30:445,41.25733373,2.06080969,1899.99942274355
05:20:34:414,41.25387013,2.0608053,2000.00063561636
05:20:38:391,41.2503254,2.06080963,2100.00197690352
05:20:42:375,41.24661585,2.06081156,2175.00348339674
05:20:46:344,41.2428339,2.06078017,2250.00511681016
05:20:50:328,41.2388589,2.06064555,2350.00691531317
05:20:54:305,41.23485181,2.06052784,2450.0088598456
05:20:58:281,41.23076351,2.06034665,2550.01094901721
05:21:02:266,41.22657778,2.06015351,2675.01322064292
05:21:06:250,41.22236917,2.05994762,2850.01563934268
05:21:10:234,41.21799278,2.05966358,3000.01827228961
05:21:14:219,41.21364174,2.05939487,3175.02104404253
05:21:18:211,41.20925515,2.05909999,3375.02397893256
05:21:22:195,41.20488197,2.05882102,3575.02706014229
05:21:26:180,41.20047202,2.05847508,3775.03029201363
05:21:30:172,41.19606097,2.05818759,3975.03370010904
05:21:34:156,41.1915349,2.05785843,4175.03734072955
05:21:38:148,41.18707634,2.05758154,4375.04110307588
05:21:42:133,41.18268386,2.05732721,4550.04496869287
05:21:46:125,41.1779675,2.0569719,4675.04925099458
05:21:50:109,41.17331239,2.05668949,4800.05367709519
05:21:54:109,41.1684601,2.05638335,4900.05846548598
05:21:58:102,41.16361724,2.05610467,5025.06344096915
05:22:02:086,41.15863776,2.05587472,5150.06877310488
05:22:06:078,41.15353486,2.05566196,5300.07445044701
05:22:10:070,41.14843952,2.05548557,5475.08034052651
05:22:14:055,41.14335645,2.05563416,5625.08656077961
05:22:18:039,41.13834551,2.05668169,5800.09327861485
05:22:22:023,41.13328356,2.05869719,6000.1006485499
