Time,lat,lon,Hft
05:20:34:273,41.2899215,2.09664824,0.0003111497488617
05:20:38:344,41.28912513,2.0941431,0.0002246785227954
05:20:42:406,41.2880631,2.09123678,7.07536293566227e-05
05:20:46:453,41.28700639,2.08798914,-0.0001977960547059
05:20:50:492,41.28575791,2.08444226,-0.0005824982895702
05:20:54:516,41.28445753,2.08072598,124.998904753941
05:20:58:539,41.28318442,2.07720125,299.998318911655
05:21:02:555,41.28181276,2.07351293,474.997600973112
05:21:10:570,41.27925094,2.06653004,874.995931103919
05:21:14:547,41.27678168,2.06400764,1049.99550639144
05:21:18:555,41.27514548,2.06092814,1249.99469107329
05:21:22:531,41.27267181,2.05876425,1399.99435860715
05:21:26:508,41.26994586,2.0572486,1474.99435983493
05:21:30:484,41.26680154,2.05610241,1574.99466606457
05:21:34:453,41.26369592,2.05550079,1649.99526240077
05:21:38:422,41.26041128,2.05504637,1749.9960514393
05:21:42:391,41.25691665,2.05451538,1824.99695888247
05:21:46:367,41.25354769,2.05420455,1924.99801182324
05:21:50:344,41.24995781,2.05384024,2024.99921496727
05:21:54:320,41.24634287,2.05367232,2150.00061729438
05:21:58:297,41.24273653,2.05361022,2250.00216431279
05:22:02:273,41.23899132,2.05346814,2325.00384217792
05:22:06:250,41.23518826,2.05342704,2425.00570528685
05:22:10:234,41.2313699,2.05355104,2525.00776423324
05:22:14:211,41.22746256,2.05381494,2575.01004888212
05:22:18:188,41.22327108,2.05400319,2625.01258903972
05:22:22:172,41.21908495,2.05429787,2650.0153094457
05:22:26:148,41.21467416,2.05456562,2700.01830516
05:22:30:133,41.2100775,2.05487033,2725.02159889159
05:22:34:117,41.20537149,2.05521083,2750.02515399852
05:22:38:102,41.20056322,2.05559505,2825.0289818561
05:22:42:086,41.19548299,2.05585038,2925.03315764561
05:22:46:070,41.190566,2.05616455,3075.03742200818
05:22:50:055,41.18536734,2.0563563,3250.04207696997
05:22:54:047,41.18016817,2.05634247,3425.04685709198
05:22:58:039,41.17532264,2.05478362,3650.05083511814
05:23:02:039,41.17037627,2.05306541,3875.05500501571
05:23:06:031,41.16574235,2.05053072,4100.05862119188
05:23:10:031,41.161197,2.0476088,4325.06205408266
05:23:14:031,41.15666817,2.04461202,4525.06551061112
05:23:18:023,41.152131,2.04167457,4725.06908811375
05:23:22:023,41.14761346,2.03867274,4925.07268593559
05:23:26:023,41.14297619,2.03559204,5100.07645859448
05:23:30:016,41.13834866,2.03248905,5275.08028564469
05:23:34:016,41.13374565,2.02930396,5450.08410428917
05:23:38:016,41.12916269,2.02605697,5625.08792490445
05:23:42:016,41.12457721,2.0228376,5800.0918371059
05:23:46:016,41.11989292,2.01948214,5975.09585398642
