Time,lat,lon,Hft
05:21:46:219,41.28949126,2.09553253,0.000285776707828
05:21:50:273,41.28861935,2.09284695,0.0001676686239987
05:21:54:336,41.2875861,2.08985663,-2.95988256856799e-05
05:21:58:375,41.28640666,2.08649304,-0.0003391872036457
05:22:02:414,41.28524506,2.08300536,49.9992341945739
05:22:06:430,41.28386175,2.07956338,174.998745472361
05:22:10:453,41.2826898,2.07592824,324.998085607218
05:22:14:461,41.28144576,2.07244726,474.997366678867
05:22:18:469,41.28011765,2.06888042,649.996534589139
05:22:26:453,41.27579125,2.06327945,974.995430767853
05:22:30:445,41.2742096,2.0600011,1124.99451664675
05:22:34:438,41.27168069,2.05790661,1274.99422440043
05:22:38:406,41.26870022,2.05639365,1424.99430086069
05:22:42:383,41.26569229,2.0554741,1549.99469065252
05:22:46:352,41.26250387,2.05491629,1674.99535554813
05:22:50:320,41.25920496,2.05453092,1799.99620852324
05:22:54:297,41.25579724,2.05418096,1899.99719757307
05:22:58:266,41.25227105,2.05390767,2024.99835548911
05:23:02:250,41.24868644,2.0537253,2124.9996732396
05:23:06:219,41.24501878,2.05369668,2225.00119599718
05:23:10:195,41.24124541,2.05371618,2325.00289401634
05:23:14:172,41.23735242,2.05379802,2400.0047890923
05:23:18:148,41.23335736,2.05395123,2525.00688931249
05:23:22:125,41.22940714,2.05417628,2700.00912274994
05:23:26:109,41.22531631,2.0543338,2875.01152992429
05:23:30:086,41.22118585,2.05453288,3050.01411056358
05:23:34:070,41.21702875,2.05472505,3225.0168385584
05:23:38:055,41.21278241,2.05489241,3425.01975234395
05:23:42:039,41.20850603,2.05503689,3625.02281857246
05:23:46:023,41.20432393,2.05522495,3850.0259769553
05:23:50:008,41.20004805,2.05531337,4050.02930142723
05:23:53:992,41.19579897,2.05541188,4275.03275250446
05:23:57:984,41.191555,2.05553868,4475.03635233378
05:24:01:969,41.1872063,2.05563619,4700.04017418313
05:24:05:953,41.18287175,2.05574367,4925.04413585921
05:24:09:945,41.17854595,2.05587928,5150.04824893327
05:24:13:930,41.17421602,2.05606285,5350.05253291192
05:24:17:922,41.16985088,2.05618833,5575.0569761044
05:24:21:914,41.16543363,2.05629205,5800.06161496323
05:24:25:898,41.16108429,2.05640532,6000.06633673684
