Time,lat,lon,Hft
05:23:14:055,41.29005247,2.09718396,0.0003259262453019
05:23:18:125,41.28928003,2.09469755,0.0002503112830594
05:23:22:188,41.28827465,2.09175932,25.000102399474
05:23:26:234,41.2870832,2.08842469,-0.0001497571636736
05:23:30:273,41.28584383,2.08483549,-0.0005286447433009
05:23:34:305,41.28449761,2.08104213,149.998962836148
05:23:38:328,41.28323472,2.07738186,349.99835534532
05:23:42:344,41.28194119,2.07372335,549.997640373508
05:23:46:359,41.28065576,2.0701109,749.996826182839
05:23:50:359,41.27895726,2.06675683,949.996057375814
05:23:54:344,41.27677214,2.06404436,1124.99552356293
05:23:58:320,41.27405941,2.06216805,1274.99537899296
05:24:02:297,41.27131138,2.06050988,1424.99535134248
05:24:06:266,41.26819135,2.05999874,1524.9959035629
05:24:10:227,41.26507071,2.05952954,1649.9965465382
05:24:14:195,41.26182655,2.05925313,1749.99737650542
05:24:18:172,41.25850994,2.05911702,1849.99836745884
05:24:22:148,41.25506812,2.0590768,1949.99952648116
05:24:26:117,41.25158693,2.05911002,2025.0008212696
05:24:30:094,41.24795335,2.05913724,2100.0022703007
05:24:34:063,41.24428292,2.0592343,2175.00386620761
05:24:38:047,41.2404293,2.05920485,2250.00560220096
05:24:42:023,41.23654838,2.05921249,2350.00748320301
05:24:46:000,41.2325264,2.05915849,2475.00953254573
05:24:49:984,41.22862277,2.05914848,2675.01166182337
05:24:53:961,41.2246356,2.05904552,2850.01392149247
05:24:57:953,41.22074095,2.05896704,3025.01625759542
05:25:01:938,41.216742,2.05882717,3175.01875481612
05:25:05:922,41.21282618,2.05874198,3350.02134301783
05:25:09:906,41.20887405,2.05860604,3525.02405659975
05:25:13:898,41.20495534,2.05843318,3725.02685325193
05:25:17:883,41.20104349,2.05826029,3900.02976383548
05:25:21:875,41.19707117,2.05807441,4050.032836814
05:25:25:859,41.19316757,2.05793569,4200.03599509654
05:25:29:852,41.18922215,2.05775771,4375.03929375256
05:25:33:844,41.18527868,2.05757904,4525.04271153433
05:25:37:836,41.18123502,2.05727072,4675.04629048258
05:25:41:820,41.17729957,2.05608562,4775.04951905161
05:25:45:820,41.17325416,2.05445942,4875.0527707601
05:25:49:813,41.16931983,2.05263306,4975.05592056698
05:25:53:813,41.16539523,2.05013809,5075.05882915275
05:25:57:813,41.16153803,2.04766485,5175.06173872852
05:26:01:805,41.15745166,2.04498324,5250.0648530946
05:26:05:805,41.15347117,2.04221796,5375.06786508511
05:26:09:805,41.14930134,2.03943312,5525.07114389876
05:26:13:805,41.14522697,2.03658157,5700.07433153245
05:26:17:805,41.14108399,2.03374756,5875.07767110189
