Time,lat,lon,Hft
05:24:46:016,41.28914955,2.09445856,25.0002460730967
05:24:50:070,41.28816202,2.09151019,25.0000891079605
05:24:54:125,41.28710721,2.08838078,24.999842933852
05:24:58:164,41.28586684,2.08493189,-0.0005158726682141
05:25:02:195,41.28451815,2.08113708,49.9989755967196
05:25:06:219,41.28322011,2.07738494,199.998353228922
05:25:10:234,41.28197484,2.07365357,374.997611466488
05:25:14:250,41.28065036,2.0698457,549.996741418031
05:25:18:250,41.27922787,2.06618283,724.995814735504
05:25:22:242,41.27714465,2.063128,924.995120474009
05:25:26:227,41.27478979,2.06059146,1099.99462768454
05:25:30:203,41.27194312,2.05872649,1199.99449719171
05:25:34:180,41.26902152,2.05748976,1299.99467809002
05:25:38:148,41.26582305,2.05646782,1399.99507689888
05:25:42:125,41.26268793,2.05572579,1499.99564790769
05:25:46:094,41.25934528,2.05502079,1599.99637276501
05:25:50:070,41.25591429,2.05429628,1674.99720102437
05:25:54:047,41.25242108,2.05366266,1774.99818106653
05:25:58:023,41.24883519,2.05300359,1849.99927717892
05:26:02:000,41.24516083,2.05231364,1925.00049317465
05:26:05:977,41.24134674,2.05152848,2000.00182946011
05:26:09:961,41.23749855,2.05073952,2075.00328830248
05:26:13:945,41.23355071,2.04991367,2150.00489085515
05:26:17:930,41.2294566,2.04896368,2200.00662742923
05:26:21:906,41.22529126,2.04808569,2275.0085652122
05:26:25:898,41.22095532,2.04697196,2375.01061706673
05:26:29:883,41.21662391,2.04589832,2475.01282233894
05:26:33:867,41.21219274,2.04474946,2575.01519210509
05:26:37:852,41.20764362,2.04356923,2675.01777150438
05:26:41:844,41.20299128,2.04231286,2775.02053605903
05:26:45:836,41.19824531,2.04073594,2875.02334741815
05:26:49:836,41.19391044,2.03777044,3000.02514722569
05:26:53:828,41.1895698,2.03483881,3150.02703934031
05:26:57:828,41.18560241,2.0310447,3300.02809622233
05:27:01:828,41.18193021,2.0266824,3500.02847247767
05:27:05:836,41.1787708,2.02157718,3700.0277336178
05:27:09:836,41.17563482,2.01629832,3875.02666752716
05:27:13:844,41.1726184,2.01099562,4050.02527888051
05:27:17:844,41.16948514,2.0056847,4200.02381060718
05:27:21:844,41.16634279,2.00046571,4350.02225284377
05:27:25:852,41.16314749,1.9950976,4525.0204273891
05:27:29:859,41.16004684,1.98974642,4700.01832697732
05:27:33:859,41.1568392,1.98436289,4900.01612017213
05:27:37:859,41.15359917,1.97891857,5075.01369025609
05:27:41:859,41.15046002,1.97364316,5275.0111510103
05:27:45:859,41.14719076,1.96819473,5475.00836939451
05:27:49:859,41.14397002,1.96267252,5650.00523852377
05:27:53:859,41.14079803,1.95725755,5850.00198929726
