Time,lat,lon,Hft
05:25:53:898,41.28952741,2.0954244,0.0002760234868526
05:25:57:961,41.28852998,2.09270665,0.0001639317226037
05:26:02:016,41.2875278,2.08966447,24.9999551325594
05:26:06:055,41.28632523,2.08621687,-0.0003705215648934
05:26:10:094,41.28503979,2.08253982,-0.000826258536987
05:26:14:125,41.28387884,2.07857721,149.998531408896
05:26:18:141,41.28257176,2.07490707,324.997848865501
05:26:22:156,41.28132778,2.07122942,524.997043300566
05:26:26:164,41.28005716,2.06762848,724.996152660778
05:26:30:156,41.27834742,2.06439515,899.995357735344
05:26:34:148,41.27613112,2.0616925,1049.99478340033
05:26:38:125,41.27352631,2.05964921,1174.99452184689
05:26:42:094,41.27058922,2.05827802,1299.9946271545
05:26:46:063,41.26755931,2.05747202,1399.99504103012
05:26:50:039,41.26449034,2.0571076,1524.99571763448
05:26:54:008,41.26114987,2.0566336,1624.99650204695
05:26:57:977,41.25785773,2.05636695,1724.99744348566
05:27:01:953,41.25440259,2.05608922,1799.99852144215
05:27:05:922,41.25102615,2.05612276,1899.99979566675
05:27:09:898,41.24743165,2.0561183,2000.00123235032
05:27:13:875,41.24377326,2.05622586,2075.00284499537
05:27:17:852,41.23997334,2.05629389,2150.00461167531
05:27:21:828,41.23612304,2.05645243,2225.00655467711
05:27:25:805,41.23219271,2.0566011,2325.00865233389
05:27:29:789,41.22817051,2.05672527,2400.01091100761
05:27:33:773,41.22411408,2.05685298,2450.01331699731
05:27:37:750,41.21979037,2.05683068,2500.01595622099
05:27:41:734,41.21543387,2.05681602,2575.01876743668
05:27:45:719,41.21093645,2.05670585,2700.02178680322
05:27:49:703,41.20645983,2.0566138,2825.02495687719
05:27:53:688,41.20182046,2.05645907,2975.02838327553
05:27:57:672,41.19726003,2.05636703,3150.03194212744
05:28:01:664,41.19267282,2.056226,3375.03566730013
05:28:05:648,41.18802713,2.05611225,3600.03962052464
05:28:09:641,41.18347046,2.0559462,3800.04363852025
05:28:13:633,41.17899925,2.05479523,3975.04730804922
05:28:17:625,41.17450289,2.05317428,4175.05093480378
05:28:21:625,41.17024237,2.05138362,4350.05437491817
05:28:25:617,41.16597761,2.04872682,4550.05750598483
05:28:29:617,41.16187169,2.04599057,4750.06050061028
05:28:33:617,41.1577224,2.04316707,4950.06355870195
05:28:37:609,41.1536715,2.04021162,5125.06648819916
05:28:41:609,41.14948994,2.03725152,5300.06961706908
05:28:45:609,41.14535042,2.03439195,5450.07281375951
05:28:49:609,41.14114153,2.03157548,5625.07618504525
05:28:53:602,41.13685876,2.02876404,5775.07971947762
05:28:57:602,41.13256842,2.02601782,5950.08338211028
