Time,lat,lon,Hft
05:27:29:758,41.28981828,2.09605664,0.0002883769556507
05:27:33:828,41.28882595,2.09341752,0.0001959199652075
05:27:37:883,41.28788606,2.09049661,1.10854278504848e-05
05:27:41:922,41.28668776,2.08713014,-0.0002795587239041
05:27:45:961,41.28541376,2.08352951,-0.0006957939288392
05:27:49:984,41.28414151,2.0799242,149.998783461825
05:27:54:008,41.2829059,2.07625153,324.998133814163
05:27:58:016,41.28163051,2.07258301,499.997377409675
05:28:02:023,41.28035423,2.06895877,649.996521282348
05:28:06:031,41.27878828,2.0654561,824.995646565056
05:28:10:023,41.27643644,2.0627902,974.995130199371
05:28:14:000,41.27394605,2.06040094,1099.99472599591
05:28:17:969,41.27101659,2.0590233,1224.99482701051
05:28:21:938,41.26788639,2.05797933,1299.99516368554
05:28:25:914,41.2646074,2.05726139,1374.99574430414
05:28:29:883,41.26107991,2.05641216,1474.99642481975
05:28:33:859,41.25771032,2.05570396,1549.99720277914
05:28:37:828,41.25409487,2.05469357,1649.9980209215
05:28:41:813,41.25041804,2.05358728,1724.99891113765
05:28:45:797,41.2467286,2.05244787,1824.99988595181
05:28:49:773,41.24303843,2.05136927,1900.00098294419
05:28:53:758,41.2390762,2.05009383,1925.00220837267
05:28:57:742,41.23498532,2.04883895,1975.00361762719
05:29:01:727,41.23065923,2.04750382,2050.00523054418
05:29:05:711,41.22636531,2.04633956,2150.00704399173
05:29:09:695,41.22177837,2.0450432,2250.00909814096
05:29:13:680,41.21710688,2.04383076,2350.01140155343
05:29:17:664,41.21243316,2.04269532,2475.01390689284
05:29:21:648,41.20763184,2.04158139,2625.01667642152
05:29:25:641,41.20265908,2.04041111,2800.01971408416
05:29:29:625,41.19770799,2.0390246,2975.02278855359
05:29:33:625,41.19292288,2.03699543,3175.02551081302
05:29:37:617,41.1886042,2.03342904,3400.02699434598
05:29:41:617,41.18447848,2.02995744,3650.02839517193
05:29:45:617,41.18064292,2.02549222,3900.02884051834
05:29:49:625,41.17732097,2.02044632,4100.02827828282
05:29:53:625,41.17413409,2.01514933,4325.02722931495
05:29:57:625,41.17101612,2.00975307,4525.0258423395
05:30:01:633,41.16781427,2.00428402,4725.02428052411
05:30:05:633,41.16476227,1.99890747,4950.02245086468
05:30:09:633,41.1615713,1.9934,5175.02044278731
05:30:13:641,41.15842275,1.98786176,5400.01815167708
05:30:17:641,41.15521683,1.98232438,5600.01571744646
05:30:21:641,41.15201097,1.97685276,5825.01315529936
