Time,lat,lon,Hft
05:30:25:555,41.28952309,2.09522813,0.0002640977909043
05:30:29:617,41.28852856,2.09236976,0.0001342137316241
05:30:33:664,41.28743909,2.08923829,-8.65995579212904e-05
05:30:37:711,41.28615283,2.08568323,-0.0004312439209222
05:30:41:742,41.28487377,2.08201617,74.9990999470519
05:30:45:773,41.2836234,2.0783076,224.998508048904
05:30:49:781,41.28225645,2.07471092,399.997846142493
05:30:53:797,41.28094569,2.07109537,549.99706340571
05:30:57:805,41.27958043,2.06746448,699.996176222075
05:31:01:797,41.27785902,2.06412196,849.995345431123
05:31:05:789,41.27563776,2.0613317,1049.99474199192
05:31:09:773,41.27316265,2.05893157,1199.99431391855
05:31:13:750,41.27042034,2.05708967,1324.99417646507
05:31:17:727,41.26734353,2.05582825,1424.9944024048
05:31:21:695,41.26411562,2.05499273,1524.99491727759
05:31:25:664,41.26079398,2.05442019,1624.9956525359
05:31:29:641,41.25725002,2.05378796,1699.99651760818
05:31:33:609,41.25367029,2.05335509,1774.99758030234
05:31:37:586,41.24999953,2.0530956,1874.99885676053
05:31:41:555,41.24614496,2.05287051,1950.00033016552
05:31:45:531,41.242208,2.05278394,1975.00201831589
05:31:49:508,41.23815532,2.05278914,2025.00392635049
05:31:53:484,41.23399758,2.05287753,2125.00605665245
05:31:57:461,41.2298029,2.05306455,2275.00838883534
05:32:01:445,41.22546301,2.05324782,2475.01094286393
05:32:05:422,41.2211609,2.05348116,2675.01364309611
05:32:09:406,41.21678352,2.05367697,2900.01652056051
05:32:13:391,41.21243391,2.05392139,3125.01955036399
05:32:17:367,41.20817783,2.05419426,3325.02267229158
05:32:21:352,41.20394871,2.05451275,3550.0259361632
05:32:25:344,41.19963031,2.05475927,3775.02937785082
05:32:29:328,41.19540172,2.05502727,4000.0329009864
05:32:33:313,41.19112768,2.05526479,4200.03658851526
05:32:37:297,41.18693679,2.05552616,4400.04035558542
05:32:41:289,41.18251381,2.05568483,4600.04442934733
05:32:45:273,41.17821235,2.05563574,4775.04845002892
05:32:49:266,41.17405314,2.05435801,4975.05193699648
05:32:53:266,41.16980519,2.05251004,5150.05537270176
05:32:57:258,41.16569779,2.05064355,5325.05876151701
05:33:01:258,41.16165387,2.04811244,5450.06184784223
05:33:05:258,41.15748808,2.04553214,5575.0651135601
05:33:09:258,41.1533529,2.04286457,5725.06837133343
05:33:13:250,41.14918051,2.04007858,5875.07167322543
