Time,lat,lon,Hft
05:32:05:398,41.28969465,2.09599669,25.0002962844627
05:32:09:469,41.2887988,2.09330106,25.0001897873562
05:32:13:523,41.28772624,2.09034524,25.000011436633
05:32:17:563,41.28657585,2.08690135,-0.0002994073841348
05:32:21:602,41.28531879,2.08328125,49.9992739743934
05:32:25:625,41.28405786,2.07979538,224.998769989497
05:32:29:648,41.28282636,2.07624574,424.998146606908
05:32:33:656,41.28157469,2.07277618,574.997440887571
05:32:37:664,41.28016123,2.06941876,749.996695782397
05:32:41:656,41.27810802,2.0666645,899.996171133196
05:32:45:633,41.27563873,2.06461799,1024.99593679528
05:32:49:609,41.27304431,2.06311537,1149.99593605494
05:32:53:578,41.27010827,2.06212637,1274.99623920138
05:32:57:547,41.2669729,2.06178276,1374.9968952545
05:33:01:516,41.26381283,2.06150973,1474.99766031941
05:33:05:484,41.26044421,2.06117338,1549.99854232537
05:33:09:461,41.25705958,2.06088415,1649.99953580266
05:33:13:430,41.25356037,2.06065343,1750.00068204373
05:33:17:406,41.24999434,2.06052991,1825.00199009312
05:33:21:383,41.24635016,2.06039754,1925.00342733279
05:33:25:359,41.24256846,2.06019024,2025.00500067451
05:33:29:336,41.23865267,2.05988251,2125.00671023437
05:33:33:320,41.23469692,2.05959448,2225.00856678921
05:33:37:305,41.23071681,2.05928861,2350.01055163294
05:33:41:289,41.2266803,2.05902865,2475.01271014329
05:33:45:273,41.2225935,2.05879214,2600.01503532616
05:33:49:258,41.21844242,2.0585797,2675.01753981649
05:33:53:234,41.21414651,2.05842601,2700.02029841648
05:33:57:227,41.20967825,2.05826809,2775.02332308165
05:34:01:211,41.2051164,2.05804463,2875.02654742184
05:34:05:195,41.20053213,2.05771109,2975.02990644021
05:34:09:180,41.19593545,2.05753455,3125.03350622405
05:34:13:172,41.19115096,2.05739905,3325.03745040745
05:34:17:164,41.18651879,2.05723763,3500.04142690622
05:34:21:148,41.1817225,2.0568982,3625.04564751697
05:34:25:148,41.17692906,2.05594786,3750.04978426286
05:34:29:141,41.17230904,2.0538433,3850.05340596737
05:34:33:141,41.16768093,2.05117789,3975.05689886317
05:34:37:133,41.1631995,2.04819904,4125.06018036568
05:34:41:133,41.15867913,2.0451174,4275.06352590579
05:34:45:133,41.15411289,2.04198959,4450.06697131234
05:34:49:125,41.14961975,2.03889092,4650.0704214731
05:34:53:125,41.14506707,2.03575295,4825.07398861158
05:34:57:133,41.14052618,2.03261106,5025.07761094175
05:35:01:125,41.13597954,2.02948697,5200.08132264606
05:35:05:125,41.13136804,2.02638628,5400.08520983179
05:35:09:125,41.12687048,2.02307882,5550.08886658886
05:35:13:117,41.12256852,2.01933367,5725.09197211461
05:35:17:125,41.11892988,2.01395685,5900.09281817471
