Time,lat,lon,Hft
05:33:21:320,41.28959118,2.09544698,0.0002719199230149
05:33:25:383,41.28861133,2.09269302,0.0001551104353368
05:33:29:430,41.28759953,2.08968179,-5.09660795331e-05
05:33:33:477,41.28638332,2.08625932,-0.0003707201737165
05:33:37:508,41.28512411,2.08267095,49.9991888903736
05:33:41:531,41.2836913,2.07917843,149.998685697396
05:33:45:547,41.2823906,2.07546881,299.99801412961
05:33:49:563,41.2810884,2.07193889,449.997278292009
05:33:53:570,41.27971883,2.06829737,599.996415479204
05:33:57:570,41.27821599,2.06483162,774.995528692607
05:34:01:555,41.27579872,2.06212712,924.995005510056
05:34:05:539,41.27335865,2.05968488,1049.99456731087
05:34:09:523,41.27070734,2.05761851,1149.99432399907
05:34:13:492,41.26767317,2.05643375,1274.99457177948
05:34:17:469,41.26437138,2.05558956,1399.99510093054
05:34:21:438,41.26104317,2.0549177,1524.99579205779
05:34:25:414,41.25757807,2.05418002,1624.99658064716
05:34:29:383,41.25413158,2.05354593,1749.9974984818
05:34:33:359,41.25056743,2.05279026,1849.99849418044
05:34:37:344,41.24680914,2.05190101,1949.99960216335
05:34:41:320,41.24306498,2.05106522,2025.00083107476
05:34:45:297,41.23918409,2.05012981,2125.00218061183
05:34:49:281,41.2351971,2.04917005,2225.00368136354
05:34:53:266,41.23122089,2.04827255,2350.0053237415
05:34:57:250,41.22710001,2.04728355,2525.00711961622
05:35:01:234,41.22299143,2.04632717,2700.0090485283
05:35:05:219,41.21878801,2.04527847,2850.01111159012
05:35:09:211,41.21459451,2.04427037,3025.01331857288
05:35:13:195,41.21023089,2.04319636,3225.01573796608
05:35:17:180,41.20594158,2.04216197,3425.01826295194
05:35:21:172,41.20166023,2.04116458,3650.02093777423
05:35:25:156,41.19729406,2.03980379,3850.0236041818
05:35:29:148,41.19324014,2.03733474,4050.02547813099
05:35:33:156,41.18935269,2.03457107,4225.0270938064
05:35:37:156,41.18566927,2.03124564,4425.02820512522
05:35:41:156,41.18242624,2.02708877,4600.02833425025
05:35:45:156,41.17955873,2.02240288,4825.02763949053
05:35:49:164,41.1767943,2.01752965,5050.02655727554
05:35:53:164,41.17408758,2.01276058,5250.02534241449
05:35:57:164,41.17123647,2.00788914,5475.02402948633
05:36:01:164,41.16842506,2.00314561,5675.02263521123
05:36:05:172,41.16554011,1.99846919,5900.02123618462
