Time,lat,lon,Hft
05:34:33:203,41.28968896,2.09601489,25.0002977969452
05:34:37:273,41.28877671,2.09335407,25.000196133672
05:34:41:328,41.28776999,2.09041356,25.0000144768758
05:34:45:367,41.28661966,2.08710468,-0.0002756996016949
05:34:49:406,41.28535542,2.08348388,49.9993048473711
05:34:53:430,41.28411015,2.07984827,224.998774212226
05:34:57:453,41.2827774,2.07618004,374.998135983223
05:35:01:469,41.28154473,2.07269623,574.997423507771
05:35:05:469,41.28019519,2.06926879,749.99664471243
05:35:09:469,41.27820744,2.06644807,924.996083048476
05:35:13:445,41.27585691,2.06416815,1124.99574010154
05:35:17:422,41.27329051,2.06262216,1274.99570760501
05:35:21:391,41.270325,2.06176554,1399.99605725647
05:35:25:359,41.26744846,2.06117156,1549.99654650531
05:35:29:336,41.26451494,2.06076017,1649.99718148144
05:35:33:313,41.2614284,2.06031136,1749.99791369035
05:35:37:281,41.25839583,2.06003385,1849.9987675609
05:35:41:258,41.25529553,2.0598525,1949.9997539066
05:35:45:234,41.25200778,2.05968156,2025.00088872326
05:35:49:211,41.24866301,2.0595775,2075.00215611303
05:35:53:188,41.24521007,2.05951512,2150.00357441781
05:35:57:164,41.24164185,2.05949444,2225.00515494629
05:36:01:141,41.23799577,2.0594365,2325.00685864567
05:36:05:125,41.23430286,2.05940375,2400.00869939142
05:36:09:102,41.2304673,2.05928763,2500.01069194442
05:36:13:086,41.22657928,2.05919426,2575.01283777166
05:36:17:070,41.2225864,2.0590792,2650.01515657496
05:36:21:055,41.21848978,2.05893102,2725.01765288566
05:36:25:039,41.21429367,2.05872597,2800.02032416463
05:36:29:023,41.20998037,2.05851747,2875.02321413635
05:36:33:016,41.20570247,2.05831407,3025.02622771861
05:36:37:000,41.20125698,2.05804551,3200.02948805535
05:36:40:984,41.19688129,2.05783409,3375.03286980625
05:36:44:977,41.19245876,2.05761525,3575.03643860064
05:36:48:961,41.1879916,2.05734754,3775.04017933528
05:36:52:961,41.18360658,2.05706479,3975.04399486294
05:36:56:945,41.17915774,2.05642684,4125.0478691364
05:37:00:945,41.17487043,2.05444081,4300.05114733265
05:37:04:938,41.17063986,2.05253964,4500.05451574602
05:37:08:938,41.16655,2.04997094,4675.05752091626
05:37:12:938,41.16242429,2.04724689,4825.06055481467
05:37:16:930,41.15830703,2.0445345,5000.0636511983
05:37:20:930,41.15413213,2.04179369,5175.06686254893
05:37:24:922,41.1500262,2.03903942,5325.07005129501
05:37:28:930,41.14581392,2.03620036,5500.0733796843
05:37:32:922,41.14161385,2.03332704,5675.07673572605
05:37:36:922,41.13736876,2.03037332,5850.08015779148
