Time,lat,lon,Hft
05:35:49:117,41.28975856,2.09580059,0.0002788192879781
05:35:53:180,41.28878755,2.09315362,0.0001779046171903
05:35:57:234,41.28778037,2.09009114,-2.27941818535328e-05
05:36:01:273,41.28654324,2.08668084,-0.0003271759531274
05:36:05:313,41.28526745,2.08297435,24.9992252145793
05:36:09:336,41.28399522,2.07938797,149.998690470119
05:36:13:359,41.28267739,2.07559617,349.998006847946
05:36:17:375,41.28134818,2.07188452,524.997226262069
05:36:21:383,41.28008464,2.06837571,724.996385179766
05:36:25:383,41.27832068,2.06498298,924.995567670802
05:36:29:375,41.276499,2.06188063,1124.99478688919
05:36:33:359,41.27431227,2.05914591,1249.99416135606
05:36:37:344,41.27145672,2.05695017,1399.99388148765
05:36:41:320,41.26879256,2.05514696,1524.99374389056
05:36:45:297,41.26572719,2.05413546,1649.99409538144
05:36:49:266,41.26245531,2.05325337,1749.99462945818
05:36:53:242,41.25909142,2.05248531,1824.99532101967
05:36:57:219,41.25561525,2.05175878,1924.99615453435
05:37:01:188,41.25210901,2.0510506,1999.99709638574
05:37:05:164,41.24838307,2.05026389,2074.99818037077
05:37:09:141,41.24460634,2.04954405,2174.99942234436
05:37:13:125,41.24073605,2.0487756,2225.0007884152
05:37:17:102,41.23670328,2.0479582,2275.00232173607
05:37:21:086,41.23254488,2.04717362,2325.00405891209
05:37:25:063,41.22824464,2.04632885,2450.00597625327
05:37:29:055,41.22376191,2.04546899,2575.00813240475
05:37:33:031,41.21924723,2.0446181,2750.01046531773
05:37:37:016,41.21469646,2.04374757,2925.01296433185
05:37:41:000,41.2100929,2.04289246,3100.01566402033
05:37:44:992,41.20551393,2.04206997,3325.01852444409
05:37:48:977,41.20091785,2.04117004,3575.02151299481
05:37:52:969,41.19622448,2.03997503,3825.02456836059
05:37:56:961,41.19198251,2.03765772,4050.02673138933
05:38:00:953,41.18760473,2.03508669,4250.02894617572
05:38:04:961,41.1837854,2.03150823,4450.0300816912
05:38:08:961,41.18028504,2.02726815,4675.03045386724
05:38:12:961,41.17721924,2.02248205,4900.02993158858
05:38:16:969,41.17424835,2.01735347,5150.02890656054
05:38:20:969,41.17131067,2.01221308,5375.02766118077
05:38:24:969,41.16847688,2.00708362,5600.0261394689
05:38:28:977,41.16559782,2.0019609,5825.02448926935
