Time,lat,lon,Hft
05:37:24:953,41.29011785,2.09693968,0.0003091972713544
05:37:29:023,41.28929296,2.09446775,0.0002331820359453
05:37:33:086,41.2882133,2.09156666,8.88728650659323e-05
05:37:37:133,41.28705399,2.08833272,-0.0001583828976377
05:37:41:172,41.28588543,2.08490362,-0.0005225184249877
05:37:45:203,41.28455743,2.08096254,-0.0010650535638257
05:37:49:219,41.28315961,2.07710381,174.998295687543
05:37:53:242,41.28182157,2.0732545,349.997526703477
05:37:57:250,41.28046402,2.06948932,549.996663016434
05:38:01:258,41.27910749,2.06586802,724.995729193156
05:38:05:258,41.27736012,2.06246028,924.994837279216
05:38:09:250,41.27534412,2.05933039,1099.99402341567
05:38:13:227,41.27236963,2.05723096,1249.99379073671
05:38:17:219,41.27022116,2.05445854,1349.99309023962
05:38:21:195,41.26738144,2.05272359,1449.99301208786
05:38:25:164,41.26406633,2.05176537,1549.9934691166
05:38:29:133,41.26070541,2.05136389,1624.9942806256
05:38:33:102,41.25713762,2.05117123,1699.99534733777
05:38:37:070,41.25359052,2.05111694,1749.99657009555
05:38:41:047,41.24980525,2.05109404,1824.99800028937
05:38:45:023,41.24598005,2.05118206,1899.99961163887
05:38:48:992,41.24203367,2.05138336,1975.00144559832
05:38:52:969,41.23802343,2.05172184,2000.00349450787
05:38:56:945,41.23390376,2.05217339,2050.00577795898
05:39:00:914,41.22955729,2.0526535,2100.00833034477
05:39:04:891,41.22518716,2.05323539,2200.01109000754
05:39:08:867,41.22060747,2.05379553,2300.01411636224
05:39:12:852,41.21608574,2.05440811,2450.01729059765
05:39:16:828,41.21150104,2.05496874,2625.02064307971
05:39:20:813,41.20684567,2.05545922,2800.02417842551
05:39:24:797,41.20222949,2.05595962,2975.02785560855
05:39:28:781,41.19748079,2.05633333,3175.03175090974
05:39:32:766,41.1928263,2.05672836,3375.03575167833
05:39:36:750,41.18808106,2.05704013,3575.03996581084
05:39:40:734,41.18338264,2.05726928,3800.0442794737
05:39:44:727,41.17876985,2.05714942,4000.04853839098
05:39:48:719,41.17420504,2.05550612,4175.05226592594
05:39:52:719,41.16965028,2.05349296,4350.05595507746
05:39:56:719,41.16523912,2.05115695,4550.05946582003
05:40:00:711,41.16110824,2.0481703,4750.06244807368
05:40:04:711,41.15692996,2.04515349,4975.06551953307
05:40:08:711,41.15282452,2.0421199,5175.06854931228
05:40:12:711,41.14865215,2.03908058,5350.07170148054
05:40:16:711,41.14442589,2.03600493,5525.07494820188
05:40:20:703,41.14019675,2.03296401,5700.07827363954
05:40:24:703,41.1360187,2.03001404,5875.08164938634
05:40:28:695,41.13171686,2.02697104,6000.08517869172
