Time,lat,lon,Hft
05:39:00:852,41.28988001,2.09630895,25.0002977938897
05:39:04:922,41.28899033,2.09373744,25.0002069685471
05:39:08:977,41.28787541,2.09066974,25.0000314350137
05:39:13:023,41.28675028,2.08744023,24.9997571165073
05:39:17:055,41.28548789,2.08380656,-0.0006571079856157
05:39:21:086,41.28415986,2.08002066,99.9987993417241
05:39:25:102,41.28277587,2.07628713,274.998158738402
05:39:29:125,41.28146044,2.07253282,399.997385645021
05:39:33:133,41.28011611,2.06875452,574.996493477652
05:39:37:133,41.27858649,2.06509745,749.995555740252
05:39:41:125,41.27633233,2.0622185,924.994937671393
05:39:45:109,41.2738849,2.05967621,1099.99445514847
05:39:49:086,41.27101934,2.05796151,1199.99439488067
05:39:53:055,41.2679114,2.05697059,1274.99473776757
05:39:57:023,41.2646791,2.05640508,1374.99536365353
05:40:00:992,41.26133055,2.05615357,1449.99623705821
05:40:04:961,41.25795731,2.0561142,1524.99729620491
05:40:08:930,41.25439723,2.05613896,1574.99853745164
05:40:12:898,41.25080651,2.0562676,1649.99993435556
05:40:16:875,41.24710626,2.05648441,1725.00151449293
05:40:20:844,41.24339422,2.05674402,1800.00322419048
05:40:24:820,41.23955425,2.05694963,1875.00507868607
05:40:28:797,41.23558492,2.05708712,1950.00708465298
05:40:32:781,41.23163442,2.0573119,2000.00923893808
05:40:36:758,41.22754546,2.05747679,2075.01156919959
05:40:40:742,41.22336978,2.05760925,2150.0140685322
05:40:44:719,41.21917539,2.05770175,2225.01669936524
05:40:48:703,41.21490179,2.05771793,2325.0194898796
05:40:52:688,41.21053933,2.05765549,2425.02245314391
05:40:56:672,41.2061325,2.05760833,2550.02560520559
05:41:00:664,41.20174711,2.05756287,2675.02889362292
05:41:04:648,41.19724852,2.05749716,2800.0324155645
05:41:08:633,41.19270752,2.05741659,2950.03612656928
05:41:12:625,41.18818021,2.05734441,3100.03999090008
05:41:16:617,41.18354606,2.05720271,3250.04408469128
05:41:20:609,41.1789738,2.05682479,3400.04818898737
05:41:24:602,41.17451265,2.05498035,3550.05171322652
05:41:28:594,41.17005725,2.05342894,3700.05548971111
05:41:32:594,41.1658143,2.05083602,3800.05868209667
05:41:36:594,41.16170026,2.04763227,3850.06150362491
05:41:40:594,41.15805301,2.04334263,3900.06325263802
05:41:44:602,41.1546741,2.03840245,4000.06424568141
05:41:48:609,41.15154876,2.03320522,4125.06464119929
05:41:52:617,41.14852778,2.02780683,4250.06459830806
05:41:56:617,41.14545934,2.02228551,4400.06432227432
05:42:00:625,41.14242095,2.01684762,4575.06386587305
05:42:04:625,41.13941161,2.01144325,4725.06319711634
05:42:08:633,41.13627418,2.00592304,4900.06238866717
05:42:12:633,41.13321336,2.0004881,5050.06135300358
05:42:16:633,41.13005485,1.99502429,5200.06021697226
05:42:20:641,41.12694784,1.98952757,5375.05877709981
05:42:24:648,41.12379216,1.98405241,5550.05722236424
05:42:28:648,41.12065203,1.97859795,5700.05546738838
05:42:32:648,41.11741584,1.97309818,5875.05359642479
