Time,lat,lon,Hft
05:40:24:750,41.28979343,2.09613221,25.0002954686387
05:40:28:820,41.28876865,2.09319538,25.000183902424
05:40:32:883,41.28759316,2.08984329,-3.1829355545342e-05
05:40:36:930,41.28628314,2.08614572,74.9996260526578
05:40:40:961,41.28489051,2.08225523,274.999148638387
05:40:44:984,41.28346154,2.07831607,499.998540218501
05:40:49:000,41.28203699,2.07446565,724.997825338175
05:40:53:008,41.28027436,2.07084101,974.997107796311
05:40:57:000,41.27793314,2.0676602,1199.99653491213
05:41:00:984,41.2753703,2.06485401,1399.99608317645
05:41:04:961,41.27241694,2.06278672,1599.99596668941
05:41:08:938,41.2693656,2.06100062,1749.9960080723
05:41:12:914,41.26591727,2.05944625,1874.9962897751
05:41:16:891,41.26248851,2.0582207,1999.99677025478
05:41:20:859,41.25886804,2.05740845,2124.99756278253
05:41:24:836,41.25513949,2.05663019,2249.99850361301
05:41:28:813,41.25125638,2.05580123,2349.99958351569
05:41:32:789,41.2472754,2.05497268,2450.00081510967
05:41:36:766,41.24319588,2.05413652,2550.00220429517
05:41:40:742,41.23909295,2.05325121,2600.00370392587
05:41:44:727,41.23490226,2.05234413,2700.00536383964
05:41:48:711,41.2305057,2.05129381,2800.0071975789
05:41:52:695,41.22611272,2.05015593,2950.00912914335
05:41:56:680,41.22168579,2.04897247,3100.01119770511
05:42:00:672,41.21723263,2.0477321,3275.0133954052
05:42:04:656,41.21269986,2.04637245,3475.01572728829
05:42:08:641,41.20823138,2.04506992,3675.01818679741
05:42:12:633,41.2037422,2.04364967,3875.02073843352
05:42:16:625,41.19927805,2.04215713,4050.02336823613
05:42:20:617,41.1948086,2.04005301,4225.02578612924
05:42:24:617,41.19080733,2.03697962,4400.02733403015
05:42:28:617,41.18682326,2.03344247,4575.02860847116
05:42:32:617,41.18338051,2.02922319,4775.02893435013
05:42:36:617,41.18017806,2.02459277,4975.0286649618
05:42:40:625,41.177139,2.01961997,5200.02785666811
05:42:44:625,41.17426403,2.01466779,5400.02674422504
05:42:48:625,41.17129636,2.00965571,5600.0255097506
05:42:52:633,41.16833809,2.00469048,5800.0241428438
05:42:56:641,41.1653602,1.99965622,6000.02256938688
