Time,lat,lon,Hft
05:41:52:602,41.29016076,2.09729791,0.000322155733183
05:41:56:672,41.2893575,2.09488247,0.0002559976064413
05:42:00:727,41.28838935,2.09200822,0.0001141909067332
05:42:04:781,41.28726143,2.08882966,-0.0001177841986715
05:42:08:820,41.28602761,2.08534562,-0.0004690773739665
05:42:12:852,41.28481747,2.08171983,99.9990519629806
05:42:16:875,41.28357951,2.07800771,249.998447934417
05:42:20:891,41.28243256,2.07450776,424.997770001802
05:42:24:906,41.28116871,2.07097038,599.996994998361
05:42:28:906,41.27957162,2.06782734,774.996296315708
05:42:32:891,41.27745646,2.06514513,949.995776934045
05:42:36:859,41.27456913,2.06358928,1099.99578767618
05:42:40:852,41.27239295,2.06169808,1224.99555637544
05:42:44:820,41.26946438,2.06068038,1349.99584842424
05:42:48:797,41.26663366,2.05962784,1474.99615778866
05:42:52:773,41.26373789,2.05874114,1574.99660390003
05:42:56:750,41.26078567,2.05789335,1674.99714131034
05:43:00:727,41.25767556,2.05695976,1749.99775553356
05:43:04:703,41.25450595,2.05606338,1824.99847411196
05:43:08:688,41.2512537,2.05523189,1874.99932255016
05:43:12:664,41.24796255,2.05440955,1950.00026765262
05:43:16:648,41.24445117,2.05346928,2025.0013334512
05:43:20:625,41.2409273,2.0526075,2075.00252825402
05:43:24:609,41.2373228,2.05166463,2150.00381534254
05:43:28:594,41.23359864,2.05069212,2200.0052428049
05:43:32:586,41.22976181,2.04969947,2275.00682270089
05:43:36:570,41.22594378,2.04871137,2350.00849968297
05:43:40:555,41.2220228,2.04767021,2450.01031827908
05:43:44:539,41.2179758,2.04660232,2525.01231331639
05:43:48:531,41.21384151,2.04543247,2625.01443178127
05:43:52:516,41.20964882,2.04428863,2775.01672819623
05:43:56:508,41.20546716,2.04316317,2950.01915273816
05:44:00:492,41.20124874,2.04196728,3125.02169148321
05:44:04:484,41.19703209,2.04058048,3300.02424569225
05:44:08:477,41.1932135,2.03802517,3475.02589636864
05:44:12:477,41.18945802,2.03509515,3675.02731331283
05:44:16:477,41.18594216,2.03208497,3850.02849320992
05:44:20:484,41.18279157,2.02805393,4025.02864985297
05:44:24:484,41.17986168,2.02364986,4175.02825181842
05:44:28:484,41.17705659,2.01919116,4350.02757840187
05:44:32:484,41.17423474,2.01466801,4550.02674607974
05:44:36:492,41.17152514,2.01009343,4725.02562732415
05:44:40:492,41.16881097,2.00540929,4900.02427693261
05:44:44:492,41.16611101,2.00076559,5100.02280369065
05:44:48:500,41.16331998,1.99600303,5250.02116496206
05:44:52:500,41.16059502,1.99134255,5450.01941049917
05:44:56:500,41.15784192,1.98660277,5625.0174568318
05:45:00:500,41.1550944,1.98189096,5800.0153780256
05:45:04:500,41.15230642,1.97715369,6000.01316930461
