Time,lat,lon,Hft
05:43:08:563,41.28942227,2.09510561,0.0002650022249296
05:43:12:625,41.28847974,2.09230978,0.0001333979076892
05:43:16:680,41.28740321,2.08915697,-9.26494882255793e-05
05:43:20:727,41.286121,2.08559953,-0.0004404440927132
05:43:24:758,41.28488782,2.08187194,74.9990712251605
05:43:28:781,41.28361999,2.07807375,224.998456541997
05:43:32:797,41.28230302,2.07442487,399.99776629258
05:43:36:813,41.28088768,2.07071319,574.996962249474
05:43:40:813,41.2793007,2.06710944,749.996108926935
05:43:44:805,41.27720361,2.06417921,924.995485590359
05:43:48:781,41.27456968,2.06184979,1074.99514966537
05:43:52:750,41.27131497,2.06029894,1199.99526151791
05:43:56:727,41.26849308,2.05913228,1299.99547790303
05:44:00:695,41.26519965,2.05845065,1374.99606952151
05:44:04:664,41.26176967,2.05812679,1449.9969291794
05:44:08:633,41.25821092,2.05777425,1524.99790984812
05:44:12:609,41.25459699,2.05754026,1599.99905680437
05:44:16:578,41.25093602,2.05740752,1675.00036520514
05:44:20:555,41.24715723,2.05735843,1750.00186155709
05:44:24:531,41.24321701,2.05732368,1825.00354703963
05:44:28:500,41.23923216,2.05736444,1875.00540551064
05:44:32:484,41.23504047,2.0573247,1900.0074588232
05:44:36:461,41.23075075,2.05733287,1975.00972406628
05:44:40:438,41.22630632,2.05733911,2100.01222316632
05:44:44:422,41.22190237,2.05736005,2225.01485795284
05:44:48:406,41.21735677,2.05733069,2425.0177175793
05:44:52:391,41.21284984,2.0572875,2625.02070665593
05:44:56:375,41.20829658,2.0572456,2800.02388779969
05:45:00:359,41.20378039,2.05718208,3000.02719513015
05:45:04:344,41.19921793,2.05711591,3200.03069775419
05:45:08:328,41.19467629,2.05704487,3400.03434439714
05:45:12:320,41.19008536,2.05696542,3600.03819183665
05:45:16:305,41.18552207,2.0568312,3800.04215686482
05:45:20:297,41.18089128,2.05646812,4025.0462521863
05:45:24:289,41.17636457,2.055278,4200.05005475874
05:45:28:289,41.17206921,2.05332998,4375.05343122358
05:45:32:289,41.167732,2.05092313,4525.05674227603
05:45:36:281,41.1634088,2.04812929,4650.05993761609
05:45:40:281,41.15910806,2.04523015,4750.0631259317
05:45:44:281,41.15469518,2.04224793,4850.06646310004
05:45:48:281,41.15018472,2.03914755,4975.06991706852
05:45:52:273,41.14568781,2.03603844,5125.07342080819
05:45:56:273,41.14113568,2.03291945,5300.07705724587
05:46:00:273,41.13652588,2.02977327,5475.08082224152
05:46:04:266,41.13186265,2.0266067,5675.08471976407
05:46:08:273,41.12721776,2.02338363,5875.08862923065
