Time,lat,lon,Hft
05:44:16:469,41.28952358,2.09543577,0.0002770562527328
05:44:20:531,41.28862602,2.0928316,0.0001657253130525
05:44:24:578,41.28762276,2.0899378,-2.41294442489743e-05
05:44:28:625,41.28653213,2.08669884,-0.0003233871078863
05:44:32:648,41.28526388,2.08323237,74.9992727703387
05:44:36:672,41.28407006,2.07990107,224.998790268986
05:44:40:688,41.28273986,2.07645782,349.998206950918
05:44:44:703,41.28138031,2.07310133,499.997555561789
05:44:48:711,41.27981422,2.06977746,624.996855819229
05:44:52:703,41.27776366,2.06713519,774.996381879444
05:44:56:688,41.27544886,2.06481891,949.9960412335
05:45:00:664,41.27291682,2.06313823,1099.99597011519
05:45:04:633,41.27008626,2.06201331,1224.99620072052
05:45:08:609,41.26720235,2.061043,1324.99655392573
05:45:12:578,41.26415937,2.0602738,1424.99708634027
05:45:16:555,41.26094149,2.05946125,1474.99772018316
05:45:20:531,41.25767104,2.05872263,1574.99847735872
05:45:24:508,41.25429605,2.05796772,1649.99934273349
05:45:28:492,41.2507745,2.05714243,1750.00031948791
05:45:32:469,41.24709143,2.05626972,1875.00143410417
05:45:36:453,41.24338664,2.05537514,2025.00264823549
05:45:40:430,41.239786,2.05449003,2175.00391677647
05:45:44:422,41.23594309,2.05336903,2350.00529476295
05:45:48:406,41.23218456,2.05229172,2550.00675236083
05:45:52:391,41.22843727,2.0512317,2750.0083112706
05:45:56:375,41.22446208,2.05004179,2950.01004130784
05:46:00:359,41.22069704,2.04893325,3175.01179184439
05:46:04:352,41.21688607,2.04778395,3400.01365105053
05:46:08:344,41.21309484,2.04660835,3625.0155844783
05:46:12:336,41.20932287,2.04540257,3850.01758787444
05:46:16:320,41.20550731,2.04411239,4050.01967502868
05:46:20:313,41.20163572,2.04279203,4250.02188722704
05:46:24:305,41.1978137,2.04152841,4425.02419213311
05:46:28:297,41.19387665,2.03997764,4600.02652656163
05:46:32:289,41.19025691,2.03725868,4775.02798739243
05:46:36:289,41.18665959,2.03466693,4925.02954130373
05:46:40:289,41.18340485,2.03109926,5100.03018006206
05:46:44:297,41.18048539,2.02679612,5250.02995414803
05:46:48:297,41.1777586,2.02203656,5400.02909797487
05:46:52:305,41.17523086,2.0172292,5550.02785607588
05:46:56:305,41.17257328,2.01229901,5725.02647641246
05:47:00:313,41.16974352,2.0073239,5900.02506147611
