Time,lat,lon,Hft
05:45:28:328,41.29008446,2.09705769,25.0003182933758
05:45:32:398,41.28929771,2.09464611,25.0002460150418
05:45:36:453,41.28832323,2.09181925,25.0001034627951
05:45:40:508,41.2871061,2.08852612,24.9998614594719
05:45:44:547,41.28595528,2.0850603,-0.0005056061198189
05:45:48:578,41.28462649,2.08123719,49.9989815183181
05:45:52:602,41.28334308,2.07746884,199.998355887225
05:45:56:617,41.28210155,2.07373629,374.997614998669
05:46:00:625,41.28079804,2.0700203,549.99677080297
05:46:04:633,41.27947773,2.06636176,724.99583305946
05:46:08:641,41.27786026,2.06293089,924.994920343537
05:46:12:633,41.27583391,2.06003094,1099.99420458664
05:46:16:617,41.27352147,2.05731209,1224.99357622103
05:46:20:594,41.27083034,2.05512724,1324.99324137195
05:46:24:570,41.26781331,2.05360593,1449.99330304673
05:46:28:539,41.26464746,2.05282747,1549.99379761865
05:46:32:508,41.26124463,2.05238143,1649.99459095323
05:46:36:477,41.25782871,2.05223835,1724.99561699643
05:46:40:445,41.25425698,2.05211137,1799.99679712646
05:46:44:422,41.25063205,2.0521206,1899.99816129336
05:46:48:398,41.24690901,2.05217724,1974.99968993299
05:46:52:367,41.2431372,2.05233551,2025.00139464716
05:46:56:344,41.23921565,2.05250726,2100.0032884673
05:47:00:320,41.23518292,2.05273216,2125.00538133357
05:47:04:297,41.23093481,2.05292939,2150.00770457079
05:47:08:273,41.22657564,2.05321974,2200.01027552498
05:47:12:250,41.22213675,2.05353104,2300.01305394864
05:47:16:227,41.21760172,2.05388431,2425.01606727748
05:47:20:211,41.21304797,2.05426878,2600.01926866712
05:47:24:195,41.2083476,2.05459243,2775.02270943844
05:47:28:180,41.20368563,2.05494321,2975.02630606252
05:47:32:164,41.19905713,2.05530255,3175.03004917435
05:47:36:148,41.19433372,2.05561607,3375.03401795469
05:47:40:133,41.18970273,2.05594475,3575.03808750609
05:47:44:117,41.18510411,2.0562362,3775.04227945858
05:47:48:109,41.18031334,2.0562817,4000.04671321256
05:47:52:094,41.17564765,2.05574527,4175.05095406272
05:47:56:094,41.17112916,2.0542348,4375.05478547909
05:48:00:086,41.16679587,2.05185077,4575.0581571527
05:48:04:094,41.16248514,2.0490619,4775.06139997196
05:48:08:094,41.15827385,2.04615617,4975.06454508485
05:48:12:086,41.15406379,2.04327132,5175.06776122025
05:48:16:086,41.14999066,2.04040918,5375.07089118692
05:48:20:086,41.14573951,2.03742386,5550.07421607458
05:48:24:078,41.14157118,2.03440098,5725.07747364913
05:48:28:078,41.13742256,2.03129189,5875.08070029588
05:48:32:078,41.13344793,2.02776174,6000.08345306827
