Time,lat,lon,Hft
05:46:44:266,41.28960578,2.095835,0.0002938371705263
05:46:48:336,41.28871761,2.09313946,25.0001840002006
05:46:52:391,41.287638,2.09005789,24.9999886149515
05:46:56:430,41.28652991,2.08670245,-0.0003226293388381
05:47:00:469,41.28525745,2.08311555,24.9992514034442
05:47:04:484,41.28398648,2.07964415,199.998746957164
05:47:08:508,41.28278169,2.07606147,399.998107557537
05:47:12:523,41.28158097,2.07264936,549.997404520947
05:47:16:523,41.28029838,2.06925496,699.9966225511
05:47:20:516,41.27844501,2.06638167,824.996016658848
05:47:24:508,41.27605221,2.06410735,924.995674812623
05:47:28:484,41.27331285,2.06238047,999.995605048443
05:47:32:453,41.27030186,2.06131536,1099.99588327119
05:47:36:422,41.26720133,2.06059794,1149.99637769985
05:47:40:391,41.26393108,2.05975159,1224.99694033367
05:47:44:367,41.26066348,2.05902053,1299.99762483691
05:47:48:344,41.2572527,2.0582233,1374.99840853456
05:47:52:320,41.25363061,2.05731796,1424.99930796023
05:47:56:297,41.25008606,2.05651431,1475.00031455828
05:48:00:273,41.24634192,2.05557157,1525.00143685665
05:48:04:266,41.24245384,2.05452442,1575.00267888254
05:48:08:242,41.23851305,2.05349713,1625.00406293207
05:48:12:227,41.23441189,2.05237482,1650.00559597201
05:48:16:211,41.23018145,2.05111771,1750.00725777715
05:48:20:195,41.22596957,2.049899,1925.00905484352
05:48:24:180,41.2217142,2.0486381,2075.01098153747
05:48:28:172,41.21736912,2.0472814,2250.01304496883
05:48:32:156,41.21301968,2.04597189,2425.0152665417
05:48:36:148,41.20861013,2.04466187,2600.01766293922
05:48:40:133,41.20420641,2.04336633,2775.02019911153
05:48:44:125,41.19971872,2.04192467,2950.02285575689
05:48:48:125,41.19538209,2.04003642,3100.02526884079
05:48:52:117,41.19131366,2.03694554,3275.02684487082
05:48:56:117,41.18758424,2.03350131,3450.02793706837
05:49:00:117,41.18407644,2.02987084,3650.02870172312
05:49:04:117,41.18089905,2.02533671,3825.02848753905
05:49:08:125,41.17790399,2.02057799,4000.02781567776
05:49:12:125,41.17499968,2.01566146,4175.0267869378
05:49:16:133,41.17239783,2.01060843,4325.02517871552
05:49:20:133,41.17024317,2.00511206,4475.02252968218
05:49:24:141,41.16888047,1.99864366,4650.01788625553
05:49:28:156,41.16777549,1.99296194,4800.0134020125
05:49:32:164,41.16746455,1.98645868,4975.0069168404
05:49:36:180,41.16775272,1.98011442,5174.99959720245
05:49:40:188,41.16842438,1.97375031,5374.99148308338
05:49:44:195,41.16916819,1.9673636,5574.98289260562
05:49:48:211,41.16998332,1.96109217,5774.97400518629
05:49:52:219,41.17091314,1.95482945,5924.9646507677
