Time,lat,lon,Hft
05:48:20:188,41.28913179,2.09431263,25.0002372395873
05:48:24:242,41.28811774,2.09144152,25.0000866482666
05:48:28:289,41.28707022,2.08830257,24.9998368472554
05:48:32:328,41.28582019,2.0848714,-0.0005201748408749
05:48:36:359,41.28454267,2.08110458,24.9989653884058
05:48:40:383,41.28322815,2.07737259,149.998347704901
05:48:44:391,41.28183524,2.07357993,324.997610675467
05:48:48:414,41.28057026,2.06992463,499.996775921326
05:48:52:422,41.27914419,2.06614925,674.995815848073
05:48:56:422,41.27739604,2.06262253,849.994888086947
05:49:00:414,41.27546269,2.05952166,1049.99407450738
05:49:04:398,41.27310736,2.05673766,1174.99342158151
05:49:08:375,41.27028929,2.05458329,1274.99312699196
05:49:12:352,41.26725266,2.0530835,1374.99320771809
05:49:16:320,41.26385401,2.05188948,1474.99358520552
05:49:20:297,41.2606124,2.05096268,1549.99411694191
05:49:24:266,41.25709626,2.0500405,1649.99481789895
05:49:28:250,41.25348506,2.04924108,1724.99570150295
05:49:32:219,41.24985558,2.04860353,1824.99676936077
05:49:36:195,41.24605716,2.04796379,1949.99800720005
05:49:40:172,41.2421995,2.04739358,2049.99941514034
05:49:44:148,41.23829692,2.0468861,2175.00099086212
05:49:48:133,41.23430305,2.04634595,2275.00271226518
05:49:52:109,41.23019619,2.04581046,2350.00461889407
05:49:56:094,41.22604834,2.04531143,2450.00669841634
05:50:00:078,41.22181539,2.04478377,2600.00894849739
05:50:04:063,41.21757498,2.04421019,2800.01131774644
05:50:08:047,41.21331819,2.04356835,3000.01379852198
05:50:12:031,41.20909068,2.04291683,3200.01639106234
05:50:16:016,41.20483344,2.04220783,3400.01910974986
05:50:20:008,41.2004867,2.04141541,3625.02198922785
05:50:23:992,41.1963026,2.0405934,3825.02486090222
05:50:27:984,41.19231614,2.038777,4025.02711458232
05:50:31:977,41.188365,2.03640637,4200.02909267911
05:50:35:977,41.1846735,2.03349558,4400.03056267324
05:50:39:977,41.18142823,2.02966805,4550.03102848013
05:50:43:984,41.1785865,2.02517343,4725.03058008737
05:50:47:992,41.17576462,2.02048556,4875.0298396451
05:50:51:992,41.17316073,2.01571033,5050.02867011898
05:50:56:000,41.17040318,2.01084567,5225.02742109739
05:51:00:000,41.16768127,2.00596697,5400.02596136406
05:51:04:000,41.16494649,2.00102694,5600.02429435932
05:51:08:000,41.16229018,1.99612511,5775.02241048616
05:51:12:008,41.15947674,1.99113992,5975.02044547041
