Time,lat,lon,Hft
05:49:32:039,41.28993388,2.09636296,25.0002961683529
05:49:36:102,41.28901855,2.09385091,25.0002131468093
05:49:40:156,41.28790989,2.09075678,25.0000372038362
05:49:44:203,41.28680098,2.0874962,-0.0002415449951589
05:49:48:242,41.2855599,2.08382983,-0.0006616240447014
05:49:52:266,41.28426647,2.08012481,149.998808654591
05:49:56:297,41.28308232,2.07638892,324.998142559062
05:50:00:313,41.28184895,2.07279013,499.997401982169
05:50:04:313,41.28040874,2.06924051,674.996599958762
05:50:08:313,41.27852767,2.06618632,849.995938183739
05:50:12:297,41.27635465,2.06344932,999.995385338197
05:50:16:281,41.27379518,2.06115293,1124.99504715842
05:50:20:258,41.2710563,2.05933636,1249.99494366704
05:50:24:234,41.26794887,2.05803789,1349.99517342923
05:50:28:203,41.26479744,2.05726541,1424.99569457825
05:50:32:172,41.2614058,2.05658538,1499.99639943736
05:50:36:141,41.25798838,2.05608459,1574.9972748373
05:50:40:117,41.25432592,2.05558877,1674.99832958387
05:50:44:094,41.25075917,2.05534604,1749.99955890473
05:50:48:070,41.24697255,2.0550595,1825.00095905361
05:50:52:047,41.24305541,2.05485312,1875.00256295089
05:50:56:016,41.23898678,2.05478069,1900.00441683574
05:50:59:992,41.23480688,2.05481256,2000.00650505708
05:51:03:977,41.23047858,2.05481651,2100.00879823355
05:51:07:953,41.22615524,2.0549572,2200.01129493518
05:51:11:930,41.22166905,2.05511081,2325.01404394011
05:51:15:914,41.21709546,2.05527637,2500.01701372742
05:51:19:891,41.2126129,2.05551595,2675.02011665292
05:51:23:875,41.20798233,2.05567339,2850.02344761801
05:51:27:867,41.20337457,2.05586854,3025.02694531063
05:51:31:852,41.19878603,2.05610375,3200.03061102936
05:51:35:836,41.1941036,2.0562944,3400.0345011545
05:51:39:820,41.18939053,2.05645062,3625.03857579927
05:51:43:805,41.18476151,2.05662913,3850.04275817253
05:51:47:797,41.18008971,2.05677606,4075.04713560104
05:51:51:781,41.17548956,2.05695187,4275.05162585176
05:51:55:773,41.1707182,2.0570736,4500.05643404142
05:51:59:758,41.16614708,2.05724143,4700.06122941946
05:52:03:750,41.16147295,2.05729967,4900.06625546179
05:52:07:734,41.15681994,2.05729269,5100.07140283884
05:52:11:734,41.15218877,2.05720472,5300.07666184931
05:52:15:727,41.14750331,2.05707902,5500.08213931728
05:52:19:719,41.14283445,2.05684458,5675.08772299836
05:52:23:703,41.13803188,2.05659425,5825.09364101772
05:52:27:695,41.13330079,2.05638293,6000.09966471207
