Time,lat,lon,Hft
05:51:15:914,41.28971846,2.09592121,25.0002899748131
05:51:19:977,41.28878497,2.09315968,0.0001786471086367
05:51:24:031,41.28774155,2.09016517,-1.06820991635323e-05
05:51:28:086,41.28660109,2.08686008,-0.000307999507375
05:51:32:117,41.28530032,2.08318263,-0.0007427053328603
05:51:36:141,41.28398335,2.07952362,124.998719748295
05:51:40:164,41.28261688,2.07566038,274.998028704622
05:51:44:172,41.28128378,2.07194827,474.997252212963
05:51:48:180,41.27991528,2.06831784,649.996391749674
05:51:52:188,41.27847403,2.06479973,849.995475388515
05:51:56:180,41.27663295,2.0616044,1049.9946557743
05:52:04:148,41.2717509,2.05659894,1349.9936655116
05:52:08:125,41.26907106,2.05479667,1474.9935201871
05:52:12:109,41.2660577,2.05344519,1574.99369360855
05:52:16:078,41.26291135,2.05258945,1649.99418811954
05:52:20:055,41.25955035,2.05164406,1724.99477895886
05:52:24:023,41.25616654,2.05085635,1824.99553327445
05:52:28:000,41.25260266,2.05004983,1899.99642800361
05:52:31:977,41.24909212,2.04941675,1999.99748013466
05:52:35:953,41.24531424,2.04862979,2074.99866184745
05:52:39:938,41.24145827,2.04793153,2125.00002881051
05:52:43:914,41.23754616,2.04730594,2200.00157255357
05:52:47:891,41.23341601,2.04659099,2275.00329962786
05:52:51:883,41.22925229,2.04592009,2425.00519914907
05:52:55:859,41.22504753,2.04527707,2600.00726951951
05:52:59:844,41.22080999,2.04462061,2775.00948735243
05:53:03:828,41.21655755,2.04391142,2975.01182354074
05:53:07:813,41.21232272,2.04322656,3175.01429774386
05:53:11:797,41.20800642,2.04245073,3400.01691698623
05:53:15:781,41.20375151,2.04174388,3600.01966818144
05:53:19:773,41.19948975,2.0409218,3825.02249719445
05:53:23:766,41.19527762,2.03978263,4050.02523795487
05:53:27:758,41.19141025,2.03718619,4250.02693960328
05:53:31:758,41.18762047,2.03459611,4475.02863209716
05:53:35:758,41.18425375,2.03096797,4675.0293062474
05:53:39:758,41.18162489,2.02632177,4875.02854547334
05:53:43:766,41.17902125,2.02189622,5075.02777873185
05:53:47:773,41.177264,2.01667705,5250.02543540314
05:53:51:781,41.17589994,2.0111913,5425.02225341965
05:53:55:789,41.17519265,2.00542488,5625.01790918631
05:53:59:805,41.175242,1.99953777,5800.01240032324
05:54:03:813,41.17569683,1.99356189,6000.00608361707
