Time,lat,lon,Hft
05:53:43:719,41.28978915,2.09614608,25.0002965961257
05:53:47:781,41.2888413,2.09337761,25.0001920912185
05:53:51:844,41.28779022,2.09037413,25.0000081763928
05:53:55:883,41.28660468,2.08699148,-0.0002898772161453
05:53:59:922,41.28525622,2.08324476,24.999274255681
05:54:03:945,41.28388657,2.07965243,174.998760850795
05:54:07:969,41.28274322,2.07575366,374.998037164639
05:54:11:984,41.28138894,2.07207055,549.997273057184
05:54:27:914,41.27161677,2.06267082,1199.99608920643
05:54:31:891,41.26852675,2.06169045,1299.99646151781
05:54:35:859,41.26539444,2.06088822,1399.99697902141
05:54:39:836,41.26206416,2.06038645,1499.99774289467
05:54:43:805,41.25867706,2.0601293,1599.99870493981
05:54:47:773,41.25511577,2.05989254,1674.99982425888
05:54:51:750,41.2515652,2.05980403,1775.001096916
05:54:55:727,41.24786487,2.05968196,1850.00251493357
05:54:59:695,41.24412831,2.05963078,1950.00408422977
05:55:03:680,41.24029857,2.05958502,2050.00580812308
05:55:07:656,41.23637795,2.05952813,2150.00768734377
05:55:11:633,41.23240262,2.05951564,2200.00973151403
05:55:15:617,41.22826878,2.05951149,2325.01199389068
05:55:19:602,41.22410412,2.05950211,2450.01440604588
05:55:23:586,41.21992498,2.05945733,2625.01695043447
05:55:27:570,41.21572734,2.05933289,2800.01961194422
05:55:31:555,41.21145216,2.05906895,2975.0224092138
05:55:35:539,41.20720815,2.05878008,3175.02531702886
05:55:39:523,41.20304217,2.05851719,3375.02831637509
05:55:43:516,41.19883231,2.0582354,3600.03147901426
05:55:47:500,41.19462411,2.057971,3800.03478492085
05:55:51:492,41.19043452,2.05767368,4000.03819955202
05:55:55:484,41.18617654,2.05741953,4200.04183021765
05:55:59:469,41.18198626,2.05720995,4400.04555871187
05:56:03:461,41.17780541,2.05699642,4600.04941416296
05:56:07:453,41.17362842,2.05680182,4800.05341086465
05:56:11:438,41.16938292,2.05664803,5000.05763204625
05:56:15:430,41.16529987,2.05670407,5175.06191133181
05:56:19:414,41.16106509,2.05726261,5350.06669844485
05:56:23:406,41.15690323,2.05943055,5525.07219416972
05:56:27:391,41.15324152,2.06124543,5700.07707178727
05:56:31:375,41.1496748,2.06440221,5850.08239143186
