Time,lat,lon,Hft
05:54:59:609,41.28995631,2.09652783,0.0003021176306903
05:55:03:672,41.28908876,2.09404522,25.0002214853244
05:55:07:727,41.28812289,2.09111267,25.0000531444859
05:55:11:773,41.28691915,2.08785464,24.9997945863534
05:55:15:820,41.28572584,2.08436012,-0.0005922851212695
05:55:19:844,41.28441452,2.08053791,99.9988718553332
05:55:23:867,41.28313805,2.0769045,299.998256129878
05:55:27:883,41.28186607,2.07322202,474.99751549493
05:55:31:891,41.28056392,2.06963101,674.996694270453
05:55:35:891,41.2789714,2.06637678,849.995926218321
05:55:39:875,41.27648413,2.06387812,1024.99551507236
05:55:43:859,41.27422367,2.06158518,1149.99512315208
05:55:47:828,41.27130491,2.0602204,1274.99523564322
05:55:51:805,41.26837726,2.05919217,1374.9955331738
05:55:55:773,41.26529072,2.05836135,1474.99601140785
05:55:59:750,41.26206928,2.05758545,1574.996620299
05:56:03:727,41.25880509,2.05685681,1674.99733802168
05:56:07:695,41.25544766,2.05611272,1774.99815972983
05:56:11:680,41.25204587,2.05539073,1849.99908951192
05:56:15:656,41.24845373,2.05453146,1950.00012164153
05:56:19:633,41.24493455,2.0537551,2025.00125232408
05:56:23:617,41.24119482,2.05287057,2100.00252605692
05:56:27:602,41.23737871,2.05190566,2200.00390232368
05:56:31:586,41.23352339,2.05090725,2275.00538718076
05:56:35:570,41.22956294,2.04986014,2350.00701311732
05:56:39:555,41.22548477,2.04879009,2425.00880866887
05:56:43:539,41.22130796,2.04767585,2550.01076352879
05:56:47:523,41.21704197,2.04645657,2675.01284678778
05:56:51:516,41.21276636,2.04528615,2775.01509015316
05:56:55:500,41.20844378,2.04411439,2925.0174983849
05:56:59:492,41.2039445,2.04286495,3075.02013025016
05:57:03:484,41.19948724,2.04152438,3225.02282165836
05:57:07:477,41.19507509,2.03964715,3375.0253040598
05:57:11:477,41.19104246,2.03668404,3575.02692681161
05:57:15:469,41.18722205,2.03329962,3750.02813733724
05:57:19:469,41.18373477,2.02918915,3925.02856057138
05:57:23:477,41.18056402,2.02465195,4100.02831764709
05:57:27:477,41.17749342,2.01991472,4275.02771226781
05:57:31:477,41.17454161,2.01496101,4475.0266797816
05:57:35:484,41.17161871,2.01001212,4675.02546172752
05:57:39:492,41.16871801,2.0050788,4875.02407341986
05:57:43:492,41.16579053,2.00009448,5075.02250375789
05:57:47:492,41.16287579,1.99512173,5250.02076655581
05:57:51:492,41.15989038,1.99003526,5450.01882497897
05:57:55:492,41.15701171,1.98508178,5625.01673653871
05:57:59:492,41.1540369,1.98006329,5825.01452104363
05:58:03:492,41.15103431,1.97496424,6000.01207617387
