Time,lat,lon,Hft
05:56:11:547,41.28954813,2.09536338,0.0002704471622034
05:56:15:609,41.28858443,2.09258314,0.0001479971839487
05:56:19:664,41.28753231,2.08950948,-6.41170391440391e-05
05:56:23:711,41.28627357,2.08602932,-0.0003925854773819
05:56:27:742,41.2850122,2.0823244,74.9991401302001
05:56:31:773,41.28383726,2.07851468,224.998525544813
05:56:35:781,41.2825308,2.07508109,399.997900860752
05:56:39:797,41.28116242,2.07142889,599.997127672111
05:56:43:797,41.27976895,2.06806715,799.996341143068
05:56:47:797,41.27797929,2.06480723,974.995568058494
05:56:51:781,41.27557082,2.0622072,1099.9950849951
05:56:55:773,41.27334723,2.05951886,1199.99450890658
05:56:59:750,41.27043809,2.05764135,1299.99440107655
05:57:03:719,41.26741254,2.05645166,1399.99465033296
05:57:07:688,41.26403998,2.05571149,1499.99525054643
05:57:11:656,41.26062797,2.05530802,1599.99609338351
05:57:15:633,41.25706466,2.05502685,1674.99712915853
05:57:19:602,41.25345073,2.05487277,1774.99833825166
05:57:23:570,41.24968156,2.05471668,1849.99970843506
05:57:27:547,41.2457905,2.05464487,1900.00127737718
05:57:31:523,41.24173964,2.05459039,1950.0030449648
05:57:35:500,41.23757877,2.0546504,2075.00504736861
05:57:39:477,41.23337772,2.05481192,2225.00725135408
05:57:43:453,41.22916766,2.05500466,2425.00961318738
05:57:47:430,41.22488286,2.05517815,2650.01214954877
05:57:51:414,41.22064434,2.0553427,2850.01479563407
05:57:55:398,41.21632288,2.05547453,3075.01762298794
05:57:59:375,41.21202313,2.05563482,3275.02059286368
05:58:03:359,41.20769883,2.05577441,3500.02371691774
05:58:07:344,41.20346579,2.0559396,3725.026929203
05:58:11:336,41.19926207,2.05608806,3950.03025138922
05:58:15:320,41.19495183,2.05619773,4175.03378312914
05:58:19:313,41.19072246,2.0563063,4375.03738999227
05:58:23:297,41.18632552,2.0563555,4600.04126202854
05:58:27:281,41.18213784,2.05645256,4825.04511273423
05:58:31:273,41.17775663,2.05620505,5025.04913910808
05:58:35:266,41.173565,2.05537528,5200.05287506711
05:58:39:258,41.16956473,2.05299457,5375.05584851494
05:58:43:258,41.16540524,2.05101517,5525.05925407768
05:58:47:258,41.1614023,2.0483219,5675.06223359394
05:58:51:258,41.15721132,2.04554204,5800.06543583643
05:58:55:258,41.15317908,2.04275403,5975.06851846411
