Time,lat,lon,Hft
05:57:39:367,41.29010603,2.09751099,25.0003366631642
05:57:43:438,41.2893322,2.09494967,25.0002634926182
05:57:47:508,41.28831336,2.09200475,25.0001219303601
05:57:51:555,41.2871974,2.08865451,-0.0001328204143419
05:57:55:594,41.28599527,2.08526001,99.9995244564263
05:57:59:625,41.28478797,2.08177179,274.999071019003
05:58:03:648,41.28356444,2.07829414,449.998520082981
05:58:07:656,41.2822412,2.07500827,624.99793080629
05:58:11:656,41.28039403,2.07214211,799.997453566363
05:58:15:641,41.27812979,2.0697858,974.997152868292
05:58:19:625,41.27556257,2.06793263,1099.99705825932
05:58:23:594,41.27266641,2.06694834,1224.99734132182
05:58:27:555,41.26960051,2.06606879,1349.99775638281
05:58:31:531,41.26643991,2.06546277,1474.99835589028
05:58:35:500,41.26310005,2.06487454,1599.99908786068
05:58:39:469,41.25981804,2.06446207,1724.999946626
05:58:43:445,41.25628889,2.06403081,1825.00096500577
05:58:47:422,41.25271239,2.06368283,1950.00212675954
05:58:51:398,41.24907385,2.06341414,2050.0034395662
05:58:55:375,41.24521112,2.06309012,2150.00493109941
05:58:59:352,41.24129268,2.06284026,2250.00659073513
05:59:03:336,41.23721662,2.06256015,2375.00843680018
05:59:07:313,41.23310669,2.06229863,2525.01043721467
05:59:11:297,41.22890157,2.06197117,2650.01259652251
05:59:15:281,41.2245256,2.0616002,2775.01497760918
05:59:19:266,41.22015732,2.0612646,2875.01751490645
05:59:23:250,41.21563117,2.06084658,3000.02027393044
05:59:27:234,41.21105695,2.06041857,3125.02322127225
05:59:31:227,41.20629548,2.0599521,3225.02645231626
05:59:35:219,41.20147708,2.05952441,3350.02991912709
05:59:39:203,41.19654788,2.05904493,3475.03363535699
05:59:43:195,41.19151127,2.05854493,3650.03762468894
05:59:47:180,41.186564,2.05802631,3850.04172453888
05:59:51:172,41.18148409,2.05721684,4050.04601618995
05:59:55:164,41.17657855,2.05529026,4250.04985437124
05:59:59:164,41.17182458,2.05300748,4475.05353313974
06:00:03:156,41.16706108,2.0504634,4700.05722568864
06:00:07:156,41.16242479,2.04736174,4925.06061610769
06:00:11:156,41.15787021,2.04425941,5175.0639953678
06:00:15:156,41.15338131,2.04113727,5375.06735982732
06:00:19:156,41.14870596,2.03795822,5575.07097951141
06:00:23:156,41.144096,2.03481394,5775.07461911443
06:00:27:148,41.13941938,2.03167928,5975.07842456499
