Time,lat,lon,Hft
05:58:59:352,41.28926783,2.09453454,0.0002400997340306
05:59:03:414,41.28830781,2.09185458,0.0001075023726746
05:59:07:461,41.28717321,2.08869746,-0.0001249402273446
05:59:11:500,41.28602761,2.08534562,-0.0004690773739665
05:59:15:523,41.28481326,2.08185059,124.999077959168
05:59:19:547,41.2835689,2.07825926,249.998505362922
05:59:23:563,41.28231582,2.0748724,399.997878668508
05:59:27:570,41.28106759,2.07141161,549.997135515991
05:59:31:578,41.27961255,2.06799364,724.996340889998
05:59:35:570,41.2771929,2.06553102,874.995954151709
05:59:39:563,41.27530534,2.06270723,1024.9953188835
05:59:43:547,41.2729473,2.06053622,1149.99499075639
05:59:47:516,41.27007332,2.05914994,1299.99510038738
05:59:51:484,41.2670189,2.05818976,1399.99547648761
05:59:55:461,41.26387145,2.05774219,1524.99615653248
05:59:59:430,41.26058653,2.05738714,1649.99699288556
06:00:03:398,41.25726769,2.05722792,1749.99800452791
06:00:07:367,41.25375357,2.05699078,1849.99913990661
06:00:11:344,41.25027188,2.05684023,1950.00039468894
06:00:15:320,41.24662379,2.05669261,2050.00181461908
06:00:19:297,41.24286116,2.0566014,2150.00341331245
06:00:23:273,41.2389943,2.05652674,2225.00517841269
06:00:27:258,41.23509512,2.05651593,2350.00710527181
06:00:31:234,41.2310861,2.05654016,2475.00922501983
06:00:35:211,41.22694668,2.05648684,2650.01151364609
06:00:39:195,41.2228295,2.05648621,2825.01394505988
06:00:43:180,41.21867466,2.05651424,3025.01654597543
06:00:47:156,41.21448908,2.0565185,3225.01929247429
06:00:51:148,41.21026823,2.05650018,3425.02219132446
06:00:55:133,41.20595213,2.05643745,3650.02528183807
06:00:59:125,41.20177947,2.05644019,3875.02843562235
06:01:03:109,41.19756461,2.05641405,4100.03174753591
06:01:07:094,41.19330551,2.05638874,4350.0352369903
06:01:11:086,41.18912177,2.05640274,4600.03882004751
06:01:15:070,41.18494878,2.05639869,4825.04252242602
06:01:19:055,41.18065874,2.05636331,5050.04645783684
06:01:23:047,41.17637875,2.05637243,5300.05054801265
06:01:27:039,41.17215759,2.05640145,5500.05473020275
06:01:31:031,41.16788097,2.05641761,5700.0591047012
06:01:35:023,41.1634607,2.05644114,5850.06377867155
06:01:39:008,41.15905568,2.05642916,6000.06857470689
