Time,lat,lon,Hft
06:00:03:266,41.28906934,2.09468026,0.0002679233023896
06:00:07:320,41.288206,2.09190891,0.0001224560892954
06:00:11:375,41.28711548,2.08880087,-0.0001060693336278
06:00:15:414,41.28596737,2.08543908,-0.0004477192866802
06:00:19:445,41.28475624,2.08192931,99.9990989629947
06:00:23:469,41.283593,2.07822879,249.998495417203
06:00:27:484,41.28227033,2.07481043,399.997869446947
06:00:31:492,41.28101859,2.07147207,574.997161004962
06:00:35:500,41.27967607,2.0680364,724.996344086073
06:00:39:492,41.27788847,2.06499381,899.995646207021
06:00:43:477,41.27566878,2.0626549,1074.99523034333
06:00:47:453,41.2730339,2.06116573,1249.99521688862
06:00:51:430,41.27041562,2.06020323,1424.99543928341
06:00:55:406,41.26771306,2.05945401,1624.99581339377
06:00:59:383,41.26500686,2.05866694,1799.99622390779
06:01:03:352,41.26233565,2.05802844,1949.99673536415
06:01:07:336,41.25969025,2.0574286,2099.99730634205
06:01:11:313,41.25709865,2.05692,2199.9979469709
06:01:15:297,41.25436352,2.05629805,2299.99864068024
06:01:19:273,41.25159247,2.05565594,2399.99939396307
06:01:23:258,41.24884353,2.05501151,2475.00019246472
06:01:27:242,41.24606534,2.05433644,2575.00104551028
06:01:31:227,41.24326163,2.05359883,2675.00193759929
06:01:35:211,41.2404034,2.05285298,2775.00290761323
06:01:39:203,41.23762173,2.05216311,2900.00392543671
06:01:43:188,41.23479454,2.05143891,3025.00500628031
06:01:47:172,41.23192068,2.05065971,3125.00614239845
06:01:51:164,41.22911169,2.04993252,3225.00732648825
06:01:55:148,41.22620022,2.0491379,3350.00859412192
06:01:59:133,41.22341218,2.04842944,3475.0098909633
06:02:03:125,41.22051136,2.04763311,3575.01126879754
06:02:07:117,41.21768413,2.04685635,3675.01266904708
06:02:11:109,41.21472594,2.04603528,3750.01418974847
06:02:15:094,41.21169775,2.04522507,3825.01582682546
06:02:19:086,41.20867131,2.04442863,3900.01753570718
06:02:23:078,41.20540171,2.04352001,3975.0194293501
06:02:27:063,41.20218545,2.04268327,4050.02139792355
06:02:31:055,41.19885765,2.04176977,4125.02348633451
06:02:35:047,41.19549813,2.04077496,4225.02563415683
06:02:39:039,41.19206182,2.03935185,4300.02767593749
06:02:43:039,41.18875384,2.03710778,4375.02918551373
06:02:47:039,41.18579549,2.03403489,4450.02989799637
06:02:51:039,41.18332976,2.02977212,4525.02934411249
06:02:55:047,41.18106058,2.02585149,4600.02872859265
06:02:59:055,41.17957343,2.02087441,4650.02647392993
06:03:03:063,41.1784546,2.01553515,4750.0233640206
06:03:07:070,41.17816412,2.00985807,4875.01891497428
06:03:11:086,41.17843526,2.00403705,5025.01349892893
06:03:15:102,41.17900122,1.99822345,5225.00749637303
06:03:19:109,41.17971752,1.99253311,5425.00116544036
06:03:23:125,41.18042329,1.98680884,5624.99451016726
06:03:27:133,41.1810549,1.98102744,5849.98755888434
