Time,lat,lon,Hft
06:01:43:125,41.28953558,2.09540026,0.0002738235121965
06:01:47:188,41.28858904,2.09257013,25.0001472117355
06:01:51:234,41.28750533,2.0895574,24.9999450218426
06:01:55:281,41.28625157,2.0860642,-0.0003849283433705
06:01:59:313,41.28504165,2.08253464,74.9991749722987
06:02:03:336,41.28382111,2.07865441,224.998558183882
06:02:07:352,41.28256142,2.07527672,399.997945514126
06:02:11:367,41.2812721,2.07174832,549.99720013108
06:02:15:367,41.27979565,2.06845373,674.996454454883
06:02:19:359,41.27758856,2.06563946,824.995917971652
06:02:23:336,41.2751259,2.06357844,949.995667537249
06:02:27:313,41.27228562,2.06177027,1049.99560145174
06:02:31:281,41.26918958,2.06060365,1149.99587922226
06:02:35:258,41.26603191,2.05925059,1249.99616111469
06:02:39:234,41.26278213,2.05798968,1349.99656828039
06:02:43:219,41.25945711,2.05678791,1424.99709087466
06:02:47:195,41.25599346,2.05562133,1499.99774917376
06:02:51:172,41.25237341,2.05452529,1574.99857787312
06:02:55:148,41.24861265,2.05347899,1649.9995766733
06:02:59:125,41.24472496,2.05247061,1750.00074879463
06:03:03:109,41.24074634,2.05156472,1825.00211892914
06:03:07:086,41.23658461,2.05063446,1875.0036833827
06:03:11:070,41.23230125,2.0497118,1900.0054423417
06:03:15:055,41.22789568,2.04884351,2000.0074350047
06:03:19:039,41.22334818,2.04788357,2150.00961286853
06:03:23:023,41.21874035,2.04678701,2325.01191269939
06:03:27:008,41.21423005,2.04569902,2525.01430700981
06:03:30:992,41.20963198,2.04450516,2725.01685488458
06:03:34:984,41.20511968,2.04333233,2950.01950347217
06:03:38:969,41.2005841,2.04205687,3175.02225952547
06:03:42:961,41.19614656,2.03986505,3375.02455368205
06:03:46:961,41.19200541,2.03722388,3575.02643546255
06:03:50:961,41.18799579,2.03419939,3775.02802929386
06:03:54:961,41.18434416,2.03035972,3975.02879696441
06:03:58:961,41.18106181,2.02592701,4175.02876748026
06:04:02:969,41.17805609,2.02120351,4375.02815555281
06:04:06:969,41.17510051,2.01623553,4575.02716188699
06:04:10:969,41.17217614,2.01126901,4775.02597642004
06:04:14:977,41.16934749,2.0063231,4975.02454819811
06:04:18:977,41.16643792,2.00128115,5175.02294904732
06:04:22:977,41.16346313,1.99627642,5375.02128564505
06:04:26:984,41.16050993,1.99127548,5575.019438276
06:04:30:984,41.15763729,1.98631331,5775.01737786386
06:04:34:984,41.15460911,1.98123422,5975.01519801753
