Time,lat,lon,Hft
06:02:59:016,41.28963661,2.09573922,0.0002856086542084
06:03:03:078,41.28871233,2.09297653,25.0001708400745
06:03:07:133,41.28768153,2.089975,24.9999749262203
06:03:11:172,41.28650959,2.08659904,-0.000335230304785
06:03:15:211,41.28519492,2.08295092,24.9992297367494
06:03:19:242,41.28395407,2.07920105,174.998656984492
06:03:23:258,41.28265097,2.07551141,349.997989627033
06:03:27:266,41.28137218,2.07185747,524.997215069698
06:03:31:273,41.2799972,2.06835854,724.996393778
06:03:35:273,41.27800438,2.06518923,849.995691441304
06:03:39:258,41.27576174,2.06263275,974.995201029388
06:03:43:234,41.27294843,2.06063398,1099.99502665605
06:03:47:203,41.26981458,2.05956112,1199.99532231665
06:03:51:172,41.26680159,2.05869551,1299.99573557812
06:03:55:141,41.26344771,2.05831698,1399.99650982181
06:03:59:109,41.25999205,2.05798997,1474.99742259381
06:04:03:086,41.2565753,2.05776138,1549.99845455861
06:04:07:055,41.25291342,2.05755881,1649.99967907295
06:04:11:023,41.2492089,2.05743511,1725.00105662321
06:04:15:000,41.24545004,2.0574206,1800.00260967033
06:04:18:977,41.24155184,2.05736282,1875.00431872316
06:04:22:953,41.23756209,2.05731302,1950.00619442407
06:04:26:938,41.23342827,2.05720608,2025.00824563101
06:04:30:914,41.22924499,2.05715176,2075.01047880659
06:04:34:898,41.22497218,2.05712816,2225.01291738881
06:04:38:883,41.22061743,2.05704063,2375.01552285744
06:04:42:859,41.21623813,2.05693079,2550.01828410548
06:04:46:844,41.21181309,2.05683764,2725.0212339708
06:04:50:828,41.20747069,2.05679201,2900.02429715925
06:04:54:813,41.20308506,2.05673547,3075.02753630901
06:04:58:805,41.19871308,2.05697903,3250.03104190015
06:05:02:789,41.19422138,2.05838215,3400.03527371837
06:05:06:766,41.19000446,2.06003616,3575.03950769056
06:05:10:742,41.18591809,2.06265099,3750.04409635978
06:05:14:719,41.18208144,2.06583572,3950.04871619512
06:05:18:695,41.17871559,2.06960504,4175.05308783953
06:05:22:672,41.17580493,2.07415887,4375.05717809208
06:05:26:648,41.17318091,2.07902142,4575.06092299445
06:05:30:617,41.17118532,2.08418015,4775.06391478438
06:05:34:594,41.16937721,2.08960689,5000.06652978569
06:05:38:570,41.16769946,2.09500076,5200.06875758248
06:05:42:547,41.16601244,2.10045184,5375.07074606804
06:05:46:523,41.16438691,2.10588079,5550.07241522422
06:05:50:500,41.16275391,2.11135921,5725.0738340905
06:05:54:477,41.16110345,2.11687753,5875.07500676758
