Time,lat,lon,Hft
06:04:14:945,41.28926627,2.09473176,25.0002546682754
06:04:19:000,41.28830549,2.09185704,25.0001087610674
06:04:23:055,41.28712902,2.08862967,24.9998720376834
06:04:27:094,41.28597021,2.08516933,-0.0004901146316155
06:04:31:125,41.28466725,2.0814289,74.9990142366504
06:04:35:148,41.28336567,2.07767941,224.998401649574
06:04:39:164,41.28201121,2.07395969,399.997687509043
06:04:43:172,41.28063369,2.07032397,599.996887969594
06:04:47:172,41.27893129,2.06684577,774.996085338139
06:04:51:164,41.27675572,2.0638995,974.995470437674
06:04:55:148,41.27447622,2.06129709,1149.99496267921
06:04:59:133,41.27175588,2.05907979,1249.99468258811
06:05:03:109,41.26873636,2.05739858,1374.99471289797
06:05:07:086,41.26556503,2.05598095,1474.99494149295
06:05:11:055,41.26221411,2.05465016,1574.99532129647
06:05:15:031,41.25887314,2.05351665,1649.99585717309
06:05:19:008,41.25529889,2.05231556,1749.99651929447
06:05:22:984,41.25169294,2.05125935,1849.99734803031
06:05:26:961,41.24789564,2.05018817,1924.99833778309
06:05:30:945,41.24394877,2.04917722,1974.99952379824
06:05:34:922,41.23992569,2.04827983,2075.00091615231
06:05:38:898,41.23578078,2.04743412,2225.00251645558
06:05:42:891,41.23159758,2.04662777,2425.00428659652
06:05:46:867,41.22744286,2.0458621,2650.00619316322
06:05:50:852,41.22319577,2.04502742,2850.00824725979
06:05:54:836,41.21896293,2.04423136,3050.01044757828
06:05:58:820,41.21480081,2.04352897,3275.01278676999
06:06:02:805,41.21048411,2.04271992,3500.0153063749
06:06:06:797,41.20617745,2.04194219,3725.01797591726
06:06:10:781,41.20194661,2.04118796,3925.02073936204
06:06:14:766,41.19775307,2.04039463,4150.02358622846
06:06:18:758,41.19350094,2.03917484,4375.02636492622
06:06:22:758,41.18954723,2.03685996,4600.02835280337
06:06:26:758,41.18580377,2.03410973,4800.0299492166
06:06:30:758,41.18226862,2.03077616,5025.03100726835
06:06:34:758,41.17942161,2.02650763,5225.03075189263
06:06:38:758,41.17698256,2.02157149,5400.02949619473
06:06:42:766,41.17529371,2.01630681,5550.0270610417
06:06:46:773,41.17413712,2.01064097,5725.02352283954
06:06:50:789,41.17354965,2.00474445,5925.01892185999
