Time,lat,lon,Hft
06:05:18:805,41.28974347,2.0965398,0.0003206065843626
06:05:22:875,41.28893344,2.09388287,0.0002225091033428
06:05:26:930,41.28793868,2.09101498,6.04076374322176e-05
06:05:30:977,41.28676028,2.08770518,-0.0002090373140946
06:05:35:016,41.28557089,2.08420121,-0.0006005350262299
06:05:39:039,41.28426995,2.0803636,124.998855902282
06:05:43:063,41.28297285,2.07663382,274.998214168597
06:05:47:086,41.28172173,2.07292226,424.997454128219
06:05:51:094,41.28041878,2.06921823,624.996589973681
06:05:55:094,41.2788773,2.06579776,799.995746578528
06:05:59:086,41.27665957,2.06288374,974.995122640014
06:06:03:063,41.2740887,2.06071127,1149.99481803088
06:06:07:039,41.2711692,2.0593349,1299.99491881919
06:06:11:008,41.26815972,2.05852178,1424.99531976062
06:06:14:969,41.26489959,2.05816683,1499.99604079261
06:06:18:938,41.2615323,2.0581501,1574.99701455891
06:06:22:914,41.25813714,2.05823733,1649.99812815804
06:06:26:883,41.25449739,2.05823875,1749.99938458118
06:06:30:852,41.25089507,2.05834198,1825.00077035384
06:06:34:828,41.24721147,2.05846867,1900.00230032873
06:06:38:797,41.24339058,2.05854802,1950.00397690156
06:06:42:773,41.23943785,2.05858083,2025.00581184183
06:06:46:758,41.23539912,2.05859129,2075.00780238465
06:06:50:734,41.23127971,2.05858001,2150.00995570402
06:06:54:711,41.22701738,2.05851963,2275.01230500106
06:06:58:695,41.22285522,2.05850668,2425.01475561286
06:07:02:680,41.2185441,2.05837927,2550.01738942468
06:07:06:664,41.21426762,2.05824815,2700.02014446408
06:07:10:648,41.20996833,2.05805512,2875.02303402871
06:07:14:641,41.20556272,2.05781624,3050.02612779986
06:07:18:625,41.20124079,2.05758883,3225.0293130808
06:07:22:609,41.19694585,2.05733788,3425.03261352412
06:07:26:602,41.19265606,2.05709423,3600.03605604015
06:07:30:586,41.18831268,2.05683672,3775.03968356488
06:07:34:578,41.1839728,2.05661046,3950.04346873307
06:07:38:570,41.17963695,2.0564404,4150.04742239164
06:07:42:563,41.17536083,2.05632438,4325.05148749133
06:07:46:547,41.17109123,2.05625254,4525.05570947653
06:07:50:539,41.1666841,2.0561705,4675.06021278691
06:07:54:523,41.16232964,2.05614065,4775.06483293769
06:07:58:516,41.15785386,2.05608128,4875.06972524367
06:08:02:508,41.15321521,2.05591708,5025.07491967608
06:08:06:500,41.14870742,2.05577033,5150.08013494427
06:08:10:492,41.14402468,2.05553876,5300.08568873949
06:08:14:484,41.13940967,2.05533066,5450.09134015247
06:08:18:477,41.13474401,2.05512791,5650.09722931208
06:08:22:469,41.13002268,2.05488145,5850.10334550907
