Time,lat,lon,Hft
06:06:46:734,41.28939926,2.09517164,0.0002712629861384
06:06:50:797,41.28839341,2.09233021,25.0001442387142
06:06:54:844,41.287205,2.08907765,-8.16526704654098e-05
06:06:58:891,41.28600263,2.08551745,-0.0004396404908597
06:07:02:922,41.28478729,2.08188736,149.999088861085
06:07:06:953,41.28351376,2.07809548,299.998477881212
06:07:10:969,41.28224192,2.07450925,474.99779908083
06:07:14:977,41.2808388,2.07089161,624.997023273967
06:07:18:969,41.27880913,2.06777549,799.996407539525
06:07:22:953,41.27648612,2.06522704,974.995984113423
06:07:26:930,41.27372952,2.06334278,1174.99587412853
06:07:30:898,41.27075769,2.06214064,1324.99609384687
06:07:34:867,41.26765463,2.06121349,1449.99650631677
06:07:38:844,41.26446214,2.06068392,1599.99716534866
06:07:42:813,41.26118275,2.06028911,1724.99797925588
06:07:46:789,41.25785033,2.05997497,1824.99892377762
06:07:50:758,41.25434452,2.05967696,1925.00002234952
06:07:54:734,41.25089889,2.05957232,2050.00126997869
06:07:58:711,41.24721987,2.05943382,2150.00269236242
06:08:02:688,41.24355468,2.05942113,2275.00426472619
06:08:06:664,41.23972961,2.05937373,2375.00600279711
06:08:10:641,41.23599892,2.05942136,2500.00784609692
06:08:14:625,41.23204461,2.05938866,2600.0098843605
06:08:18:609,41.22806135,2.05936773,2725.01206652974
06:08:22:594,41.22404351,2.05934253,2850.01439155678
06:08:26:570,41.21999065,2.05930187,2975.01685857996
06:08:30:555,41.21578563,2.05917707,3125.01952166959
06:08:34:547,41.21167473,2.059048,3275.02225606285
06:08:38:531,41.207461,2.0588571,3425.02517233595
06:08:42:516,41.20327244,2.05863346,3575.02819503894
06:08:46:508,41.19904586,2.0583699,3750.03136944223
06:08:50:492,41.19483278,2.05807234,3900.0346574591
06:08:54:484,41.19057204,2.05775947,4075.03811932574
06:08:58:477,41.1862681,2.05737625,4250.04173209536
06:09:02:461,41.18202841,2.05704667,4425.0454521107
06:09:06:453,41.17778808,2.05675492,4600.04932903311
06:09:10:438,41.17347172,2.0565037,4750.05343849302
06:09:14:430,41.16915283,2.05626545,4875.05770136163
06:09:18:422,41.16463543,2.05600419,4975.06231064087
06:09:22:414,41.16019597,2.05579391,5125.06701822194
06:09:26:406,41.15550762,2.05554234,5300.07214575051
06:09:30:398,41.15094899,2.05535012,5475.07732017825
06:09:34:391,41.14639368,2.05517043,5650.08265985465
06:09:38:375,41.14171089,2.05502286,5850.08833652726
