Time,lat,lon,Hft
06:08:10:586,41.28968373,2.09626637,0.0003112964138388
06:08:14:656,41.28887278,2.09366555,0.0002112892325967
06:08:18:719,41.28778413,2.0906978,4.26947859302163e-05
06:08:22:766,41.28663485,2.08735704,-0.0002425197061523
06:08:26:797,41.28536208,2.08373355,-0.0006546666248515
06:08:30:828,41.28403017,2.07982665,49.9987744395925
06:08:34:844,41.28259248,2.07591823,199.998092776367
06:08:38:859,41.28122732,2.07211152,374.997303146151
06:08:42:875,41.27977076,2.06823583,574.996386894991
06:08:46:883,41.27830923,2.06439031,724.99535704911
06:08:50:883,41.27643612,2.06076354,849.994366216293
06:08:54:867,41.2739352,2.05769761,1024.99364334003
06:08:58:844,41.27117203,2.05538306,1199.99327026279
06:09:02:820,41.26801654,2.05404405,1399.99344660155
06:09:06:781,41.26482943,2.05345921,1599.99403626665
06:09:10:750,41.26155713,2.05362809,1749.99506844479
06:09:14:719,41.25830421,2.05410828,1899.99631672461
06:09:18:688,41.25492686,2.05459891,2049.99769390767
06:09:22:656,41.25155429,2.05500523,2199.99911892184
06:09:26:633,41.24811864,2.05528046,2375.0006004599
06:09:30:609,41.24482264,2.05557983,2525.00212228824
06:09:34:586,41.24144414,2.05570231,2675.00368964994
06:09:38:563,41.23813133,2.05579697,2825.00530196751
06:09:42:539,41.23468472,2.05578172,2975.00702102968
06:09:46:523,41.23139167,2.05584988,3125.00878597355
06:09:50:508,41.22794375,2.05583612,3275.01068778028
06:09:54:484,41.22452121,2.05581184,3400.01266210692
06:09:58:469,41.22103659,2.05581259,3500.01477640406
06:10:02:461,41.21742066,2.05580652,3550.01706609761
06:10:06:445,41.21362302,2.05580527,3625.01958393445
06:10:10:430,41.20976828,2.05583866,3700.0222699838
06:10:14:414,41.20572809,2.05586517,3775.0252064086
06:10:18:398,41.20158337,2.05586979,3875.02834275286
06:10:22:391,41.19738326,2.05589622,3975.03166775717
06:10:26:375,41.19313836,2.05595614,4125.0351847028
06:10:30:359,41.18884347,2.05600904,4275.03888364133
06:10:34:352,41.18451916,2.05605294,4500.0427526557
06:10:38:336,41.1802064,2.05607557,4700.04674786935
06:10:42:328,41.17596951,2.05615416,4925.05084031559
06:10:46:320,41.17167986,2.05617947,5125.05510349837
06:10:50:313,41.16742831,2.05609995,5350.05942787999
06:10:54:297,41.16305103,2.05593386,5525.06399086756
06:10:58:289,41.15875669,2.05576054,5725.06861037596
06:11:02:281,41.15445455,2.05557865,5875.07337866411
06:11:06:273,41.15001803,2.05538306,6000.07844415069
