Time,lat,lon,Hft
06:10:06:445,41.28969676,2.09622298,0.0003078345092758
06:10:10:516,41.2888435,2.09355538,0.0002053095792606
06:10:14:570,41.28782464,2.09046276,1.35390106961131e-05
06:10:18:617,41.28665541,2.08704568,-0.0002878177954256
06:10:22:656,41.28534626,2.08336878,74.9992867737885
06:10:26:680,41.28402898,2.07971397,249.99875761446
06:10:30:695,41.28276989,2.07608439,449.998116338744
06:10:34:711,41.281434,2.07249799,649.997388002086
06:10:38:711,41.27965332,2.06923089,874.996724283392
06:10:42:703,41.27736191,2.06666111,1074.9963082698
06:10:46:680,41.2747844,2.06454698,1224.99608703683
06:10:50:648,41.27173853,2.06317992,1349.99625213181
06:10:54:617,41.26862369,2.062273,1499.99666117935
06:10:58:586,41.26529484,2.06153977,1624.99726131626
06:11:02:555,41.26198252,2.06104517,1724.99802817476
06:11:06:523,41.25845915,2.06064712,1849.99898506506
06:11:10:500,41.25492273,2.06042784,1975.00011112119
06:11:14:469,41.25121534,2.06036459,2050.00145868763
06:11:18:445,41.24729533,2.06026597,2125.00298741892
06:11:22:422,41.24326757,2.06026706,2250.00472423385
06:11:26:398,41.23909424,2.06024161,2375.00664672664
06:11:30:375,41.23489949,2.0602911,2575.00874760933
06:11:34:359,41.23063071,2.06026753,2750.01099687744
06:11:38:336,41.2263505,2.06023703,2975.01339395599
06:11:42:320,41.22211823,2.06019585,3225.01590151891
06:11:46:305,41.21778869,2.06011484,3475.01859624163
06:11:50:289,41.21354393,2.06004999,3700.02138559093
06:11:54:281,41.20914213,2.05990858,3950.02439848193
06:11:58:266,41.20483569,2.05977566,4225.0274959251
06:12:02:250,41.2006042,2.05965554,4475.03068437713
06:12:06:242,41.19633222,2.05947866,4725.03402352131
06:12:10:227,41.19194873,2.05924519,4975.03757744413
06:12:14:219,41.18764333,2.05901722,5225.04121510042
06:12:18:203,41.18334181,2.05873388,5425.044970416
06:12:22:195,41.17897421,2.05843689,5600.04892680639
06:12:26:188,41.17460143,2.05815833,5750.05304425343
06:12:30:180,41.17023086,2.05785887,5875.05729981934
06:12:34:172,41.16579818,2.05756192,6000.06177141971
