Time,lat,lon,Hft
06:11:46:297,41.28990555,2.09670446,0.0003152960899844
06:11:50:375,41.28903776,2.09399119,0.0002212410623952
06:11:54:430,41.28799801,2.09105248,5.84123826399446e-05
06:11:58:484,41.28691786,2.08757873,-0.0002429108127579
06:12:02:523,41.28557167,2.08393849,99.9993585813927
06:12:06:547,41.28435757,2.08037974,274.998852842628
06:12:10:563,41.28318907,2.07698236,449.998272206948
06:12:14:578,41.28186877,2.07336537,624.99755828947
06:12:18:586,41.28043184,2.07014809,799.99687377832
06:12:22:570,41.27841933,2.06748245,999.996386665828
06:12:26:563,41.27582945,2.06536565,1149.99616194345
06:12:30:531,41.27321445,2.06391523,1299.99619155647
06:12:34:500,41.27030167,2.06279479,1424.99644475738
06:12:38:477,41.26721459,2.06175409,1524.99682636671
06:12:42:453,41.26405715,2.0606819,1674.99728133873
06:12:46:422,41.26083187,2.05966114,1799.99784351996
06:12:50:398,41.2574691,2.05866649,1899.99853261853
06:12:54:383,41.25403812,2.05774979,2024.99935810923
06:12:58:359,41.25054463,2.05687066,2125.00030668564
06:13:02:344,41.24682177,2.05590393,2225.00140114176
06:13:06:328,41.24301524,2.05488097,2350.00260837695
06:13:10:305,41.23904245,2.05377282,2450.00395916984
06:13:14:289,41.23509077,2.05269591,2575.00542599899
06:13:18:273,41.23103677,2.05156254,2700.00703262736
06:13:22:258,41.22687666,2.05037551,2825.00879056815
06:13:26:250,41.22256488,2.04907502,2975.01070742638
06:13:30:234,41.21826827,2.04779332,3150.01275437932
06:13:34:219,41.21399216,2.04651155,3350.01491729824
06:13:38:211,41.20948249,2.0451057,3550.01730772204
06:13:42:203,41.20515567,2.04382524,3750.01977096501
06:13:46:188,41.20073178,2.04243536,3950.02238032907
06:13:50:180,41.19627734,2.04075303,4175.02498398218
06:13:54:180,41.19225863,2.03775492,4375.02656655695
06:13:58:172,41.18817779,2.03475616,4600.02824677681
06:14:02:172,41.18458583,2.03097372,4825.02901391858
06:14:06:180,41.18128539,2.02660901,5050.02906908744
06:14:10:180,41.17829351,2.02186281,5275.0284525857
06:14:14:180,41.17540549,2.01694593,5525.02746009589
06:14:18:188,41.17256156,2.01197858,5750.02622024967
06:14:22:195,41.16965928,2.00704721,5975.02490515515
