Time,lat,lon,Hft
06:12:58:250,41.28939881,2.09538254,0.0002846217211335
06:13:02:313,41.28847633,2.09265713,0.0001646772695705
06:13:06:359,41.2874261,2.08970782,-3.02649291232228e-05
06:13:10:406,41.28630936,2.08637794,-0.0003451271352171
06:13:14:438,41.28504666,2.08278313,-0.0007831573668494
06:13:18:469,41.28373702,2.07899801,24.9986371063543
06:13:22:484,41.28241855,2.07507631,174.997908299506
06:13:26:500,41.28099535,2.07111907,324.997055450752
06:13:30:508,41.27951656,2.0672714,499.996117927239
06:13:34:508,41.27779273,2.06370382,649.995202275321
06:13:38:500,41.27550215,2.06051352,774.994446225632
06:13:42:484,41.27291312,2.05777221,924.993886789332
06:13:46:461,41.26986071,2.05593112,1074.99380958442
06:13:50:438,41.2669453,2.05434281,1199.99384901501
06:13:54:406,41.26366808,2.0532903,1299.99427810713
06:13:58:375,41.26015245,2.05294153,1374.99517841872
06:14:02:344,41.25670369,2.05279027,1424.9962408839
06:14:06:313,41.25306688,2.05285737,1499.99756608087
06:14:10:281,41.24934781,2.05297427,1574.99904973713
06:14:14:258,41.24548012,2.05308814,1600.00070162153
06:14:18:234,41.24159839,2.05327674,1675.00251200458
06:14:22:211,41.23756343,2.05347739,1750.00452003702
06:14:26:188,41.23339583,2.05364728,1850.00671094523
06:14:30:164,41.22933558,2.0539231,2000.0090267658
06:14:34:141,41.22519916,2.05415373,2125.01149438787
06:14:38:117,41.22105513,2.05435748,2275.01408882301
06:14:42:102,41.21687096,2.05459817,2425.01685969001
06:14:46:086,41.21266949,2.05479291,2575.01975864137
06:14:50:070,41.20854576,2.05505713,2700.02276933635
06:14:54:055,41.20419821,2.05523343,2825.02604223469
06:14:58:039,41.20000661,2.05546631,2975.02936602865
06:15:02:023,41.19577091,2.0556956,3125.03286162536
06:15:06:016,41.1915476,2.0559632,3275.03650347761
06:15:10:000,41.18733317,2.05625469,3400.04028630257
06:15:13:984,41.18318084,2.05696618,3525.04432840678
06:15:17:969,41.17887417,2.05921299,3650.04927225004
06:15:21:953,41.17495704,2.06147378,3750.05393683725
06:15:25:930,41.17102413,2.06417778,3875.05884888171
06:15:29:914,41.16716834,2.06722627,4000.06384673129
06:15:33:891,41.16314134,2.07011436,4150.06901209043
06:15:37:875,41.15916555,2.07306636,4300.07418830583
06:15:41:859,41.15519246,2.07594829,4475.07938870244
06:15:45:836,41.15119947,2.07887472,4650.08466921785
06:15:49:820,41.14743535,2.08200935,4825.08976057211
06:15:53:805,41.14407288,2.08581511,5000.09448355588
06:15:57:781,41.14095082,2.09019354,5200.09892599994
06:16:01:766,41.13789572,2.09468443,5375.10318843735
06:16:05:750,41.13491584,2.09917778,5550.1072390661
06:16:09:734,41.13194233,2.10374881,5725.11116199854
06:16:13:711,41.12883414,2.1082271,5875.1151456749
