Time,lat,lon,Hft
06:14:22:148,41.28939976,2.0951702,0.0002711285432428
06:14:26:211,41.28852016,2.09238834,0.0001366825920715
06:14:30:266,41.28740488,2.08930075,-7.56516284868121e-05
06:14:34:305,41.28616952,2.08579078,-0.0004167790875583
06:14:38:336,41.28487232,2.08214471,24.99912242993
06:14:42:359,41.28351332,2.07820499,174.998498314375
06:14:46:383,41.28223061,2.07450302,349.997795103441
06:14:50:391,41.28089379,2.0708142,549.996989941834
06:14:54:398,41.27948126,2.06713823,749.996088506893
06:14:58:391,41.27752204,2.06405811,924.995385286792
06:15:02:375,41.27500416,2.06182124,1099.99505260048
06:15:06:352,41.2724372,2.05977365,1224.99480627881
06:15:10:328,41.2692819,2.05860431,1324.99507199225
06:15:14:297,41.26626294,2.05786321,1424.99554288694
06:15:18:266,41.26296262,2.05738731,1499.99627128273
06:15:22:234,41.25958814,2.05719506,1599.99722552407
06:15:26:203,41.25609772,2.057077,1674.99833833488
06:15:30:180,41.25260491,2.0571348,1749.99962042763
06:15:34:148,41.2489014,2.0571595,1825.00106813569
06:15:38:125,41.24519796,2.05734274,1875.00268800723
06:15:42:094,41.24130755,2.05744787,1950.00446890756
06:15:46:070,41.23733427,2.05755452,2025.00640911661
06:15:50:055,41.23334156,2.05770431,2150.00850200355
06:15:54:031,41.2292061,2.05779273,2275.01077306704
06:15:58:008,41.22506798,2.05782895,2425.01315852598
06:16:02:000,41.2209814,2.05784089,2600.01563664951
06:16:05:984,41.2169381,2.05783499,2800.01821063064
06:16:09:969,41.21285704,2.0577897,2975.02092129149
06:16:13:953,41.20879136,2.0577496,3125.02375267613
06:16:17:938,41.2047545,2.05770072,3300.02668916743
06:16:21:922,41.20071682,2.05794785,3425.02987452512
06:16:25:906,41.19670806,2.05905304,3575.03351196519
06:16:29:883,41.19274527,2.06137117,3725.03769240484
06:16:33:859,41.18926416,2.06403911,3900.0416522938
06:16:37:836,41.18601771,2.06731133,4075.04562858479
06:16:41:813,41.18305938,2.07105351,4275.04946105837
06:16:45:789,41.18029203,2.07503359,4450.05311181117
06:16:49:766,41.17761923,2.07904164,4625.05659037928
06:16:53:750,41.17497114,2.08307119,4800.05995501315
06:16:57:727,41.1722181,2.0870373,4975.06331979674
06:17:01:711,41.16959431,2.09106454,5100.0664699915
06:17:05:688,41.16698284,2.09509875,5225.06951079557
06:17:09:664,41.16435554,2.09934217,5275.07247354997
06:17:13:641,41.16180043,2.10389091,5300.07523888432
06:17:17:625,41.15934405,2.10873195,5350.07773668629
06:17:21:602,41.15680247,2.11388387,5425.08012618517
06:17:25:578,41.15437416,2.11917922,5525.08216749816
06:17:29:555,41.15185671,2.12460427,5625.08407020358
06:17:33:539,41.14925043,2.13015183,5725.08582142852
06:17:37:523,41.14675054,2.13578988,5825.08718259184
06:17:41:500,41.14397847,2.14156335,5975.08858148437
