Time,lat,lon,Hft
06:15:26:031,41.2898741,2.09633295,0.0002987718359008
06:15:30:102,41.28899881,2.09390361,0.0002181458202749
06:15:34:156,41.28806285,2.09092201,3.86095552146435e-05
06:15:38:203,41.28682069,2.08760261,-0.0002292923585325
06:15:42:234,41.28567244,2.08418015,-0.0006158890160173
06:15:46:266,41.28435527,2.08037252,49.9988444751746
06:15:50:281,41.2829473,2.07654329,224.998194613626
06:15:54:297,41.28169866,2.07306709,449.997497504206
06:15:58:305,41.2803293,2.06954023,624.996702013501
06:16:02:313,41.27880984,2.06619611,774.995890924545
06:16:06:305,41.27660008,2.06338859,949.995315862134
06:16:10:281,41.27409053,2.06127138,1124.99503101305
06:16:14:258,41.27145916,2.05944356,1274.99489519409
06:16:18:234,41.26862469,2.05827085,1399.99510057305
06:16:22:203,41.26552584,2.05740028,1474.99555176287
06:16:26:172,41.26242433,2.05690773,1549.99623087923
06:16:30:141,41.25915703,2.05666303,1599.997140052
06:16:34:117,41.25565688,2.05626138,1649.998145987
06:16:38:086,41.25210398,2.05595236,1699.99930543134
06:16:42:063,41.2484749,2.05577966,1750.0006519438
06:16:46:039,41.24461257,2.05559371,1800.00219636537
06:16:50:016,41.24067915,2.05554541,1850.00394956148
06:16:54:000,41.23663231,2.05555035,1875.00590203881
06:16:57:969,41.23231904,2.05603135,1925.00832955771
06:17:01:953,41.22802375,2.05585284,1950.01060737157
06:17:05:930,41.22350508,2.05605871,2025.01332989772
06:17:09:906,41.21888109,2.05631087,2100.01629837798
06:17:13:891,41.21417442,2.05654339,2200.01948162143
06:17:17:875,41.20930121,2.05675592,2275.0229469018
06:17:21:852,41.20433952,2.05697337,2425.02666859479
06:17:25:844,41.19935912,2.05716403,2625.03058800709
06:17:29:828,41.19441186,2.05731924,2800.03465864949
06:17:33:820,41.18930272,2.05737331,2950.0390187293
06:17:37:805,41.18428377,2.0574206,3100.04349914772
06:17:41:797,41.1791113,2.05699225,3250.0481242328
06:17:45:789,41.17413494,2.05506496,3450.05211950756
06:17:49:781,41.16925199,2.05336366,3675.05628277159
06:17:53:781,41.16459505,2.0505795,3875.05985122072
06:17:57:781,41.1601973,2.04725823,4075.06296034568
06:18:01:781,41.15615381,2.04274361,4275.06506488583
06:18:05:781,41.15230549,2.03837215,4450.0669659774
06:18:09:797,41.14882612,2.03376089,4650.06821533851
06:18:13:797,41.14584795,2.0279045,4825.06789921617
06:18:17:805,41.14344471,2.02175727,5025.06640818497
06:18:21:813,41.14160287,2.01539587,5200.06373677587
06:18:25:828,41.1400177,2.00876238,5400.06015603152
06:18:29:836,41.1382606,2.00204169,5550.05631964436
06:18:33:844,41.13655566,1.9954487,5725.05214688395
06:18:37:844,41.13482361,1.98876706,5900.04753273224
