Time,lat,lon,Hft
06:16:45:930,41.28964946,2.09614733,0.0003077367326244
06:16:49:992,41.28878064,2.09352793,0.000208921204321
06:16:54:055,41.28774057,2.09062863,3.97217646241188e-05
06:16:58:102,41.28662635,2.08737135,-0.0002396352949365
06:17:02:133,41.2853762,2.08384195,-0.0006379040401801
06:17:06:164,41.28409509,2.08010761,24.9988230500456
06:17:10:188,41.28273513,2.07609408,149.998113908705
06:17:14:195,41.28141135,2.0722329,274.997306104613
06:17:18:211,41.27993231,2.0682596,424.996363503005
06:17:22:211,41.27810971,2.06457488,599.995452348633
06:17:26:195,41.27554043,2.06158706,774.994848631552
06:17:30:188,41.27320034,2.05846803,924.994109958428
06:17:34:172,41.27061815,2.05586412,1099.99360289357
06:17:38:148,41.26732766,2.05411525,1224.99364905547
06:17:42:125,41.26419405,2.05248527,1324.99376045902
06:17:46:094,41.26076121,2.05144426,1374.99429325586
06:17:50:070,41.25710932,2.05059469,1449.99507411799
06:17:54:039,41.2533589,2.04977595,1549.99600393962
06:17:58:016,41.24955988,2.04901927,1624.9970861005
06:18:01:992,41.24552738,2.0482326,1724.9983608201
06:18:05:969,41.24143973,2.04750285,1774.99980914555
06:18:09:953,41.23720993,2.0467381,1900.00143712896
06:18:13:930,41.23300722,2.04603961,2050.00322036317
06:18:17:914,41.22867705,2.04523363,2225.00515211077
06:18:21:898,41.22429808,2.044446,2375.00726223983
06:18:25:875,41.21993316,2.0437387,2575.00955289172
06:18:29:859,41.21554331,2.0429914,2775.01198234674
06:18:33:844,41.21116549,2.04228652,2975.0145726138
06:18:37:828,41.20681309,2.04158151,3175.01728965134
06:18:41:820,41.20237228,2.04078063,3375.0201633729
06:18:45:805,41.19797767,2.03989978,3575.02310240928
06:18:49:797,41.19372042,2.03821232,3750.0255933171
06:18:53:797,41.18957571,2.03577735,3925.02764306279
06:18:57:789,41.18570449,2.03298089,4125.02929550815
06:19:01:789,41.18223268,2.02922573,4300.02997563822
06:19:05:797,41.17914282,2.02484124,4475.02980500448
06:19:09:797,41.17628347,2.02009647,4650.02903136992
06:19:13:797,41.17347073,2.0153286,4850.02804772009
06:19:17:805,41.17063694,2.0105018,5050.02688509927
06:19:21:813,41.16777878,2.00562124,5250.02554505049
06:19:25:813,41.16507104,2.00080234,5450.02394583553
06:19:29:813,41.16236846,1.99585702,5650.02205676474
06:19:33:813,41.15962431,1.99089253,5850.02002269118
