Time,lat,lon,Hft
06:19:49:680,41.28996619,2.09673608,0.0003118189078196
06:19:53:742,41.28906675,2.09429506,0.000241013334617
06:19:57:805,41.2881563,2.09136394,7.44049761816859e-05
06:20:01:852,41.28697521,2.08818468,-0.0001690527747198
06:20:05:891,41.285818,2.08474205,24.9994601077066
06:20:09:922,41.28464741,2.08121238,199.99897890477
06:20:13:945,41.28351252,2.07775082,374.998403005147
06:20:17:953,41.28237855,2.0744797,549.997774449741
06:20:21:961,41.28098311,2.07120798,724.997095692136
06:20:25:953,41.27912397,2.06846454,874.996574679005
06:20:29:938,41.27681896,2.06634551,999.996300649874
06:20:33:914,41.27425921,2.06468159,1124.99623723165
06:20:37:891,41.27146616,2.0636112,1224.99646476637
06:20:41:859,41.26857484,2.06264651,1324.996805447
06:20:45:836,41.26548119,2.06155726,1424.99721051967
06:20:49:813,41.26240406,2.0605421,1549.99770344754
06:20:53:789,41.25920506,2.05952147,1649.99829653249
06:20:57:766,41.25600489,2.05859361,1774.99899828073
06:21:01:742,41.25257307,2.05756098,1874.99981377089
06:21:05:727,41.24908145,2.05656283,1975.00074952328
06:21:09:711,41.24544033,2.05547444,2100.00179663088
06:21:13:695,41.24172963,2.05441815,2200.00298124929
06:21:17:680,41.23790585,2.05333454,2300.00430548359
06:21:21:664,41.23398923,2.05220365,2450.0057605152
06:21:25:648,41.22997659,2.05102814,2650.00735642121
06:21:29:633,41.22604226,2.0498891,2850.00903743568
06:21:33:617,41.22200322,2.04868208,3050.0108574855
06:21:37:609,41.2179733,2.04746842,3225.01278139875
06:21:41:594,41.21390339,2.04623711,3450.01483798233
06:21:45:586,41.20972376,2.04491704,3650.01703961469
06:21:49:578,41.20560789,2.04364646,3850.01934150479
06:21:53:570,41.20145069,2.04233238,4075.02176955715
06:21:57:555,41.19731501,2.04095259,4275.02426140895
06:22:01:555,41.1932928,2.03862863,4500.02622131892
06:22:05:547,41.18957363,2.03581002,4700.02768984945
06:22:09:547,41.18599457,2.03282112,4925.02895846933
06:22:13:547,41.18285167,2.02880434,5150.02914577417
06:22:17:555,41.17993966,2.02440199,5375.02876400973
06:22:21:555,41.17724852,2.01986951,5600.02795552354
06:22:25:555,41.17455894,2.01521696,5825.02691350392
