Time,lat,lon,Hft
06:21:21:563,41.28997817,2.0966938,0.0003087175546586
06:21:25:633,41.28905288,2.09414052,0.0002309820612892
06:21:29:688,41.28816636,2.09134322,7.13616779074073e-05
06:21:33:734,41.2870681,2.08816587,-0.0001813237444683
06:21:37:773,41.28577364,2.08454892,-0.0005668815250322
06:21:41:805,41.28449489,2.08079949,24.9989114370829
06:21:45:820,41.28313148,2.07702053,174.998280131889
06:21:49:844,41.28179986,2.07328272,374.997538240942
06:21:53:852,41.28041932,2.06953826,549.996684851182
06:21:57:859,41.27910058,2.0659916,749.995772718864
06:22:01:859,41.27737495,2.06266469,924.99490976227
06:22:05:852,41.27528236,2.05982922,1074.99423202844
06:22:09:836,41.27279597,2.05729852,1174.99372368997
06:22:13:813,41.26992007,2.05534782,1274.99354971403
06:22:17:781,41.26688835,2.05423483,1374.99382149574
06:22:21:750,41.26359489,2.05369711,1474.9944887015
06:22:25:719,41.2601037,2.05332544,1524.99537346373
06:22:29:695,41.25664029,2.05309218,1599.99640622296
06:22:33:664,41.25300975,2.05289569,1699.99761115752
06:22:37:633,41.2492095,2.05272282,1774.99899605936
06:22:41:609,41.24545924,2.05277456,1850.00057508452
06:22:45:586,41.24155043,2.05282968,1900.00233714164
06:22:49:555,41.23752838,2.05296656,1950.0043112366
06:22:53:531,41.23332063,2.05318264,2000.00654451301
06:22:57:508,41.22905483,2.05355057,2075.00901743676
06:23:01:484,41.22457335,2.05391155,2175.01175638616
06:23:05:469,41.22014125,2.05433955,2325.01465160061
06:23:09:453,41.21562126,2.05477052,2475.01775821736
06:23:13:430,41.2110293,2.05515481,2650.02105361925
06:23:17:414,41.20648733,2.05551329,2825.02446495369
06:23:21:398,41.20178989,2.05581064,3000.02813006132
06:23:25:383,41.1971256,2.05610316,3175.03193859814
06:23:29:367,41.19249677,2.05636332,3350.03587337072
06:23:33:352,41.18777237,2.05657275,3550.04003914962
06:23:37:336,41.183007,2.05675387,3750.0444055326
06:23:41:328,41.1783275,2.05693663,3950.04886887642
06:23:45:313,41.17362165,2.0570241,4175.05349114683
06:23:49:305,41.16896156,2.05691302,4375.05815642998
06:23:53:297,41.16416005,2.05656261,4600.06304287762
06:23:57:289,41.15949046,2.05622727,4800.0679699822
06:24:01:281,41.15476603,2.05585358,5000.0731140104
06:24:05:273,41.15003755,2.05553016,5200.07845951349
06:24:09:266,41.14538281,2.05519567,5400.08388621093
06:24:13:250,41.14065858,2.05486147,5575.0895693767
06:24:17:242,41.13592833,2.05458736,5750.09546239866
06:24:21:234,41.1311422,2.05426942,5925.10158637213
