Time,lat,lon,Hft
06:22:45:445,41.29009728,2.0970151,0.0003144497108459
06:22:49:516,41.2893224,2.09458306,0.0002386697505041
06:22:53:570,41.28831888,2.09183096,0.0001041932441294
06:22:57:617,41.28718772,2.08867168,-0.0001296701728552
06:23:01:656,41.28602679,2.08521461,-0.0004894393616169
06:23:05:695,41.28464536,2.08146008,24.9990213441501
06:23:09:719,41.28336805,2.07767339,174.998398362193
06:23:13:734,41.28202087,2.07394162,349.997679785047
06:23:17:742,41.28072507,2.0703204,524.996870352003
06:23:21:750,41.27925934,2.06669702,699.995979211289
06:23:25:742,41.27744873,2.06345618,874.995182226435
06:23:29:734,41.27522495,2.06066139,1049.99456649505
06:23:33:711,41.2727143,2.05817885,1174.99410461864
06:23:37:688,41.26990939,2.0565163,1274.994054101
06:23:41:664,41.26685435,2.05523179,1374.9942697253
06:23:45:633,41.26368956,2.05443597,1474.99479170523
06:23:49:617,41.26038108,2.05357415,1549.99539986019
06:23:53:594,41.2570495,2.05272888,1624.99610159962
06:23:57:563,41.253577,2.05181603,1724.99690363327
06:24:01:547,41.25005288,2.05093644,1799.99782702932
06:24:05:523,41.24640079,2.0500766,1849.99890252935
06:24:09:500,41.24263876,2.04922611,1925.00012992828
06:24:13:484,41.2388124,2.04843609,2000.00152199531
06:24:17:461,41.23481954,2.04759564,2075.00308191125
06:24:21:445,41.23076486,2.04680656,2150.00481966153
06:24:25:430,41.22659584,2.04600183,2200.00673677102
06:24:29:414,41.22231909,2.04517485,2250.00883741036
06:24:33:398,41.21782128,2.04426048,2350.01117148191
06:24:37:383,41.21333491,2.04342632,2525.01369444826
06:24:41:367,41.20886133,2.04261025,2675.0163685286
06:24:45:352,41.20428708,2.04174763,2850.01924326783
06:24:49:344,41.19974658,2.04085989,3050.0222349661
06:24:53:328,41.19511927,2.03962501,3225.02525003927
06:24:57:328,41.19091849,2.03694502,3425.02718671219
06:25:01:320,41.18687601,2.03420496,3600.0290155132
06:25:05:320,41.18328128,2.03037547,3775.02976940659
06:25:09:328,41.18003981,2.02599271,3950.02976412539
06:25:13:336,41.17718457,2.02102081,4125.02884599832
06:25:17:336,41.17446092,2.01581974,4325.0274483591
06:25:21:344,41.17176388,2.01062105,4475.02583019416
06:25:25:344,41.16905896,2.00554697,4650.02413804879
06:25:29:352,41.16620022,2.00038077,4825.02233705967
06:25:33:352,41.16332912,1.99530874,5000.0204581945
06:25:37:352,41.16069453,1.99009277,5150.01799433486
06:25:41:359,41.15852386,1.98441334,5250.01430630579
06:25:45:367,41.15740749,1.9774704,5350.0077100294
06:25:49:375,41.156502,1.9713859,5450.00148592149
06:25:53:391,41.15670962,1.9642888,5574.99237168837
06:25:57:398,41.15770231,1.95750018,5699.98232621514
06:26:01:406,41.15933687,1.95089138,5849.97140414044
06:26:05:422,41.16121105,1.94431484,5999.9598828782
