Time,lat,lon,Hft
06:25:09:344,41.28887681,2.09421915,0.0002527404217422
06:25:13:398,41.28797079,2.09126749,8.29054338112473e-05
06:25:17:445,41.28693819,2.08824933,-0.0001567909715324
06:25:21:484,41.28576982,2.08481658,-0.000523147862181
06:25:25:516,41.284418,2.08102784,-0.0010347550239786
06:25:29:539,41.28313501,2.0772506,74.9983298337014
06:25:33:555,41.28172371,2.07335623,224.997564268943
06:25:37:563,41.28033365,2.06949642,399.996680849529
06:25:41:578,41.27895483,2.06577697,574.995719285182
06:25:45:570,41.27706668,2.06249688,724.994897718846
06:25:49:555,41.27463857,2.05990756,874.994384698956
06:25:53:531,41.27195364,2.05809242,1049.99423236473
06:25:57:508,41.2691679,2.05680897,1224.99435517095
06:26:01:477,41.26629353,2.05596533,1399.99473613502
06:26:05:445,41.26333133,2.05546474,1549.99534863744
06:26:09:422,41.26034273,2.05540141,1724.99622691801
06:26:13:391,41.25732197,2.05537709,1849.99720080312
06:26:17:367,41.25428277,2.0553693,1949.99825869688
06:26:21:352,41.25136485,2.05540326,2024.99935937116
06:26:25:328,41.24832623,2.05531041,2075.00051938383
06:26:29:305,41.24525504,2.05522935,2125.00177039294
06:26:33:281,41.24222163,2.05515067,2150.00307794159
06:26:37:266,41.23903147,2.05500276,2175.00450180778
06:26:41:250,41.23594157,2.05491044,2250.00598041327
06:26:45:227,41.23275906,2.05474221,2300.00754805374
06:26:49:211,41.22960347,2.05459129,2375.00918808542
06:26:53:195,41.22644533,2.05451383,2450.01093971692
06:26:57:188,41.22336694,2.05448099,2525.01274104952
06:27:01:172,41.22015673,2.05445908,2575.01470298656
06:27:05:156,41.21701652,2.05450447,2625.01672979535
06:27:09:141,41.21382831,2.0545388,2675.01886127405
06:27:13:125,41.21062587,2.05467958,2725.02112934673
06:27:17:109,41.20738047,2.05478986,2775.02349531522
06:27:21:102,41.20407881,2.05491114,2825.02599084084
06:27:25:086,41.20090253,2.05513986,2875.02852124827
06:27:29:078,41.19762527,2.0553037,2950.03118386178
06:27:33:063,41.19430033,2.05543678,3025.0339566543
06:27:37:055,41.19115518,2.05570587,3075.03672054015
06:27:41:039,41.18790323,2.05592075,3150.0396327744
06:27:45:031,41.18465631,2.05613924,3200.04262389014
06:27:49:016,41.18136221,2.05628613,3225.04570998996
06:27:53:008,41.17790986,2.0562621,3250.04895983512
06:27:57:000,41.17462265,2.05515941,3275.05167463728
06:28:01:000,41.17144947,2.05383992,3300.05425080437
06:28:04:992,41.16820359,2.05252271,3300.0569653867
06:28:08:992,41.16505613,2.05045562,3325.05928502147
06:28:12:992,41.16178737,2.0483363,3350.0617481618
06:28:16:992,41.15853836,2.04614205,3375.06419258096
06:28:20:984,41.15517269,2.04387602,3400.06676888249
06:28:24:984,41.15186029,2.04168873,3425.06936899569
06:28:28:977,41.14838111,2.03935014,3450.07212101409
06:28:32:977,41.1449907,2.03693866,3475.07476517261
06:28:36:977,41.14147486,2.03449377,3500.07758083444
06:28:40:969,41.13791363,2.03198378,3550.0804543432
06:28:44:977,41.13430001,2.02940459,3575.08338974782
06:28:48:969,41.13064909,2.02671375,3600.08633743868
06:28:52:969,41.12680865,2.02398602,3650.08955463237
06:28:56:969,41.12303213,2.02128958,3700.09275372516
06:29:00:961,41.11905971,2.01856135,3750.09625151339
06:29:04:961,41.11503789,2.01576775,3800.09982396326
06:29:08:953,41.11099633,2.0130571,3850.10354995915
06:29:12:953,41.1068044,2.01015517,3925.1074020959
06:29:16:953,41.1025463,2.00723591,3975.11140158224
06:29:20:945,41.09824573,2.0042265,4025.11545045191
06:29:24:945,41.09388182,2.00120329,4075.11965130926
06:29:28:938,41.08944082,1.99797991,4150.12385227644
06:29:32:938,41.08515258,1.99447351,4225.12757048362
06:29:36:938,41.08149068,1.98930937,4300.12850824367
06:29:40:938,41.07812197,1.98396608,4400.12859400835
06:29:44:945,41.07511181,1.97894551,4550.12824059051
06:29:48:945,41.07311601,1.97239582,4700.12406587781
06:29:52:945,41.07158022,1.96574036,4875.11855948054
06:29:56:961,41.07036672,1.95898057,5050.11193510198
06:30:00:961,41.06907431,1.95223086,5200.10505221436
06:30:04:969,41.06764742,1.9454549,5375.0979653003
06:30:08:969,41.06619144,1.93872348,5525.09058611979
06:30:12:977,41.06471228,1.93220196,5675.08317638102
06:30:16:977,41.06294131,1.92543202,5800.07552070359
06:30:20:977,41.06130271,1.91884065,5950.06751899441
