Time,lat,lon,Hft
06:27:25:102,41.28987519,2.0965667,0.0003108839185908
06:27:29:172,41.2890238,2.0940268,0.0002251674060523
06:27:33:227,41.28802174,2.09116251,6.72947803139687e-05
06:27:37:273,41.28689007,2.08790617,-0.0001963141273334
06:27:41:313,41.28566309,2.08432368,-0.0005910079137608
06:27:45:344,41.28434187,2.08051229,74.9988751004755
06:27:49:359,41.28309192,2.07683847,249.998245325917
06:27:53:383,41.28184537,2.07312317,424.997490333079
06:27:57:391,41.28053218,2.06931861,624.99660285881
06:28:01:398,41.27931705,2.06577806,799.995666392507
06:28:05:391,41.27753997,2.06251587,999.994827785175
06:28:09:391,41.27536553,2.05987618,1149.99423654091
06:28:13:367,41.27288185,2.05768784,1274.99386990507
06:28:17:336,41.26987032,2.05659897,1374.99410164723
06:28:21:305,41.26679757,2.05581421,1449.99453939887
06:28:25:273,41.26355541,2.05577056,1524.99541538547
06:28:29:242,41.26031188,2.05578864,1599.99640012108
06:28:33:211,41.2568809,2.05588282,1674.99756296604
06:28:37:180,41.25338813,2.05613451,1749.99890746779
06:28:41:148,41.24989289,2.05643487,1825.00036803042
06:28:45:125,41.24614237,2.05664744,1900.0019936431
06:28:49:102,41.24227004,2.05680679,1975.00376123053
06:28:53:078,41.23836213,2.05703078,2025.00568905574
06:28:57:055,41.23431148,2.05722228,2075.00779552195
06:29:01:031,41.23014918,2.0573126,2175.01005035775
06:29:05:016,41.22585583,2.05733195,2325.01248863748
06:29:08:992,41.22161915,2.0573421,2525.01503389061
06:29:12:977,41.21736313,2.05732178,2750.01772013749
06:29:16:969,41.21312816,2.05731424,2950.02053829747
06:29:20:945,41.20884587,2.05729991,3125.0235270504
06:29:24:938,41.20458419,2.05732079,3325.02665953176
06:29:28:922,41.20027882,2.05730136,3500.02995092786
06:29:32:906,41.19592634,2.05729591,3700.03343274993
06:29:36:891,41.19159117,2.05729001,3900.03704836406
06:29:40:883,41.18728113,2.05727003,4125.04078426468
06:29:44:867,41.18298535,2.05721494,4325.04463756163
06:29:48:859,41.17858407,2.05674709,4525.04856276109
06:29:52:852,41.17449559,2.05478382,4700.05168037141
06:29:56:852,41.17034222,2.05315983,4900.0551155479
06:30:00:852,41.1663056,2.05061601,5050.05810045716
06:30:04:852,41.16236436,2.04796803,5200.0609977341
06:30:08:852,41.15824737,2.0451813,5325.06407302583
06:30:12:844,41.15415227,2.04235174,5475.06716132778
06:30:16:844,41.15006973,2.03951947,5650.07029156657
06:30:20:844,41.14586549,2.03661189,5800.07357890207
06:30:24:836,41.14167307,2.03373166,6000.07693117007
