Time,lat,lon,Hft
06:28:49:008,41.28976145,2.09624114,0.0003033245612308
06:28:53:070,41.2888643,2.09368661,0.0002137092047184
06:28:57:125,41.28788052,2.0908177,4.57105845212936e-05
06:29:01:172,41.28684441,2.0878397,74.9998022003508
06:29:05:195,41.28575397,2.08497457,199.999510326981
06:29:09:219,41.28461413,2.08214774,324.999164487012
06:29:13:227,41.28336085,2.07928642,449.99876217797
06:29:17:242,41.2821331,2.07655607,599.998324106939
06:29:21:242,41.28056496,2.07402419,699.997931294634
06:29:25:234,41.2787059,2.07173565,774.997615215792
06:29:29:219,41.27663166,2.06984947,849.9974384809
06:29:33:188,41.27407764,2.06875299,899.997606986377
06:29:37:156,41.27144477,2.06797822,949.997935304736
06:29:41:133,41.26857601,2.06754042,999.998479174778
06:29:45:102,41.26557585,2.06717502,1049.99914440703
06:29:49:070,41.26261513,2.06701801,1099.99993489118
06:29:53:047,41.25944212,2.06680284,1175.0008427499
06:29:57:023,41.25627761,2.06670061,1250.00186279206
06:30:01:000,41.25304047,2.06655612,1350.00297433159
06:30:04:977,41.24985246,2.06640444,1450.0041454721
06:30:08:961,41.24664766,2.06621757,1575.0053916499
06:30:12:938,41.24334934,2.06596217,1675.0067353112
06:30:16:922,41.24019827,2.06577357,1775.00811650346
06:30:20:906,41.23689371,2.06547042,1875.00961178885
06:30:24:891,41.23372979,2.06521338,1950.01113321134
06:30:28:875,41.23035685,2.06478689,2050.01278832489
06:30:32:867,41.22705532,2.06439989,2150.01450354052
06:30:36:852,41.22377076,2.06397426,2225.01627788676
06:30:40:844,41.22050085,2.0635485,2325.01812646975
06:30:44:836,41.2171308,2.06300949,2425.02008086846
06:30:48:820,41.21384033,2.06247574,2550.02207036575
06:30:52:813,41.21061039,2.06197561,2650.02411125402
06:30:56:805,41.20731531,2.06145939,2725.02627194637
06:31:00:789,41.20398014,2.06086679,2825.02851687312
06:31:04:781,41.20057817,2.06026005,2900.03089148245
06:31:08:773,41.19723638,2.05970311,2975.03332455916
06:31:12:766,41.19383239,2.05915753,3075.03589946378
06:31:16:758,41.19043976,2.05857606,3175.03853822877
06:31:20:750,41.1871077,2.05801667,3250.04121884846
06:31:24:742,41.18365209,2.0574363,3350.04408851913
06:31:28:734,41.18026949,2.05684343,3450.04697505933
06:31:32:727,41.17697919,2.05611893,3525.04980207511
06:31:36:727,41.17358568,2.0549484,3625.05261747668
06:31:40:719,41.17030526,2.05353891,3700.05528693455
06:31:44:711,41.16694013,2.05223452,3800.05816064767
06:31:48:703,41.1636321,2.05162366,3900.06137501465
06:31:52:695,41.1601587,2.05249298,4000.06554798391
06:31:56:688,41.15694849,2.05278626,4100.06925013721
06:32:00:672,41.15367251,2.05418523,4200.07360780962
06:32:04:656,41.15054707,2.05596818,4275.0780202402
06:32:08:641,41.14748804,2.05795039,4375.08248366723
06:32:12:625,41.14437228,2.06005737,4475.08710275163
06:32:16:609,41.14140296,2.06228214,4575.09161850139
06:32:20:602,41.1383893,2.06452952,4650.09622128477
06:32:24:586,41.13546249,2.06684911,4725.10076031472
06:32:28:578,41.13243715,2.06917698,4825.10545004886
06:32:32:563,41.12944108,2.07149452,4925.11011957685
06:32:36:547,41.12653463,2.07378336,5000.1146795585
06:32:40:539,41.12347101,2.07595239,5100.11944734591
06:32:44:523,41.12036088,2.078085,5175.12430243889
06:32:48:516,41.11734611,2.08007801,5250.12902628504
06:32:52:500,41.11409788,2.08188222,5325.1340909806
06:32:56:492,41.11093145,2.08364632,5400.13908049203
06:33:00:477,41.10765136,2.0853207,5475.14427860688
06:33:04:469,41.10426113,2.08690225,5575.14969336101
06:33:08:461,41.10094308,2.08842469,5650.15505475371
06:33:12:453,41.09770413,2.0899579,5750.16035811272
06:33:16:445,41.09433832,2.09146085,5825.16592457362
06:33:20:438,41.09105153,2.09294196,5925.17142903782
06:33:24:430,41.08763547,2.09444237,6000.17721578339
