Time,lat,lon,Hft
06:31:00:898,41.28893049,2.09389035,0.0002233432603999
06:31:04:961,41.28802034,2.09100731,5.15832946449518e-05
06:31:09:008,41.28697738,2.08789783,-0.0002067120631039
06:31:13:039,41.28571306,2.08437917,-0.000587668230012
06:31:17:070,41.28443735,2.08075265,74.9989109845065
06:31:21:094,41.28312586,2.07714693,199.99831108413
06:31:25:109,41.28181288,2.07349102,324.997590331813
06:31:29:117,41.28045277,2.06982529,474.996763714702
06:31:33:125,41.27911625,2.066279,624.995862209843
06:31:37:117,41.27738258,2.06294834,774.995007240558
06:31:41:109,41.2752769,2.06002708,974.994307515793
06:31:45:094,41.27284447,2.05755892,1099.99381901969
06:31:49:070,41.27014213,2.05564863,1224.99362577546
06:31:53:047,41.26707089,2.05434639,1324.99382183221
06:31:57:023,41.26390389,2.05327444,1449.9942082538
06:32:01:000,41.26064517,2.05231008,1574.99474022511
06:32:04:969,41.25724778,2.05138796,1674.99541187054
06:32:08:945,41.25378994,2.0505335,1774.99621981051
06:32:12:922,41.25018695,2.04960684,1874.99713552786
06:32:16:898,41.24651712,2.04873953,1949.99820106976
06:32:20:883,41.24274526,2.04786991,2049.99940998873
06:32:24:859,41.23892899,2.04703527,2175.00076275836
06:32:28:844,41.23500301,2.04620526,2325.00228173895
06:32:32:828,41.2309776,2.04534188,2475.0039507242
06:32:36:813,41.22689266,2.04454882,2675.00581267742
06:32:40:797,41.22277201,2.04374134,2875.00781290517
06:32:44:773,41.21866783,2.04294788,3050.009936185
06:32:48:766,41.21452066,2.04215766,3250.01221672007
06:32:52:750,41.2103283,2.04135408,3450.01465021449
06:32:56:734,41.20616698,2.04054172,3675.01718822891
06:33:00:719,41.20194735,2.03951841,3875.01977698654
06:33:04:711,41.19791253,2.03739984,4075.02169295831
06:33:08:711,41.19416688,2.03469974,4300.02309163947
06:33:12:711,41.19076486,2.0314362,4500.02386728798
06:33:16:719,41.18777169,2.02730981,4725.02367691523
06:33:20:727,41.18532195,2.02257454,4925.02245792005
06:33:24:727,41.18340369,2.01737828,5150.02022769107
06:33:28:734,41.18199275,2.01183418,5375.01701202011
06:33:32:750,41.18079457,2.00615285,5600.01320360265
06:33:36:758,41.17977506,2.00058838,5825.0090474853
